GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,adilipPatternHunter,AegisStrat-314,Final Group-finalStandings,2026-02-23 14:08:16,775,1,"[""=== RPSLS Match: adilipPatternHunter vs AegisStrat-314 ==="",""Max Rounds: 10"","""",""Round 1: adilipPatternHunter (Spock) beats AegisStrat-314 (Rock) - Score: 1-0"",""Round 2: Draw - Paper vs Paper - Score: 1-0"",""Round 3: adilipPatternHunter (Scissors) beats AegisStrat-314 (Paper) - Score: 2-0"",""Round 4: AegisStrat-314 (Scissors) beats adilipPatternHunter (Lizard) - Score: 2-1"",""Round 5: Draw - Scissors vs Scissors - Score: 2-1"",""Round 6: AegisStrat-314 (Spock) beats adilipPatternHunter (Rock) - Score: 2-2"",""Round 7: Draw - Spock vs Spock - Score: 2-2"",""Round 8: Draw - Paper vs Paper - Score: 2-2"",""Round 9: adilipPatternHunter (Spock) beats AegisStrat-314 (Scissors) - Score: 3-2"",""Round 10: Draw - Spock vs Spock - Score: 3-2"","""",""=== Final Result ==="",""Winner: adilipPatternHunter"",""Final Score: adilipPatternHunter 3 - 2 AegisStrat-314"",""Duration: 00:00:00.7756256""]"
﻿RPSLS,AlexDimaDavidBot,AegisHydra,Final Group-finalStandings,2026-02-23 14:08:16,1090,1,"[""=== RPSLS Match: AlexDimaDavidBot vs AegisHydra ==="",""Max Rounds: 10"","""",""Round 1: AlexDimaDavidBot (Spock) beats AegisHydra (Scissors) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: Draw - Spock vs Spock - Score: 1-0"",""Round 4: Draw - Spock vs Spock - Score: 1-0"",""Round 5: Draw - Paper vs Paper - Score: 1-0"",""Round 6: AlexDimaDavidBot (Scissors) beats AegisHydra (Paper) - Score: 2-0"",""Round 7: AlexDimaDavidBot (Scissors) beats AegisHydra (Paper) - Score: 3-0"",""Round 8: AlexDimaDavidBot (Scissors) beats AegisHydra (Lizard) - Score: 4-0"",""Round 9: Draw - Lizard vs Lizard - Score: 4-0"",""Round 10: Draw - Rock vs Rock - Score: 4-0"","""",""=== Final Result ==="",""Winner: AlexDimaDavidBot"",""Final Score: AlexDimaDavidBot 4 - 0 AegisHydra"",""Duration: 00:00:01.0903893""]"
﻿RPSLS,adilipPatternHunter,AegisHydra,Final Group-finalStandings,2026-02-23 14:08:16,826,1,"[""=== RPSLS Match: adilipPatternHunter vs AegisHydra ==="",""Max Rounds: 10"","""",""Round 1: Draw - Rock vs Rock - Score: 0-0"",""Round 2: adilipPatternHunter (Lizard) beats AegisHydra (Spock) - Score: 1-0"",""Round 3: Draw - Paper vs Paper - Score: 1-0"",""Round 4: AegisHydra (Paper) beats adilipPatternHunter (Spock) - Score: 1-1"",""Round 5: adilipPatternHunter (Lizard) beats AegisHydra (Paper) - Score: 2-1"",""Round 6: Draw - Lizard vs Lizard - Score: 2-1"",""Round 7: adilipPatternHunter (Scissors) beats AegisHydra (Lizard) - Score: 3-1"",""Round 8: adilipPatternHunter (Scissors) beats AegisHydra (Lizard) - Score: 4-1"",""Round 9: adilipPatternHunter (Rock) beats AegisHydra (Scissors) - Score: 5-1"",""Round 10: Draw - Scissors vs Scissors - Score: 5-1"","""",""=== Final Result ==="",""Winner: adilipPatternHunter"",""Final Score: adilipPatternHunter 5 - 1 AegisHydra"",""Duration: 00:00:00.8261005""]"
﻿RPSLS,AlexDimaDavidBot,AegisStrat-314,Final Group-finalStandings,2026-02-23 14:08:16,1050,2,"[""=== RPSLS Match: AlexDimaDavidBot vs AegisStrat-314 ==="",""Max Rounds: 10"","""",""Round 1: AlexDimaDavidBot (Spock) beats AegisStrat-314 (Rock) - Score: 1-0"",""Round 2: Draw - Paper vs Paper - Score: 1-0"",""Round 3: Draw - Paper vs Paper - Score: 1-0"",""Round 4: Draw - Scissors vs Scissors - Score: 1-0"",""Round 5: AlexDimaDavidBot (Rock) beats AegisStrat-314 (Scissors) - Score: 2-0"",""Round 6: AegisStrat-314 (Spock) beats AlexDimaDavidBot (Rock) - Score: 2-1"",""Round 7: AegisStrat-314 (Spock) beats AlexDimaDavidBot (Rock) - Score: 2-2"",""Round 8: Draw - Paper vs Paper - Score: 2-2"",""Round 9: AegisStrat-314 (Scissors) beats AlexDimaDavidBot (Lizard) - Score: 2-3"",""Round 10: AegisStrat-314 (Spock) beats AlexDimaDavidBot (Rock) - Score: 2-4"","""",""=== Final Result ==="",""Winner: AegisStrat-314"",""Final Score: AlexDimaDavidBot 2 - 4 AegisStrat-314"",""Duration: 00:00:01.0502577""]"
﻿RPSLS,adilipPatternHunter,Ayalas_Excellent_Bot,Final Group-finalStandings,2026-02-23 14:08:16,775,1,"[""=== RPSLS Match: adilipPatternHunter vs Ayalas_Excellent_Bot ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Ayalas_Excellent_Bot (Scissors) beats adilipPatternHunter (Lizard) - Score: 0-1"",""Round 3: adilipPatternHunter (Rock) beats Ayalas_Excellent_Bot (Lizard) - Score: 1-1"",""Round 4: adilipPatternHunter (Spock) beats Ayalas_Excellent_Bot (Rock) - Score: 2-1"",""Round 5: Draw - Spock vs Spock - Score: 2-1"",""Round 6: Ayalas_Excellent_Bot (Lizard) beats adilipPatternHunter (Spock) - Score: 2-2"",""Round 7: Ayalas_Excellent_Bot (Scissors) beats adilipPatternHunter (Paper) - Score: 2-3"",""Round 8: Draw - Rock vs Rock - Score: 2-3"",""Round 9: adilipPatternHunter (Lizard) beats Ayalas_Excellent_Bot (Paper) - Score: 3-3"",""Round 10: adilipPatternHunter (Rock) beats Ayalas_Excellent_Bot (Lizard) - Score: 4-3"","""",""=== Final Result ==="",""Winner: adilipPatternHunter"",""Final Score: adilipPatternHunter 4 - 3 Ayalas_Excellent_Bot"",""Duration: 00:00:00.7757048""]"
﻿RPSLS,Ayalas_Excellent_Bot,AegisHydra,Final Group-finalStandings,2026-02-23 14:08:16,617,1,"[""=== RPSLS Match: Ayalas_Excellent_Bot vs AegisHydra ==="",""Max Rounds: 10"","""",""Round 1: AegisHydra (Scissors) beats Ayalas_Excellent_Bot (Lizard) - Score: 0-1"",""Round 2: Draw - Rock vs Rock - Score: 0-1"",""Round 3: Draw - Spock vs Spock - Score: 0-1"",""Round 4: AegisHydra (Spock) beats Ayalas_Excellent_Bot (Rock) - Score: 0-2"",""Round 5: Ayalas_Excellent_Bot (Lizard) beats AegisHydra (Paper) - Score: 1-2"",""Round 6: Ayalas_Excellent_Bot (Scissors) beats AegisHydra (Paper) - Score: 2-2"",""Round 7: Ayalas_Excellent_Bot (Scissors) beats AegisHydra (Paper) - Score: 3-2"",""Round 8: Ayalas_Excellent_Bot (Scissors) beats AegisHydra (Lizard) - Score: 4-2"",""Round 9: Ayalas_Excellent_Bot (Scissors) beats AegisHydra (Lizard) - Score: 5-2"",""Round 10: Ayalas_Excellent_Bot (Rock) beats AegisHydra (Lizard) - Score: 6-2"","""",""=== Final Result ==="",""Winner: Ayalas_Excellent_Bot"",""Final Score: Ayalas_Excellent_Bot 6 - 2 AegisHydra"",""Duration: 00:00:00.6173613""]"
﻿RPSLS,AlexDimaDavidBot,Ayalas_Excellent_Bot,Final Group-finalStandings,2026-02-23 14:08:16,1125,2,"[""=== RPSLS Match: AlexDimaDavidBot vs Ayalas_Excellent_Bot ==="",""Max Rounds: 10"","""",""Round 1: AlexDimaDavidBot (Spock) beats Ayalas_Excellent_Bot (Rock) - Score: 1-0"",""Round 2: Draw - Paper vs Paper - Score: 1-0"",""Round 3: Ayalas_Excellent_Bot (Lizard) beats AlexDimaDavidBot (Paper) - Score: 1-1"",""Round 4: AlexDimaDavidBot (Paper) beats Ayalas_Excellent_Bot (Rock) - Score: 2-1"",""Round 5: Draw - Paper vs Paper - Score: 2-1"",""Round 6: Ayalas_Excellent_Bot (Scissors) beats AlexDimaDavidBot (Paper) - Score: 2-2"",""Round 7: AlexDimaDavidBot (Paper) beats Ayalas_Excellent_Bot (Rock) - Score: 3-2"",""Round 8: Ayalas_Excellent_Bot (Spock) beats AlexDimaDavidBot (Scissors) - Score: 3-3"",""Round 9: Ayalas_Excellent_Bot (Lizard) beats AlexDimaDavidBot (Paper) - Score: 3-4"",""Round 10: Ayalas_Excellent_Bot (Scissors) beats AlexDimaDavidBot (Paper) - Score: 3-5"","""",""=== Final Result ==="",""Winner: Ayalas_Excellent_Bot"",""Final Score: AlexDimaDavidBot 3 - 5 Ayalas_Excellent_Bot"",""Duration: 00:00:01.1251320""]"
﻿RPSLS,AegisStrat-314,AegisHydra,Final Group-finalStandings,2026-02-23 14:08:16,793,1,"[""=== RPSLS Match: AegisStrat-314 vs AegisHydra ==="",""Max Rounds: 10"","""",""Round 1: AegisStrat-314 (Rock) beats AegisHydra (Scissors) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: AegisStrat-314 (Spock) beats AegisHydra (Rock) - Score: 2-0"",""Round 4: Draw - Spock vs Spock - Score: 2-0"",""Round 5: Draw - Spock vs Spock - Score: 2-0"",""Round 6: AegisStrat-314 (Paper) beats AegisHydra (Spock) - Score: 3-0"",""Round 7: Draw - Paper vs Paper - Score: 3-0"",""Round 8: AegisHydra (Scissors) beats AegisStrat-314 (Paper) - Score: 3-1"",""Round 9: AegisStrat-314 (Paper) beats AegisHydra (Spock) - Score: 4-1"",""Round 10: AegisStrat-314 (Lizard) beats AegisHydra (Paper) - Score: 5-1"","""",""=== Final Result ==="",""Winner: AegisStrat-314"",""Final Score: AegisStrat-314 5 - 1 AegisHydra"",""Duration: 00:00:00.7934764""]"
﻿RPSLS,AegisStrat-314,Ayalas_Excellent_Bot,Final Group-finalStandings,2026-02-23 14:08:16,775,3,"[""=== RPSLS Match: AegisStrat-314 vs Ayalas_Excellent_Bot ==="",""Max Rounds: 10"","""",""Round 1: AegisStrat-314 (Rock) beats Ayalas_Excellent_Bot (Lizard) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: AegisStrat-314 (Rock) beats Ayalas_Excellent_Bot (Lizard) - Score: 2-0"",""Round 4: Ayalas_Excellent_Bot (Scissors) beats AegisStrat-314 (Paper) - Score: 2-1"",""Round 5: Draw - Rock vs Rock - Score: 2-1"",""Round 6: Ayalas_Excellent_Bot (Paper) beats AegisStrat-314 (Rock) - Score: 2-2"",""Round 7: Ayalas_Excellent_Bot (Paper) beats AegisStrat-314 (Rock) - Score: 2-3"",""Round 8: AegisStrat-314 (Scissors) beats Ayalas_Excellent_Bot (Lizard) - Score: 3-3"",""Round 9: AegisStrat-314 (Spock) beats Ayalas_Excellent_Bot (Rock) - Score: 4-3"",""Round 10: Ayalas_Excellent_Bot (Spock) beats AegisStrat-314 (Scissors) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: AegisStrat-314 4 - 4 Ayalas_Excellent_Bot"",""Duration: 00:00:00.7754918""]"
﻿RPSLS,adilipPatternHunter,AlexDimaDavidBot,Final Group-finalStandings,2026-02-23 14:08:16,1029,1,"[""=== RPSLS Match: adilipPatternHunter vs AlexDimaDavidBot ==="",""Max Rounds: 10"","""",""Round 1: AlexDimaDavidBot (Spock) beats adilipPatternHunter (Rock) - Score: 0-1"",""Round 2: AlexDimaDavidBot (Paper) beats adilipPatternHunter (Spock) - Score: 0-2"",""Round 3: AlexDimaDavidBot (Lizard) beats adilipPatternHunter (Paper) - Score: 0-3"",""Round 4: AlexDimaDavidBot (Scissors) beats adilipPatternHunter (Lizard) - Score: 0-4"",""Round 5: adilipPatternHunter (Spock) beats AlexDimaDavidBot (Scissors) - Score: 1-4"",""Round 6: adilipPatternHunter (Spock) beats AlexDimaDavidBot (Rock) - Score: 2-4"",""Round 7: adilipPatternHunter (Spock) beats AlexDimaDavidBot (Rock) - Score: 3-4"",""Round 8: adilipPatternHunter (Lizard) beats AlexDimaDavidBot (Paper) - Score: 4-4"",""Round 9: Draw - Rock vs Rock - Score: 4-4"",""Round 10: adilipPatternHunter (Scissors) beats AlexDimaDavidBot (Paper) - Score: 5-4"","""",""=== Final Result ==="",""Winner: adilipPatternHunter"",""Final Score: adilipPatternHunter 5 - 4 AlexDimaDavidBot"",""Duration: 00:00:01.0296859""]"
