GameType,PlayerA,PlayerB,Group,StartTimeUtc,DurationMs,MatchOutcome,SubActsJson
PenaltyKicks,UndefinedBot,PatternHunter,Group A,2026-02-21T19:24:00.5179257Z,1614,2,"[""=== Penalty Kicks Match: UndefinedBot vs PatternHunter ==="",""Shooter: PatternHunter, Goalkeeper: UndefinedBot"",""Max Rounds: 9"","""",""Round 1: GOAL! PatternHunter (Shooter: Right) vs UndefinedBot (Goalkeeper: Left) - Score: 0-1"",""Round 2: GOAL! PatternHunter (Shooter: Left) vs UndefinedBot (Goalkeeper: Center) - Score: 0-2"",""Round 3: GOAL! PatternHunter (Shooter: Left) vs UndefinedBot (Goalkeeper: Center) - Score: 0-3"",""Round 4: GOAL! PatternHunter (Shooter: Center) vs UndefinedBot (Goalkeeper: Right) - Score: 0-4"",""Round 5: GOAL! PatternHunter (Shooter: Center) vs UndefinedBot (Goalkeeper: Right) - Score: 0-5"",""Round 6: GOAL! PatternHunter (Shooter: Center) vs UndefinedBot (Goalkeeper: Right) - Score: 0-6"",""Round 7: GOAL! PatternHunter (Shooter: Right) vs UndefinedBot (Goalkeeper: Left) - Score: 0-7"",""Round 8: SAVE! UndefinedBot blocks PatternHunter (both chose Right) - Score: 2-7"",""Round 9: GOAL! PatternHunter (Shooter: Right) vs UndefinedBot (Goalkeeper: Center) - Score: 2-8"","""",""=== Final Result ==="",""Winner: PatternHunter"",""Final Score: UndefinedBot 2 - 8 PatternHunter"",""Duration: 00:00:01.6148657""]"
﻿PenaltyKicks,UndefinedBot,Orbit_Yossi_dummybot_2,Group A,2026-02-21T19:24:00.5179450Z,1143,2,"[""=== Penalty Kicks Match: UndefinedBot vs Orbit_Yossi_dummybot_2 ==="",""Shooter: UndefinedBot, Goalkeeper: Orbit_Yossi_dummybot_2"",""Max Rounds: 9"","""",""Round 1: SAVE! Orbit_Yossi_dummybot_2 blocks UndefinedBot (both chose Center) - Score: 0-2"",""Round 2: GOAL! UndefinedBot (Shooter: Center) vs Orbit_Yossi_dummybot_2 (Goalkeeper: Left) - Score: 1-2"",""Round 3: GOAL! UndefinedBot (Shooter: Left) vs Orbit_Yossi_dummybot_2 (Goalkeeper: Right) - Score: 2-2"",""Round 4: SAVE! Orbit_Yossi_dummybot_2 blocks UndefinedBot (both chose Center) - Score: 2-4"",""Round 5: SAVE! Orbit_Yossi_dummybot_2 blocks UndefinedBot (both chose Left) - Score: 2-6"",""Round 6: GOAL! UndefinedBot (Shooter: Center) vs Orbit_Yossi_dummybot_2 (Goalkeeper: Right) - Score: 3-6"",""Round 7: GOAL! UndefinedBot (Shooter: Right) vs Orbit_Yossi_dummybot_2 (Goalkeeper: Center) - Score: 4-6"",""Round 8: SAVE! Orbit_Yossi_dummybot_2 blocks UndefinedBot (both chose Left) - Score: 4-8"",""Round 9: SAVE! Orbit_Yossi_dummybot_2 blocks UndefinedBot (both chose Right) - Score: 4-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_dummybot_2"",""Final Score: UndefinedBot 4 - 10 Orbit_Yossi_dummybot_2"",""Duration: 00:00:01.1431021""]"
﻿PenaltyKicks,UndefinedBot,Orbit_Yossi_winnerbot_14,Group A,2026-02-21T19:24:00.5180254Z,1512,2,"[""=== Penalty Kicks Match: UndefinedBot vs Orbit_Yossi_winnerbot_14 ==="",""Shooter: UndefinedBot, Goalkeeper: Orbit_Yossi_winnerbot_14"",""Max Rounds: 9"","""",""Round 1: GOAL! UndefinedBot (Shooter: Left) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Right) - Score: 1-0"",""Round 2: SAVE! Orbit_Yossi_winnerbot_14 blocks UndefinedBot (both chose Left) - Score: 1-2"",""Round 3: GOAL! UndefinedBot (Shooter: Left) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Center) - Score: 2-2"",""Round 4: SAVE! Orbit_Yossi_winnerbot_14 blocks UndefinedBot (both chose Right) - Score: 2-4"",""Round 5: SAVE! Orbit_Yossi_winnerbot_14 blocks UndefinedBot (both chose Left) - Score: 2-6"",""Round 6: SAVE! Orbit_Yossi_winnerbot_14 blocks UndefinedBot (both chose Center) - Score: 2-8"",""Round 7: GOAL! UndefinedBot (Shooter: Center) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Right) - Score: 3-8"",""Round 8: SAVE! Orbit_Yossi_winnerbot_14 blocks UndefinedBot (both chose Left) - Score: 3-10"",""Round 9: SAVE! Orbit_Yossi_winnerbot_14 blocks UndefinedBot (both chose Center) - Score: 3-12"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_14"",""Final Score: UndefinedBot 3 - 12 Orbit_Yossi_winnerbot_14"",""Duration: 00:00:01.5120334""]"
﻿PenaltyKicks,UndefinedBot,Orbit_Yossi_winnerbot_22,Group A,2026-02-21T19:24:00.5180565Z,1147,2,"[""=== Penalty Kicks Match: UndefinedBot vs Orbit_Yossi_winnerbot_22 ==="",""Shooter: UndefinedBot, Goalkeeper: Orbit_Yossi_winnerbot_22"",""Max Rounds: 9"","""",""Round 1: SAVE! Orbit_Yossi_winnerbot_22 blocks UndefinedBot (both chose Right) - Score: 0-2"",""Round 2: SAVE! Orbit_Yossi_winnerbot_22 blocks UndefinedBot (both chose Left) - Score: 0-4"",""Round 3: GOAL! UndefinedBot (Shooter: Left) vs Orbit_Yossi_winnerbot_22 (Goalkeeper: Center) - Score: 1-4"",""Round 4: SAVE! Orbit_Yossi_winnerbot_22 blocks UndefinedBot (both chose Right) - Score: 1-6"",""Round 5: GOAL! UndefinedBot (Shooter: Right) vs Orbit_Yossi_winnerbot_22 (Goalkeeper: Left) - Score: 2-6"",""Round 6: GOAL! UndefinedBot (Shooter: Right) vs Orbit_Yossi_winnerbot_22 (Goalkeeper: Center) - Score: 3-6"",""Round 7: SAVE! Orbit_Yossi_winnerbot_22 blocks UndefinedBot (both chose Right) - Score: 3-8"",""Round 8: GOAL! UndefinedBot (Shooter: Right) vs Orbit_Yossi_winnerbot_22 (Goalkeeper: Left) - Score: 4-8"",""Round 9: SAVE! Orbit_Yossi_winnerbot_22 blocks UndefinedBot (both chose Center) - Score: 4-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_22"",""Final Score: UndefinedBot 4 - 10 Orbit_Yossi_winnerbot_22"",""Duration: 00:00:01.1475237""]"
﻿PenaltyKicks,UndefinedBot,Orbit_Yossi_winnerbot_23,Group A,2026-02-21T19:24:00.5181724Z,1301,2,"[""=== Penalty Kicks Match: UndefinedBot vs Orbit_Yossi_winnerbot_23 ==="",""Shooter: UndefinedBot, Goalkeeper: Orbit_Yossi_winnerbot_23"",""Max Rounds: 9"","""",""Round 1: GOAL! UndefinedBot (Shooter: Center) vs Orbit_Yossi_winnerbot_23 (Goalkeeper: Right) - Score: 1-0"",""Round 2: GOAL! UndefinedBot (Shooter: Right) vs Orbit_Yossi_winnerbot_23 (Goalkeeper: Left) - Score: 2-0"",""Round 3: SAVE! Orbit_Yossi_winnerbot_23 blocks UndefinedBot (both chose Center) - Score: 2-2"",""Round 4: SAVE! Orbit_Yossi_winnerbot_23 blocks UndefinedBot (both chose Right) - Score: 2-4"",""Round 5: GOAL! UndefinedBot (Shooter: Right) vs Orbit_Yossi_winnerbot_23 (Goalkeeper: Left) - Score: 3-4"",""Round 6: SAVE! Orbit_Yossi_winnerbot_23 blocks UndefinedBot (both chose Center) - Score: 3-6"",""Round 7: GOAL! UndefinedBot (Shooter: Left) vs Orbit_Yossi_winnerbot_23 (Goalkeeper: Right) - Score: 4-6"",""Round 8: GOAL! UndefinedBot (Shooter: Center) vs Orbit_Yossi_winnerbot_23 (Goalkeeper: Left) - Score: 5-6"",""Round 9: SAVE! Orbit_Yossi_winnerbot_23 blocks UndefinedBot (both chose Center) - Score: 5-8"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_23"",""Final Score: UndefinedBot 5 - 8 Orbit_Yossi_winnerbot_23"",""Duration: 00:00:01.3015090""]"
﻿PenaltyKicks,PatternHunter,Orbit_Yossi_dummybot_2,Group A,2026-02-21T19:24:00.5182840Z,1424,2,"[""=== Penalty Kicks Match: PatternHunter vs Orbit_Yossi_dummybot_2 ==="",""Shooter: Orbit_Yossi_dummybot_2, Goalkeeper: PatternHunter"",""Max Rounds: 9"","""",""Round 1: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 0-1"",""Round 2: SAVE! PatternHunter blocks Orbit_Yossi_dummybot_2 (both chose Left) - Score: 2-1"",""Round 3: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 2-2"",""Round 4: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-3"",""Round 5: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Left) vs PatternHunter (Goalkeeper: Center) - Score: 2-4"",""Round 6: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 2-5"",""Round 7: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-6"",""Round 8: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Left) vs PatternHunter (Goalkeeper: Center) - Score: 2-7"",""Round 9: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 2-8"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_dummybot_2"",""Final Score: PatternHunter 2 - 8 Orbit_Yossi_dummybot_2"",""Duration: 00:00:01.4245519""]"
﻿PenaltyKicks,PatternHunter,Orbit_Yossi_winnerbot_14,Group A,2026-02-21T19:24:00.5182923Z,1501,2,"[""=== Penalty Kicks Match: PatternHunter vs Orbit_Yossi_winnerbot_14 ==="",""Shooter: Orbit_Yossi_winnerbot_14, Goalkeeper: PatternHunter"",""Max Rounds: 9"","""",""Round 1: SAVE! PatternHunter blocks Orbit_Yossi_winnerbot_14 (both chose Right) - Score: 2-0"",""Round 2: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Left) vs PatternHunter (Goalkeeper: Right) - Score: 2-1"",""Round 3: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-2"",""Round 4: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 2-3"",""Round 5: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Left) vs PatternHunter (Goalkeeper: Right) - Score: 2-4"",""Round 6: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-5"",""Round 7: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 2-6"",""Round 8: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Left) vs PatternHunter (Goalkeeper: Right) - Score: 2-7"",""Round 9: GOAL! Orbit_Yossi_winnerbot_14 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-8"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_14"",""Final Score: PatternHunter 2 - 8 Orbit_Yossi_winnerbot_14"",""Duration: 00:00:01.5017510""]"
﻿PenaltyKicks,PatternHunter,Orbit_Yossi_winnerbot_22,Group A,2026-02-21T19:24:00.5186384Z,1374,2,"[""=== Penalty Kicks Match: PatternHunter vs Orbit_Yossi_winnerbot_22 ==="",""Shooter: Orbit_Yossi_winnerbot_22, Goalkeeper: PatternHunter"",""Max Rounds: 9"","""",""Round 1: SAVE! PatternHunter blocks Orbit_Yossi_winnerbot_22 (both chose Right) - Score: 2-0"",""Round 2: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Left) vs PatternHunter (Goalkeeper: Center) - Score: 2-1"",""Round 3: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-2"",""Round 4: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 2-3"",""Round 5: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Left) vs PatternHunter (Goalkeeper: Right) - Score: 2-4"",""Round 6: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-5"",""Round 7: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 2-6"",""Round 8: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Left) vs PatternHunter (Goalkeeper: Right) - Score: 2-7"",""Round 9: GOAL! Orbit_Yossi_winnerbot_22 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 2-8"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_22"",""Final Score: PatternHunter 2 - 8 Orbit_Yossi_winnerbot_22"",""Duration: 00:00:01.3744750""]"
﻿PenaltyKicks,PatternHunter,Orbit_Yossi_winnerbot_23,Group A,2026-02-21T19:24:00.5186445Z,1255,2,"[""=== Penalty Kicks Match: PatternHunter vs Orbit_Yossi_winnerbot_23 ==="",""Shooter: Orbit_Yossi_winnerbot_23, Goalkeeper: PatternHunter"",""Max Rounds: 9"","""",""Round 1: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Right) vs PatternHunter (Goalkeeper: Center) - Score: 0-1"",""Round 2: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Left) vs PatternHunter (Goalkeeper: Center) - Score: 0-2"",""Round 3: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 0-3"",""Round 4: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 0-4"",""Round 5: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Left) vs PatternHunter (Goalkeeper: Right) - Score: 0-5"",""Round 6: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 0-6"",""Round 7: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Right) vs PatternHunter (Goalkeeper: Left) - Score: 0-7"",""Round 8: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Left) vs PatternHunter (Goalkeeper: Right) - Score: 0-8"",""Round 9: GOAL! Orbit_Yossi_winnerbot_23 (Shooter: Center) vs PatternHunter (Goalkeeper: Left) - Score: 0-9"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_23"",""Final Score: PatternHunter 0 - 9 Orbit_Yossi_winnerbot_23"",""Duration: 00:00:01.2552846""]"
﻿PenaltyKicks,Orbit_Yossi_dummybot_2,Orbit_Yossi_winnerbot_14,Group A,2026-02-21T19:24:00.5186525Z,1433,3,"[""=== Penalty Kicks Match: Orbit_Yossi_dummybot_2 vs Orbit_Yossi_winnerbot_14 ==="",""Shooter: Orbit_Yossi_dummybot_2, Goalkeeper: Orbit_Yossi_winnerbot_14"",""Max Rounds: 9"","""",""Round 1: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Center) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Right) - Score: 1-0"",""Round 2: SAVE! Orbit_Yossi_winnerbot_14 blocks Orbit_Yossi_dummybot_2 (both chose Left) - Score: 1-2"",""Round 3: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Right) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Center) - Score: 2-2"",""Round 4: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Center) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Right) - Score: 3-2"",""Round 5: SAVE! Orbit_Yossi_winnerbot_14 blocks Orbit_Yossi_dummybot_2 (both chose Left) - Score: 3-4"",""Round 6: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Right) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Center) - Score: 4-4"",""Round 7: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Center) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Right) - Score: 5-4"",""Round 8: SAVE! Orbit_Yossi_winnerbot_14 blocks Orbit_Yossi_dummybot_2 (both chose Left) - Score: 5-6"",""Round 9: GOAL! Orbit_Yossi_dummybot_2 (Shooter: Right) vs Orbit_Yossi_winnerbot_14 (Goalkeeper: Center) - Score: 6-6"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_dummybot_2 6 - 6 Orbit_Yossi_winnerbot_14"",""Duration: 00:00:01.4335991""]"
