GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_DesertHammerPro_18,Orbit_Yossi_winnerbot_24,Group B,2026-02-22 22:17:23,957,2,"[""=== RPSLS Match: Orbit_DesertHammerPro_18 vs Orbit_Yossi_winnerbot_24 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_DesertHammerPro_18 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_DesertHammerPro_18 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_DesertHammerPro_18 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_DesertHammerPro_18 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_DesertHammerPro_18 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_DesertHammerPro_18 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_DesertHammerPro_18 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_DesertHammerPro_18 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_DesertHammerPro_18 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_DesertHammerPro_18 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_DesertHammerPro_18 0 - 10 Orbit_Yossi_winnerbot_24"",""Duration: 00:00:00.9571461""]"
﻿RPSLS,UndefinedBot,Orbit_Yossi_winnerbot_14,Group E,2026-02-22 22:17:23,957,2,"[""=== RPSLS Match: UndefinedBot vs Orbit_Yossi_winnerbot_14 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_14 (Scissors) beats UndefinedBot (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_14 (Rock) beats UndefinedBot (Lizard) - Score: 0-2"",""Round 3: UndefinedBot (Spock) beats Orbit_Yossi_winnerbot_14 (Rock) - Score: 1-2"",""Round 4: Orbit_Yossi_winnerbot_14 (Lizard) beats UndefinedBot (Spock) - Score: 1-3"",""Round 5: Draw - Paper vs Paper - Score: 1-3"",""Round 6: UndefinedBot (Spock) beats Orbit_Yossi_winnerbot_14 (Scissors) - Score: 2-3"",""Round 7: Orbit_Yossi_winnerbot_14 (Rock) beats UndefinedBot (Scissors) - Score: 2-4"",""Round 8: UndefinedBot (Paper) beats Orbit_Yossi_winnerbot_14 (Rock) - Score: 3-4"",""Round 9: Orbit_Yossi_winnerbot_14 (Lizard) beats UndefinedBot (Spock) - Score: 3-5"",""Round 10: Draw - Paper vs Paper - Score: 3-5"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_14"",""Final Score: UndefinedBot 3 - 5 Orbit_Yossi_winnerbot_14"",""Duration: 00:00:00.9570566""]"
﻿RPSLS,Orbit_CosmicCobraV2_14,Orbit_QuickAvalancheMax_7,Group D,2026-02-22 22:17:23,1003,3,"[""=== RPSLS Match: Orbit_CosmicCobraV2_14 vs Orbit_QuickAvalancheMax_7 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicCobraV2_14 0 - 0 Orbit_QuickAvalancheMax_7"",""Duration: 00:00:01.0039850""]"
﻿RPSLS,Orbit_Yossi_winnerbot_1,HydraTactician-ZE26,Group I,2026-02-22 22:17:23,993,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_1 vs HydraTactician-ZE26 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_1 (Scissors) beats HydraTactician-ZE26 (Lizard) - Score: 1-0"",""Round 2: HydraTactician-ZE26 (Spock) beats Orbit_Yossi_winnerbot_1 (Rock) - Score: 1-1"",""Round 3: Draw - Rock vs Rock - Score: 1-1"",""Round 4: Orbit_Yossi_winnerbot_1 (Lizard) beats HydraTactician-ZE26 (Paper) - Score: 2-1"",""Round 5: HydraTactician-ZE26 (Scissors) beats Orbit_Yossi_winnerbot_1 (Paper) - Score: 2-2"",""Round 6: Orbit_Yossi_winnerbot_1 (Scissors) beats HydraTactician-ZE26 (Lizard) - Score: 3-2"",""Round 7: HydraTactician-ZE26 (Spock) beats Orbit_Yossi_winnerbot_1 (Rock) - Score: 3-3"",""Round 8: Draw - Rock vs Rock - Score: 3-3"",""Round 9: Orbit_Yossi_winnerbot_1 (Lizard) beats HydraTactician-ZE26 (Paper) - Score: 4-3"",""Round 10: HydraTactician-ZE26 (Scissors) beats Orbit_Yossi_winnerbot_1 (Paper) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_1 4 - 4 HydraTactician-ZE26"",""Duration: 00:00:00.9937933""]"
﻿RPSLS,UndefinedBot,ShadowBot,Group E,2026-02-22 22:17:23,964,1,"[""=== RPSLS Match: UndefinedBot vs ShadowBot ==="",""Max Rounds: 10"","""",""Round 1: UndefinedBot (Lizard) beats ShadowBot (Spock) - Score: 1-0"",""Round 2: ShadowBot (Spock) beats UndefinedBot (Scissors) - Score: 1-1"",""Round 3: UndefinedBot (Lizard) beats ShadowBot (Paper) - Score: 2-1"",""Round 4: ShadowBot (Paper) beats UndefinedBot (Spock) - Score: 2-2"",""Round 5: UndefinedBot (Scissors) beats ShadowBot (Paper) - Score: 3-2"",""Round 6: ShadowBot (Scissors) beats UndefinedBot (Lizard) - Score: 3-3"",""Round 7: UndefinedBot (Rock) beats ShadowBot (Scissors) - Score: 4-3"",""Round 8: UndefinedBot (Spock) beats ShadowBot (Scissors) - Score: 5-3"",""Round 9: UndefinedBot (Rock) beats ShadowBot (Scissors) - Score: 6-3"",""Round 10: UndefinedBot (Spock) beats ShadowBot (Rock) - Score: 7-3"","""",""=== Final Result ==="",""Winner: UndefinedBot"",""Final Score: UndefinedBot 7 - 3 ShadowBot"",""Duration: 00:00:00.9644947""]"
﻿RPSLS,Orbit_DefenderBot,Orbit_Yossi_winnerbot_24,Group B,2026-02-22 22:17:23,1003,1,"[""=== RPSLS Match: Orbit_DefenderBot vs Orbit_Yossi_winnerbot_24 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_DefenderBot (Rock) beats Orbit_Yossi_winnerbot_24 (Scissors) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: Draw - Rock vs Rock - Score: 1-0"",""Round 4: Draw - Lizard vs Lizard - Score: 1-0"",""Round 5: Draw - Paper vs Paper - Score: 1-0"",""Round 6: Orbit_DefenderBot (Rock) beats Orbit_Yossi_winnerbot_24 (Scissors) - Score: 2-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_DefenderBot (Lizard) - Score: 2-1"",""Round 8: Orbit_DefenderBot (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 3-1"",""Round 9: Orbit_DefenderBot (Rock) beats Orbit_Yossi_winnerbot_24 (Lizard) - Score: 4-1"",""Round 10: Draw - Paper vs Paper - Score: 4-1"","""",""=== Final Result ==="",""Winner: Orbit_DefenderBot"",""Final Score: Orbit_DefenderBot 4 - 1 Orbit_Yossi_winnerbot_24"",""Duration: 00:00:01.0038621""]"
﻿RPSLS,Orbit_CosmicCoreUltra_501,Orbit_MacroBladeOmega_8,Group B,2026-02-22 22:17:23,946,3,"[""=== RPSLS Match: Orbit_CosmicCoreUltra_501 vs Orbit_MacroBladeOmega_8 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicCoreUltra_501 0 - 0 Orbit_MacroBladeOmega_8"",""Duration: 00:00:00.9468937""]"
﻿RPSLS,Orbit_Yossi_dummybot_3,Orbit_Yossi_winnerbot_17,Group E,2026-02-22 22:17:23,1035,1,"[""=== RPSLS Match: Orbit_Yossi_dummybot_3 vs Orbit_Yossi_winnerbot_17 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Orbit_Yossi_dummybot_3 (Paper) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 1-0"",""Round 3: Draw - Rock vs Rock - Score: 1-0"",""Round 4: Orbit_Yossi_winnerbot_17 (Lizard) beats Orbit_Yossi_dummybot_3 (Spock) - Score: 1-1"",""Round 5: Orbit_Yossi_dummybot_3 (Lizard) beats Orbit_Yossi_winnerbot_17 (Paper) - Score: 2-1"",""Round 6: Draw - Scissors vs Scissors - Score: 2-1"",""Round 7: Orbit_Yossi_dummybot_3 (Paper) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 3-1"",""Round 8: Draw - Rock vs Rock - Score: 3-1"",""Round 9: Orbit_Yossi_winnerbot_17 (Lizard) beats Orbit_Yossi_dummybot_3 (Spock) - Score: 3-2"",""Round 10: Orbit_Yossi_dummybot_3 (Lizard) beats Orbit_Yossi_winnerbot_17 (Paper) - Score: 4-2"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_dummybot_3"",""Final Score: Orbit_Yossi_dummybot_3 4 - 2 Orbit_Yossi_winnerbot_17"",""Duration: 00:00:01.0358258""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_QuickAvalancheMax_7,Group D,2026-02-22 22:17:23,957,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_QuickAvalancheMax_7 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_QuickAvalancheMax_7"",""Duration: 00:00:00.9571278""]"
﻿RPSLS,Orbit_ArcticChaserMK2_28,Tribble,Group A,2026-02-22 22:17:23,1050,3,"[""=== RPSLS Match: Orbit_ArcticChaserMK2_28 vs Tribble ==="",""Max Rounds: 10"","""",""Round 1: Orbit_ArcticChaserMK2_28 (Paper) beats Tribble (Spock) - Score: 1-0"",""Round 2: Draw - Scissors vs Scissors - Score: 1-0"",""Round 3: Orbit_ArcticChaserMK2_28 (Lizard) beats Tribble (Paper) - Score: 2-0"",""Round 4: Tribble (Paper) beats Orbit_ArcticChaserMK2_28 (Spock) - Score: 2-1"",""Round 5: Orbit_ArcticChaserMK2_28 (Rock) beats Tribble (Scissors) - Score: 3-1"",""Round 6: Draw - Paper vs Paper - Score: 3-1"",""Round 7: Tribble (Rock) beats Orbit_ArcticChaserMK2_28 (Scissors) - Score: 3-2"",""Round 8: Tribble (Rock) beats Orbit_ArcticChaserMK2_28 (Lizard) - Score: 3-3"",""Round 9: Tribble (Paper) beats Orbit_ArcticChaserMK2_28 (Spock) - Score: 3-4"",""Round 10: Orbit_ArcticChaserMK2_28 (Rock) beats Tribble (Lizard) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_ArcticChaserMK2_28 4 - 4 Tribble"",""Duration: 00:00:01.0505424""]"
