GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_SprintGorillaSigma_19,HydraTactician-ZE26,Group A,2026-02-22 09:51:13,1105,2,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs HydraTactician-ZE26 ==="",""Max Rounds: 10"","""",""Round 1: HydraTactician-ZE26 (Lizard) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-1"",""Round 2: HydraTactician-ZE26 (Spock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 0-2"",""Round 3: HydraTactician-ZE26 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 0-3"",""Round 4: HydraTactician-ZE26 (Paper) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 0-4"",""Round 5: Orbit_SprintGorillaSigma_19 (Rock) beats HydraTactician-ZE26 (Scissors) - Score: 1-4"",""Round 6: HydraTactician-ZE26 (Lizard) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 1-5"",""Round 7: HydraTactician-ZE26 (Spock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 1-6"",""Round 8: HydraTactician-ZE26 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 1-7"",""Round 9: HydraTactician-ZE26 (Paper) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 1-8"",""Round 10: Orbit_SprintGorillaSigma_19 (Rock) beats HydraTactician-ZE26 (Scissors) - Score: 2-8"","""",""=== Final Result ==="",""Winner: HydraTactician-ZE26"",""Final Score: Orbit_SprintGorillaSigma_19 2 - 8 HydraTactician-ZE26"",""Duration: 00:00:01.1056255""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit_QuickAvalancheMax_7,Group A,2026-02-22 09:51:13,1127,3,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit_QuickAvalancheMax_7 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 0 Orbit_QuickAvalancheMax_7"",""Duration: 00:00:01.1274545""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit_DesertHammerPro_18,Group A,2026-02-22 09:51:13,1127,3,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit_DesertHammerPro_18 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 0 Orbit_DesertHammerPro_18"",""Duration: 00:00:01.1273276""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit_Yossi_winnerbot_19,Group A,2026-02-22 09:51:13,1175,2,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit_Yossi_winnerbot_19 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_19 (Scissors) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_19 (Lizard) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_19 (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_19 (Scissors) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_19 (Lizard) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_19 (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_19"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 10 Orbit_Yossi_winnerbot_19"",""Duration: 00:00:01.1759245""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,UndefinedBot,Group A,2026-02-22 09:51:13,1097,2,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs UndefinedBot ==="",""Max Rounds: 10"","""",""Round 1: UndefinedBot (Lizard) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-1"",""Round 2: Draw - Scissors vs Scissors - Score: 0-1"",""Round 3: UndefinedBot (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 0-2"",""Round 4: UndefinedBot (Paper) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 0-3"",""Round 5: UndefinedBot (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 0-4"",""Round 6: UndefinedBot (Scissors) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-5"",""Round 7: UndefinedBot (Spock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 0-6"",""Round 8: UndefinedBot (Scissors) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 0-7"",""Round 9: Draw - Spock vs Spock - Score: 0-7"",""Round 10: Draw - Rock vs Rock - Score: 0-7"","""",""=== Final Result ==="",""Winner: UndefinedBot"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 7 UndefinedBot"",""Duration: 00:00:01.0977239""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit_MetaCyborgMK1_21,Group A,2026-02-22 09:51:13,1175,3,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit_MetaCyborgMK1_21 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 0 Orbit_MetaCyborgMK1_21"",""Duration: 00:00:01.1757093""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit_Yossi_winnerbot_21,Group A,2026-02-22 09:51:13,1138,2,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit_Yossi_winnerbot_21 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_21 (Scissors) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_21 (Lizard) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_21 (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_21 (Scissors) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_21 (Lizard) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_21 (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_21"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 10 Orbit_Yossi_winnerbot_21"",""Duration: 00:00:01.1387871""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit_PurpleGladiator7000_10,Group A,2026-02-22 09:51:13,1181,3,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit_PurpleGladiator7000_10 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 0 Orbit_PurpleGladiator7000_10"",""Duration: 00:00:01.1816657""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit_WiseBladeTwo_523,Group A,2026-02-22 09:51:13,1115,3,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit_WiseBladeTwo_523 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SprintGorillaSigma_19 0 - 0 Orbit_WiseBladeTwo_523"",""Duration: 00:00:01.1157851""]"
﻿RPSLS,Orbit_SprintGorillaSigma_19,Orbit,Group A,2026-02-22 09:51:13,1168,3,"[""=== RPSLS Match: Orbit_SprintGorillaSigma_19 vs Orbit ==="",""Max Rounds: 10"","""",""Round 1: Orbit (Lizard) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 0-1"",""Round 2: Draw - Scissors vs Scissors - Score: 0-1"",""Round 3: Orbit_SprintGorillaSigma_19 (Lizard) beats Orbit (Paper) - Score: 1-1"",""Round 4: Orbit_SprintGorillaSigma_19 (Spock) beats Orbit (Scissors) - Score: 2-1"",""Round 5: Orbit (Spock) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 2-2"",""Round 6: Orbit_SprintGorillaSigma_19 (Paper) beats Orbit (Spock) - Score: 3-2"",""Round 7: Orbit (Spock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 3-3"",""Round 8: Draw - Lizard vs Lizard - Score: 3-3"",""Round 9: Orbit (Paper) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 3-4"",""Round 10: Orbit_SprintGorillaSigma_19 (Rock) beats Orbit (Lizard) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SprintGorillaSigma_19 4 - 4 Orbit"",""Duration: 00:00:01.1686599""]"
