GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_Yossi_winnerbot_17,AegisStrat-314,Group E,2026-02-22 22:24:34,1017,2,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_17 vs AegisStrat-314 ==="",""Max Rounds: 10"","""",""Round 1: AegisStrat-314 (Rock) beats Orbit_Yossi_winnerbot_17 (Scissors) - Score: 0-1"",""Round 2: AegisStrat-314 (Paper) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 0-2"",""Round 3: AegisStrat-314 (Paper) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 0-3"",""Round 4: AegisStrat-314 (Scissors) beats Orbit_Yossi_winnerbot_17 (Lizard) - Score: 0-4"",""Round 5: AegisStrat-314 (Scissors) beats Orbit_Yossi_winnerbot_17 (Paper) - Score: 0-5"",""Round 6: AegisStrat-314 (Spock) beats Orbit_Yossi_winnerbot_17 (Scissors) - Score: 0-6"",""Round 7: AegisStrat-314 (Spock) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 0-7"",""Round 8: AegisStrat-314 (Paper) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 0-8"",""Round 9: AegisStrat-314 (Scissors) beats Orbit_Yossi_winnerbot_17 (Lizard) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_17 (Paper) beats AegisStrat-314 (Spock) - Score: 1-9"","""",""=== Final Result ==="",""Winner: AegisStrat-314"",""Final Score: Orbit_Yossi_winnerbot_17 1 - 9 AegisStrat-314"",""Duration: 00:00:01.0178357""]"
﻿RPSLS,Orbit_Yossi_winnerbot_11,Orbit_AgileBearOne_5,Group H,2026-02-22 22:24:34,1017,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_11 vs Orbit_AgileBearOne_5 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_11 (Scissors) beats Orbit_AgileBearOne_5 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_AgileBearOne_5 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_AgileBearOne_5 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_11 (Lizard) beats Orbit_AgileBearOne_5 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_11 (Paper) beats Orbit_AgileBearOne_5 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_11 (Scissors) beats Orbit_AgileBearOne_5 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_AgileBearOne_5 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_AgileBearOne_5 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_11 (Lizard) beats Orbit_AgileBearOne_5 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_11 (Paper) beats Orbit_AgileBearOne_5 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_11"",""Final Score: Orbit_Yossi_winnerbot_11 10 - 0 Orbit_AgileBearOne_5"",""Duration: 00:00:01.0177669""]"
﻿RPSLS,Orbit_ChaosBot,Orbit_Yossi_dummybot_1,Group G,2026-02-22 22:24:34,1031,3,"[""=== RPSLS Match: Orbit_ChaosBot vs Orbit_Yossi_dummybot_1 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_dummybot_1 (Lizard) beats Orbit_ChaosBot (Spock) - Score: 0-1"",""Round 2: Orbit_Yossi_dummybot_1 (Rock) beats Orbit_ChaosBot (Scissors) - Score: 0-2"",""Round 3: Draw - Scissors vs Scissors - Score: 0-2"",""Round 4: Draw - Spock vs Spock - Score: 0-2"",""Round 5: Orbit_ChaosBot (Lizard) beats Orbit_Yossi_dummybot_1 (Paper) - Score: 1-2"",""Round 6: Orbit_Yossi_dummybot_1 (Lizard) beats Orbit_ChaosBot (Paper) - Score: 1-3"",""Round 7: Orbit_ChaosBot (Paper) beats Orbit_Yossi_dummybot_1 (Rock) - Score: 2-3"",""Round 8: Orbit_ChaosBot (Rock) beats Orbit_Yossi_dummybot_1 (Scissors) - Score: 3-3"",""Round 9: Orbit_Yossi_dummybot_1 (Spock) beats Orbit_ChaosBot (Rock) - Score: 3-4"",""Round 10: Orbit_ChaosBot (Lizard) beats Orbit_Yossi_dummybot_1 (Paper) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_ChaosBot 4 - 4 Orbit_Yossi_dummybot_1"",""Duration: 00:00:01.0315143""]"
﻿RPSLS,Orbit_LightningLightning3000_511,Orbit_CrystalCrown8000_9,Group G,2026-02-22 22:24:38,2166,3,"[""=== RPSLS Match: Orbit_LightningLightning3000_511 vs Orbit_CrystalCrown8000_9 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_LightningLightning3000_511 0 - 0 Orbit_CrystalCrown8000_9"",""Duration: 00:00:02.1669679""]"
﻿RPSLS,Orbit_VioletAxe6000_502,Orbit_Yossi_winnerbot_29,Group C,2026-02-22 22:24:40,2468,2,"[""=== RPSLS Match: Orbit_VioletAxe6000_502 vs Orbit_Yossi_winnerbot_29 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_29 (Scissors) beats Orbit_VioletAxe6000_502 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_VioletAxe6000_502 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_VioletAxe6000_502 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_29 (Lizard) beats Orbit_VioletAxe6000_502 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_29 (Paper) beats Orbit_VioletAxe6000_502 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_29 (Scissors) beats Orbit_VioletAxe6000_502 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_VioletAxe6000_502 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_VioletAxe6000_502 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_29 (Lizard) beats Orbit_VioletAxe6000_502 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_29 (Paper) beats Orbit_VioletAxe6000_502 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_29"",""Final Score: Orbit_VioletAxe6000_502 0 - 10 Orbit_Yossi_winnerbot_29"",""Duration: 00:00:02.4687962""]"
﻿RPSLS,Orbit_VoidStormPro_20,Orbit_DesertFighterSys_27,Group I,2026-02-22 22:24:35,1265,3,"[""=== RPSLS Match: Orbit_VoidStormPro_20 vs Orbit_DesertFighterSys_27 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_VoidStormPro_20 0 - 0 Orbit_DesertFighterSys_27"",""Duration: 00:00:01.2652315""]"
﻿RPSLS,Orbit_Yossi_winnerbot_17,OmegaBot,Group E,2026-02-22 22:24:54,1502,2,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_17 vs OmegaBot ==="",""Max Rounds: 10"","""",""Round 1: OmegaBot (Rock) beats Orbit_Yossi_winnerbot_17 (Scissors) - Score: 0-1"",""Round 2: OmegaBot (Paper) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 0-2"",""Round 3: OmegaBot (Spock) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_17 (Lizard) beats OmegaBot (Spock) - Score: 1-3"",""Round 5: Orbit_Yossi_winnerbot_17 (Paper) beats OmegaBot (Rock) - Score: 2-3"",""Round 6: OmegaBot (Rock) beats Orbit_Yossi_winnerbot_17 (Scissors) - Score: 2-4"",""Round 7: Draw - Rock vs Rock - Score: 2-4"",""Round 8: Draw - Rock vs Rock - Score: 2-4"",""Round 9: Orbit_Yossi_winnerbot_17 (Lizard) beats OmegaBot (Spock) - Score: 3-4"",""Round 10: Draw - Paper vs Paper - Score: 3-4"","""",""=== Final Result ==="",""Winner: OmegaBot"",""Final Score: Orbit_Yossi_winnerbot_17 3 - 4 OmegaBot"",""Duration: 00:00:01.5022128""]"
﻿RPSLS,Orbit_CrystalCrown8000_9,Orbit_Yossi_winnerbot_0,Group G,2026-02-22 22:24:34,1046,2,"[""=== RPSLS Match: Orbit_CrystalCrown8000_9 vs Orbit_Yossi_winnerbot_0 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_CrystalCrown8000_9 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_CrystalCrown8000_9 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_CrystalCrown8000_9 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_CrystalCrown8000_9 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_CrystalCrown8000_9 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_CrystalCrown8000_9 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_0"",""Final Score: Orbit_CrystalCrown8000_9 0 - 10 Orbit_Yossi_winnerbot_0"",""Duration: 00:00:01.0466578""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_BetaCheetahBeta_26,Group J,2026-02-22 22:24:34,1018,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_BetaCheetahBeta_26 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_BetaCheetahBeta_26 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_BetaCheetahBeta_26 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_BetaCheetahBeta_26 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_BetaCheetahBeta_26 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_BetaCheetahBeta_26 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_BetaCheetahBeta_26 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_BetaCheetahBeta_26 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_BetaCheetahBeta_26 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_BetaCheetahBeta_26 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_BetaCheetahBeta_26 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_BetaCheetahBeta_26"",""Duration: 00:00:01.0180695""]"
﻿RPSLS,Orbit_TeraFighterOps_504,Orbit_WiseBladeTwo_523,Group I,2026-02-22 22:24:34,1008,3,"[""=== RPSLS Match: Orbit_TeraFighterOps_504 vs Orbit_WiseBladeTwo_523 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_TeraFighterOps_504 0 - 0 Orbit_WiseBladeTwo_523"",""Duration: 00:00:01.0080591""]"
