GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_CosmicAndroidGen2_507,Orbit_TeraFighterOps_504,Group A,2026-02-22 20:17:44,1755,3,"[""=== RPSLS Match: Orbit_CosmicAndroidGen2_507 vs Orbit_TeraFighterOps_504 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicAndroidGen2_507 0 - 0 Orbit_TeraFighterOps_504"",""Duration: 00:00:01.7557649""]"
﻿RPSLS,Orbit_LegendarySpiritMaster_0,Orbit_OrangeLionNet_514,Group E,2026-02-22 20:17:44,1681,3,"[""=== RPSLS Match: Orbit_LegendarySpiritMaster_0 vs Orbit_OrangeLionNet_514 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_LegendarySpiritMaster_0 0 - 0 Orbit_OrangeLionNet_514"",""Duration: 00:00:01.6818702""]"
﻿RPSLS,Orbit_Yossi_winnerbot_12,Orbit_ForestGolemOmega_510,Group H,2026-02-22 20:17:44,1755,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_12 vs Orbit_ForestGolemOmega_510 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_12 (Scissors) beats Orbit_ForestGolemOmega_510 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_ForestGolemOmega_510 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_ForestGolemOmega_510 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_12 (Lizard) beats Orbit_ForestGolemOmega_510 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_12 (Paper) beats Orbit_ForestGolemOmega_510 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_12 (Scissors) beats Orbit_ForestGolemOmega_510 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_ForestGolemOmega_510 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_ForestGolemOmega_510 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_12 (Lizard) beats Orbit_ForestGolemOmega_510 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_12 (Paper) beats Orbit_ForestGolemOmega_510 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_12"",""Final Score: Orbit_Yossi_winnerbot_12 10 - 0 Orbit_ForestGolemOmega_510"",""Duration: 00:00:01.7557277""]"
﻿RPSLS,Orbit_MacroBladeOmega_8,Orbit_CosmicCrusaderGen2_17,Group B,2026-02-22 20:17:44,1737,3,"[""=== RPSLS Match: Orbit_MacroBladeOmega_8 vs Orbit_CosmicCrusaderGen2_17 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_MacroBladeOmega_8 0 - 0 Orbit_CosmicCrusaderGen2_17"",""Duration: 00:00:01.7377712""]"
﻿RPSLS,Orbit_Yossi_winnerbot_26,Orbit_Yossi_winnerbot_16,Group B,2026-02-22 20:17:44,1600,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_26 vs Orbit_Yossi_winnerbot_16 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_26 0 - 0 Orbit_Yossi_winnerbot_16"",""Duration: 00:00:01.6005932""]"
﻿RPSLS,Orbit_ForestBeastMaster_12,Orbit_MicroPlanetLab_11,Group C,2026-02-22 20:17:44,1681,3,"[""=== RPSLS Match: Orbit_ForestBeastMaster_12 vs Orbit_MicroPlanetLab_11 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_ForestBeastMaster_12 0 - 0 Orbit_MicroPlanetLab_11"",""Duration: 00:00:01.6817188""]"
﻿RPSLS,Orbit_Yossi_winnerbot_8,Orbit_CrystalCrown8000_9,Group J,2026-02-22 20:17:44,1755,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_8 vs Orbit_CrystalCrown8000_9 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_8 (Scissors) beats Orbit_CrystalCrown8000_9 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_CrystalCrown8000_9 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_8 (Lizard) beats Orbit_CrystalCrown8000_9 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_8 (Paper) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_8 (Scissors) beats Orbit_CrystalCrown8000_9 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_CrystalCrown8000_9 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_8 (Lizard) beats Orbit_CrystalCrown8000_9 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_8 (Paper) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_8"",""Final Score: Orbit_Yossi_winnerbot_8 10 - 0 Orbit_CrystalCrown8000_9"",""Duration: 00:00:01.7558149""]"
﻿RPSLS,Orbit_FierceStrikerMK5_4,GuyBot,Group F,2026-02-22 20:17:44,1804,2,"[""=== RPSLS Match: Orbit_FierceStrikerMK5_4 vs GuyBot ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: GuyBot (Rock) beats Orbit_FierceStrikerMK5_4 (Scissors) - Score: 0-1"",""Round 3: GuyBot (Rock) beats Orbit_FierceStrikerMK5_4 (Lizard) - Score: 0-2"",""Round 4: GuyBot (Paper) beats Orbit_FierceStrikerMK5_4 (Spock) - Score: 0-3"",""Round 5: Orbit_FierceStrikerMK5_4 (Rock) beats GuyBot (Scissors) - Score: 1-3"",""Round 6: Orbit_FierceStrikerMK5_4 (Paper) beats GuyBot (Spock) - Score: 2-3"",""Round 7: GuyBot (Spock) beats Orbit_FierceStrikerMK5_4 (Scissors) - Score: 2-4"",""Round 8: GuyBot (Scissors) beats Orbit_FierceStrikerMK5_4 (Lizard) - Score: 2-5"",""Round 9: GuyBot (Paper) beats Orbit_FierceStrikerMK5_4 (Spock) - Score: 2-6"",""Round 10: GuyBot (Spock) beats Orbit_FierceStrikerMK5_4 (Rock) - Score: 2-7"","""",""=== Final Result ==="",""Winner: GuyBot"",""Final Score: Orbit_FierceStrikerMK5_4 2 - 7 GuyBot"",""Duration: 00:00:01.8041651""]"
﻿RPSLS,Orbit_PurpleGladiator7000_10,UndefinedBot,Group I,2026-02-22 20:17:44,1804,3,"[""=== RPSLS Match: Orbit_PurpleGladiator7000_10 vs UndefinedBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_PurpleGladiator7000_10 (Paper) beats UndefinedBot (Rock) - Score: 1-0"",""Round 2: UndefinedBot (Spock) beats Orbit_PurpleGladiator7000_10 (Scissors) - Score: 1-1"",""Round 3: Draw - Lizard vs Lizard - Score: 1-1"",""Round 4: Draw - Spock vs Spock - Score: 1-1"",""Round 5: Draw - Rock vs Rock - Score: 1-1"",""Round 6: UndefinedBot (Lizard) beats Orbit_PurpleGladiator7000_10 (Paper) - Score: 1-2"",""Round 7: Orbit_PurpleGladiator7000_10 (Scissors) beats UndefinedBot (Lizard) - Score: 2-2"",""Round 8: UndefinedBot (Rock) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 2-3"",""Round 9: Draw - Spock vs Spock - Score: 2-3"",""Round 10: Orbit_PurpleGladiator7000_10 (Rock) beats UndefinedBot (Scissors) - Score: 3-3"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_PurpleGladiator7000_10 3 - 3 UndefinedBot"",""Duration: 00:00:01.8041862""]"
﻿RPSLS,Orbit_Yossi_winnerbot_6,Orbit_VoidStormPro_20,Group H,2026-02-22 20:17:44,1673,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_6 vs Orbit_VoidStormPro_20 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_6 (Scissors) beats Orbit_VoidStormPro_20 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_6 (Rock) beats Orbit_VoidStormPro_20 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_6 (Rock) beats Orbit_VoidStormPro_20 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_6 (Lizard) beats Orbit_VoidStormPro_20 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_6 (Paper) beats Orbit_VoidStormPro_20 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_6 (Scissors) beats Orbit_VoidStormPro_20 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_6 (Rock) beats Orbit_VoidStormPro_20 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_6 (Rock) beats Orbit_VoidStormPro_20 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_6 (Lizard) beats Orbit_VoidStormPro_20 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_6 (Paper) beats Orbit_VoidStormPro_20 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_6"",""Final Score: Orbit_Yossi_winnerbot_6 10 - 0 Orbit_VoidStormPro_20"",""Duration: 00:00:01.6738781""]"
