GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_PrimeBearOne_516,Orbit_CosmicMeteorAlpha_528,Group G,2026-02-22 16:37:30,1417,3,"[""=== RPSLS Match: Orbit_PrimeBearOne_516 vs Orbit_CosmicMeteorAlpha_528 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_PrimeBearOne_516 0 - 0 Orbit_CosmicMeteorAlpha_528"",""Duration: 00:00:01.4179538""]"
﻿RPSLS,Ayalas_Excellent_Bot,Orbit_Yossi_winnerbot_14,Group A,2026-02-22 16:37:30,1675,2,"[""=== RPSLS Match: Ayalas_Excellent_Bot vs Orbit_Yossi_winnerbot_14 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_14 (Scissors) beats Ayalas_Excellent_Bot (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_14 (Rock) beats Ayalas_Excellent_Bot (Lizard) - Score: 0-2"",""Round 3: Ayalas_Excellent_Bot (Paper) beats Orbit_Yossi_winnerbot_14 (Rock) - Score: 1-2"",""Round 4: Orbit_Yossi_winnerbot_14 (Lizard) beats Ayalas_Excellent_Bot (Paper) - Score: 1-3"",""Round 5: Orbit_Yossi_winnerbot_14 (Paper) beats Ayalas_Excellent_Bot (Rock) - Score: 1-4"",""Round 6: Orbit_Yossi_winnerbot_14 (Scissors) beats Ayalas_Excellent_Bot (Lizard) - Score: 1-5"",""Round 7: Draw - Rock vs Rock - Score: 1-5"",""Round 8: Ayalas_Excellent_Bot (Spock) beats Orbit_Yossi_winnerbot_14 (Rock) - Score: 2-5"",""Round 9: Ayalas_Excellent_Bot (Scissors) beats Orbit_Yossi_winnerbot_14 (Lizard) - Score: 3-5"",""Round 10: Orbit_Yossi_winnerbot_14 (Paper) beats Ayalas_Excellent_Bot (Rock) - Score: 3-6"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_14"",""Final Score: Ayalas_Excellent_Bot 3 - 6 Orbit_Yossi_winnerbot_14"",""Duration: 00:00:01.6756765""]"
﻿RPSLS,Orbit_Yossi_dummybot_4,Orbit_TeraPirateZ_2,Group G,2026-02-22 16:37:30,1592,3,"[""=== RPSLS Match: Orbit_Yossi_dummybot_4 vs Orbit_TeraPirateZ_2 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_TeraPirateZ_2 (Paper) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 0-1"",""Round 2: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Scissors) - Score: 1-1"",""Round 3: Orbit_TeraPirateZ_2 (Lizard) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 1-2"",""Round 4: Draw - Spock vs Spock - Score: 1-2"",""Round 5: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Rock) - Score: 2-2"",""Round 6: Orbit_TeraPirateZ_2 (Paper) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 2-3"",""Round 7: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Scissors) - Score: 3-3"",""Round 8: Orbit_TeraPirateZ_2 (Lizard) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 3-4"",""Round 9: Draw - Spock vs Spock - Score: 3-4"",""Round 10: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_TeraPirateZ_2 (Rock) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_dummybot_4 4 - 4 Orbit_TeraPirateZ_2"",""Duration: 00:00:01.5928790""]"
﻿RPSLS,Orbit_Yossi_winnerbot_3,Orbit_Yossi_winnerbot_8,Group I,2026-02-22 16:37:30,1386,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_3 vs Orbit_Yossi_winnerbot_8 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_3 0 - 0 Orbit_Yossi_winnerbot_8"",""Duration: 00:00:01.3861352""]"
﻿RPSLS,Orbit_DefenderBot,Orbit_QuickAvalancheMax_7,Group A,2026-02-22 16:37:30,1474,2,"[""=== RPSLS Match: Orbit_DefenderBot vs Orbit_QuickAvalancheMax_7 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_QuickAvalancheMax_7 (Paper) beats Orbit_DefenderBot (Rock) - Score: 0-1"",""Round 2: Orbit_DefenderBot (Rock) beats Orbit_QuickAvalancheMax_7 (Scissors) - Score: 1-1"",""Round 3: Orbit_QuickAvalancheMax_7 (Lizard) beats Orbit_DefenderBot (Paper) - Score: 1-2"",""Round 4: Orbit_QuickAvalancheMax_7 (Spock) beats Orbit_DefenderBot (Rock) - Score: 1-3"",""Round 5: Draw - Rock vs Rock - Score: 1-3"",""Round 6: Orbit_QuickAvalancheMax_7 (Paper) beats Orbit_DefenderBot (Rock) - Score: 1-4"",""Round 7: Orbit_QuickAvalancheMax_7 (Scissors) beats Orbit_DefenderBot (Paper) - Score: 1-5"",""Round 8: Draw - Lizard vs Lizard - Score: 1-5"",""Round 9: Orbit_QuickAvalancheMax_7 (Spock) beats Orbit_DefenderBot (Rock) - Score: 1-6"",""Round 10: Orbit_QuickAvalancheMax_7 (Rock) beats Orbit_DefenderBot (Scissors) - Score: 1-7"","""",""=== Final Result ==="",""Winner: Orbit_QuickAvalancheMax_7"",""Final Score: Orbit_DefenderBot 1 - 7 Orbit_QuickAvalancheMax_7"",""Duration: 00:00:01.4743137""]"
﻿RPSLS,AegisStrat-314,Orbit_BraveAvalancheX_526,Group C,2026-02-22 16:37:30,2022,1,"[""=== RPSLS Match: AegisStrat-314 vs Orbit_BraveAvalancheX_526 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_BraveAvalancheX_526 (Paper) beats AegisStrat-314 (Rock) - Score: 0-1"",""Round 2: Draw - Scissors vs Scissors - Score: 0-1"",""Round 3: AegisStrat-314 (Scissors) beats Orbit_BraveAvalancheX_526 (Lizard) - Score: 1-1"",""Round 4: Orbit_BraveAvalancheX_526 (Spock) beats AegisStrat-314 (Scissors) - Score: 1-2"",""Round 5: Orbit_BraveAvalancheX_526 (Rock) beats AegisStrat-314 (Scissors) - Score: 1-3"",""Round 6: Orbit_BraveAvalancheX_526 (Paper) beats AegisStrat-314 (Rock) - Score: 1-4"",""Round 7: AegisStrat-314 (Rock) beats Orbit_BraveAvalancheX_526 (Scissors) - Score: 2-4"",""Round 8: AegisStrat-314 (Scissors) beats Orbit_BraveAvalancheX_526 (Lizard) - Score: 3-4"",""Round 9: AegisStrat-314 (Lizard) beats Orbit_BraveAvalancheX_526 (Spock) - Score: 4-4"",""Round 10: AegisStrat-314 (Paper) beats Orbit_BraveAvalancheX_526 (Rock) - Score: 5-4"","""",""=== Final Result ==="",""Winner: AegisStrat-314"",""Final Score: AegisStrat-314 5 - 4 Orbit_BraveAvalancheX_526"",""Duration: 00:00:02.0222649""]"
﻿RPSLS,Orbit_OrangeLionNet_514,Orbit_DarkGiantBot_527,Group D,2026-02-22 16:37:30,1707,3,"[""=== RPSLS Match: Orbit_OrangeLionNet_514 vs Orbit_DarkGiantBot_527 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OrangeLionNet_514 0 - 0 Orbit_DarkGiantBot_527"",""Duration: 00:00:01.7076327""]"
﻿RPSLS,Orbit_CosmicMeteorAlpha_528,Orbit_TeraPirateZ_2,Group G,2026-02-22 16:37:30,1019,3,"[""=== RPSLS Match: Orbit_CosmicMeteorAlpha_528 vs Orbit_TeraPirateZ_2 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicMeteorAlpha_528 0 - 0 Orbit_TeraPirateZ_2"",""Duration: 00:00:01.0191214""]"
﻿RPSLS,Orbit_TeraRobotV1_529,Orbit_RiverEntity8000_506,Group G,2026-02-22 16:37:30,1474,3,"[""=== RPSLS Match: Orbit_TeraRobotV1_529 vs Orbit_RiverEntity8000_506 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_TeraRobotV1_529 0 - 0 Orbit_RiverEntity8000_506"",""Duration: 00:00:01.4742931""]"
﻿RPSLS,Orbit_CosmicAndroidGen2_507,Orbit_WiseBladeTwo_523,Group D,2026-02-22 16:37:30,1640,3,"[""=== RPSLS Match: Orbit_CosmicAndroidGen2_507 vs Orbit_WiseBladeTwo_523 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicAndroidGen2_507 0 - 0 Orbit_WiseBladeTwo_523"",""Duration: 00:00:01.6409670""]"
