GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_SwiftChaserLord_517,Orbit_ChaosBot,Group E,2026-02-22 19:44:30,1646,1,"[""=== RPSLS Match: Orbit_SwiftChaserLord_517 vs Orbit_ChaosBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_SwiftChaserLord_517 (Paper) beats Orbit_ChaosBot (Rock) - Score: 1-0"",""Round 2: Orbit_SwiftChaserLord_517 (Scissors) beats Orbit_ChaosBot (Paper) - Score: 2-0"",""Round 3: Draw - Lizard vs Lizard - Score: 2-0"",""Round 4: Draw - Spock vs Spock - Score: 2-0"",""Round 5: Orbit_SwiftChaserLord_517 (Rock) beats Orbit_ChaosBot (Lizard) - Score: 3-0"",""Round 6: Orbit_SwiftChaserLord_517 (Paper) beats Orbit_ChaosBot (Spock) - Score: 4-0"",""Round 7: Orbit_ChaosBot (Spock) beats Orbit_SwiftChaserLord_517 (Scissors) - Score: 4-1"",""Round 8: Orbit_SwiftChaserLord_517 (Lizard) beats Orbit_ChaosBot (Spock) - Score: 5-1"",""Round 9: Draw - Spock vs Spock - Score: 5-1"",""Round 10: Orbit_ChaosBot (Spock) beats Orbit_SwiftChaserLord_517 (Rock) - Score: 5-2"","""",""=== Final Result ==="",""Winner: Orbit_SwiftChaserLord_517"",""Final Score: Orbit_SwiftChaserLord_517 5 - 2 Orbit_ChaosBot"",""Duration: 00:00:01.6468883""]"
﻿RPSLS,Orbit_TeraRobotV1_529,Orbit_Yossi_winnerbot_5,Group F,2026-02-22 19:44:30,1733,2,"[""=== RPSLS Match: Orbit_TeraRobotV1_529 vs Orbit_Yossi_winnerbot_5 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_5 (Scissors) beats Orbit_TeraRobotV1_529 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_5 (Lizard) beats Orbit_TeraRobotV1_529 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_5 (Paper) beats Orbit_TeraRobotV1_529 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_5 (Scissors) beats Orbit_TeraRobotV1_529 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_5 (Lizard) beats Orbit_TeraRobotV1_529 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_5 (Paper) beats Orbit_TeraRobotV1_529 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_5"",""Final Score: Orbit_TeraRobotV1_529 0 - 10 Orbit_Yossi_winnerbot_5"",""Duration: 00:00:01.7331085""]"
﻿RPSLS,Orbit_CosmicAndroidGen2_507,Orbit_AggressorBot,Group A,2026-02-22 19:44:30,1713,2,"[""=== RPSLS Match: Orbit_CosmicAndroidGen2_507 vs Orbit_AggressorBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CosmicAndroidGen2_507 (Paper) beats Orbit_AggressorBot (Rock) - Score: 1-0"",""Round 2: Orbit_CosmicAndroidGen2_507 (Scissors) beats Orbit_AggressorBot (Paper) - Score: 2-0"",""Round 3: Orbit_AggressorBot (Scissors) beats Orbit_CosmicAndroidGen2_507 (Lizard) - Score: 2-1"",""Round 4: Orbit_AggressorBot (Lizard) beats Orbit_CosmicAndroidGen2_507 (Spock) - Score: 2-2"",""Round 5: Orbit_AggressorBot (Spock) beats Orbit_CosmicAndroidGen2_507 (Rock) - Score: 2-3"",""Round 6: Orbit_CosmicAndroidGen2_507 (Paper) beats Orbit_AggressorBot (Rock) - Score: 3-3"",""Round 7: Orbit_CosmicAndroidGen2_507 (Scissors) beats Orbit_AggressorBot (Paper) - Score: 4-3"",""Round 8: Orbit_AggressorBot (Scissors) beats Orbit_CosmicAndroidGen2_507 (Lizard) - Score: 4-4"",""Round 9: Orbit_AggressorBot (Lizard) beats Orbit_CosmicAndroidGen2_507 (Spock) - Score: 4-5"",""Round 10: Orbit_AggressorBot (Spock) beats Orbit_CosmicAndroidGen2_507 (Rock) - Score: 4-6"","""",""=== Final Result ==="",""Winner: Orbit_AggressorBot"",""Final Score: Orbit_CosmicAndroidGen2_507 4 - 6 Orbit_AggressorBot"",""Duration: 00:00:01.7132210""]"
﻿RPSLS,Orbit_Yossi_winnerbot_29,PatternHunter,Group C,2026-02-22 19:44:30,1647,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_29 vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: PatternHunter (Spock) beats Orbit_Yossi_winnerbot_29 (Scissors) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_29 (Rock) beats PatternHunter (Scissors) - Score: 1-1"",""Round 3: Draw - Rock vs Rock - Score: 1-1"",""Round 4: Orbit_Yossi_winnerbot_29 (Lizard) beats PatternHunter (Paper) - Score: 2-1"",""Round 5: Orbit_Yossi_winnerbot_29 (Paper) beats PatternHunter (Rock) - Score: 3-1"",""Round 6: Orbit_Yossi_winnerbot_29 (Scissors) beats PatternHunter (Lizard) - Score: 4-1"",""Round 7: PatternHunter (Paper) beats Orbit_Yossi_winnerbot_29 (Rock) - Score: 4-2"",""Round 8: PatternHunter (Paper) beats Orbit_Yossi_winnerbot_29 (Rock) - Score: 4-3"",""Round 9: Draw - Lizard vs Lizard - Score: 4-3"",""Round 10: PatternHunter (Lizard) beats Orbit_Yossi_winnerbot_29 (Paper) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_29 4 - 4 PatternHunter"",""Duration: 00:00:01.6470488""]"
﻿RPSLS,Orbit_Yossi_winnerbot_22,Orbit_PurpleGladiator7000_10,Group C,2026-02-22 19:44:30,1572,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_22 vs Orbit_PurpleGladiator7000_10 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_22 (Scissors) beats Orbit_PurpleGladiator7000_10 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_PurpleGladiator7000_10 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_22 (Lizard) beats Orbit_PurpleGladiator7000_10 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_22 (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_22 (Scissors) beats Orbit_PurpleGladiator7000_10 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_PurpleGladiator7000_10 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_22 (Lizard) beats Orbit_PurpleGladiator7000_10 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_22 (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_22"",""Final Score: Orbit_Yossi_winnerbot_22 10 - 0 Orbit_PurpleGladiator7000_10"",""Duration: 00:00:01.5729632""]"
﻿RPSLS,Orbit_SigmaHammer3000_522,Orbit_Yossi_winnerbot_4,Group F,2026-02-22 19:44:30,1646,2,"[""=== RPSLS Match: Orbit_SigmaHammer3000_522 vs Orbit_Yossi_winnerbot_4 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_SigmaHammer3000_522 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_SigmaHammer3000_522 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_SigmaHammer3000_522 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_SigmaHammer3000_522 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_SigmaHammer3000_522 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_SigmaHammer3000_522 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_SigmaHammer3000_522 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_SigmaHammer3000_522 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_SigmaHammer3000_522 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_SigmaHammer3000_522 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_4"",""Final Score: Orbit_SigmaHammer3000_522 0 - 10 Orbit_Yossi_winnerbot_4"",""Duration: 00:00:01.6467763""]"
﻿RPSLS,Orbit_AgileBearOne_5,Orbit_TeraBotZ_509,Group G,2026-02-22 19:44:30,1539,3,"[""=== RPSLS Match: Orbit_AgileBearOne_5 vs Orbit_TeraBotZ_509 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_AgileBearOne_5 0 - 0 Orbit_TeraBotZ_509"",""Duration: 00:00:01.5399667""]"
﻿RPSLS,AlexDimaDavidBot,adilipPatternHunter,Group D,2026-02-22 19:44:30,2370,2,"[""=== RPSLS Match: AlexDimaDavidBot vs adilipPatternHunter ==="",""Max Rounds: 10"","""",""Round 1: Draw - Spock vs Spock - Score: 0-0"",""Round 2: adilipPatternHunter (Scissors) beats AlexDimaDavidBot (Paper) - Score: 0-1"",""Round 3: Draw - Rock vs Rock - Score: 0-1"",""Round 4: Draw - Spock vs Spock - Score: 0-1"",""Round 5: adilipPatternHunter (Lizard) beats AlexDimaDavidBot (Paper) - Score: 0-2"",""Round 6: AlexDimaDavidBot (Scissors) beats adilipPatternHunter (Lizard) - Score: 1-2"",""Round 7: Draw - Rock vs Rock - Score: 1-2"",""Round 8: Draw - Paper vs Paper - Score: 1-2"",""Round 9: adilipPatternHunter (Scissors) beats AlexDimaDavidBot (Paper) - Score: 1-3"",""Round 10: AlexDimaDavidBot (Lizard) beats adilipPatternHunter (Spock) - Score: 2-3"","""",""=== Final Result ==="",""Winner: adilipPatternHunter"",""Final Score: AlexDimaDavidBot 2 - 3 adilipPatternHunter"",""Duration: 00:00:02.3700394""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_Yossi_winnerbot_15,Group C,2026-02-22 19:44:30,1655,2,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_Yossi_winnerbot_15 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_15 (Scissors) beats Orbit_OceanTrackerElite_512 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_15 (Lizard) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_15 (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_15 (Scissors) beats Orbit_OceanTrackerElite_512 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_15 (Lizard) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_15 (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_15"",""Final Score: Orbit_OceanTrackerElite_512 0 - 10 Orbit_Yossi_winnerbot_15"",""Duration: 00:00:01.6553412""]"
﻿RPSLS,Orbit_CosmicAndroidGen2_507,Orbit_Yossi_winnerbot_28,Group A,2026-02-22 19:44:30,1720,2,"[""=== RPSLS Match: Orbit_CosmicAndroidGen2_507 vs Orbit_Yossi_winnerbot_28 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_28 (Scissors) beats Orbit_CosmicAndroidGen2_507 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_28 (Rock) beats Orbit_CosmicAndroidGen2_507 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_28 (Rock) beats Orbit_CosmicAndroidGen2_507 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_28 (Lizard) beats Orbit_CosmicAndroidGen2_507 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_28 (Paper) beats Orbit_CosmicAndroidGen2_507 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_28 (Scissors) beats Orbit_CosmicAndroidGen2_507 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_28 (Rock) beats Orbit_CosmicAndroidGen2_507 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_28 (Rock) beats Orbit_CosmicAndroidGen2_507 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_28 (Lizard) beats Orbit_CosmicAndroidGen2_507 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_28 (Paper) beats Orbit_CosmicAndroidGen2_507 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_28"",""Final Score: Orbit_CosmicAndroidGen2_507 0 - 10 Orbit_Yossi_winnerbot_28"",""Duration: 00:00:01.7209216""]"
