GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_ForestGolemOmega_510,Orbit_Yossi_winnerbot_5,Group E,2026-02-22 23:27:22,993,2,"[""=== RPSLS Match: Orbit_ForestGolemOmega_510 vs Orbit_Yossi_winnerbot_5 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_5 (Scissors) beats Orbit_ForestGolemOmega_510 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_ForestGolemOmega_510 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_ForestGolemOmega_510 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_5 (Lizard) beats Orbit_ForestGolemOmega_510 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_5 (Paper) beats Orbit_ForestGolemOmega_510 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_5 (Scissors) beats Orbit_ForestGolemOmega_510 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_ForestGolemOmega_510 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_5 (Rock) beats Orbit_ForestGolemOmega_510 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_5 (Lizard) beats Orbit_ForestGolemOmega_510 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_5 (Paper) beats Orbit_ForestGolemOmega_510 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_5"",""Final Score: Orbit_ForestGolemOmega_510 0 - 10 Orbit_Yossi_winnerbot_5"",""Duration: 00:00:00.9939750""]"
﻿RPSLS,Orbit_Yossi_dummybot_0,Orbit_Yossi_winnerbot_16,Group C,2026-02-22 23:27:22,801,2,"[""=== RPSLS Match: Orbit_Yossi_dummybot_0 vs Orbit_Yossi_winnerbot_16 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_16 (Scissors) beats Orbit_Yossi_dummybot_0 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_Yossi_dummybot_0 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_Yossi_dummybot_0 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_16 (Lizard) beats Orbit_Yossi_dummybot_0 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_16 (Paper) beats Orbit_Yossi_dummybot_0 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_16 (Scissors) beats Orbit_Yossi_dummybot_0 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_Yossi_dummybot_0 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_Yossi_dummybot_0 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_16 (Lizard) beats Orbit_Yossi_dummybot_0 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_16 (Paper) beats Orbit_Yossi_dummybot_0 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_16"",""Final Score: Orbit_Yossi_dummybot_0 0 - 10 Orbit_Yossi_winnerbot_16"",""Duration: 00:00:00.8013330""]"
﻿RPSLS,Orbit_ArcticChaserMK2_28,Orbit_Yossi_winnerbot_0,Group F,2026-02-22 23:27:22,970,2,"[""=== RPSLS Match: Orbit_ArcticChaserMK2_28 vs Orbit_Yossi_winnerbot_0 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_ArcticChaserMK2_28 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ArcticChaserMK2_28 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ArcticChaserMK2_28 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_ArcticChaserMK2_28 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_ArcticChaserMK2_28 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_ArcticChaserMK2_28 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ArcticChaserMK2_28 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ArcticChaserMK2_28 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_ArcticChaserMK2_28 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_ArcticChaserMK2_28 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_0"",""Final Score: Orbit_ArcticChaserMK2_28 0 - 10 Orbit_Yossi_winnerbot_0"",""Duration: 00:00:00.9707981""]"
﻿RPSLS,OmegaBot,Idan_Aharoni,Group E,2026-02-22 23:27:22,1682,1,"[""=== RPSLS Match: OmegaBot vs Idan_Aharoni ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: OmegaBot (Paper) beats Idan_Aharoni (Rock) - Score: 1-0"",""Round 3: OmegaBot (Spock) beats Idan_Aharoni (Scissors) - Score: 2-0"",""Round 4: Idan_Aharoni (Spock) beats OmegaBot (Scissors) - Score: 2-1"",""Round 5: Idan_Aharoni (Spock) beats OmegaBot (Scissors) - Score: 2-2"",""Round 6: Idan_Aharoni (Rock) beats OmegaBot (Scissors) - Score: 2-3"",""Round 7: Idan_Aharoni (Rock) beats OmegaBot (Scissors) - Score: 2-4"",""Round 8: OmegaBot (Spock) beats Idan_Aharoni (Scissors) - Score: 3-4"",""Round 9: OmegaBot (Spock) beats Idan_Aharoni (Rock) - Score: 4-4"",""Round 10: OmegaBot (Lizard) beats Idan_Aharoni (Spock) - Score: 5-4"","""",""=== Final Result ==="",""Winner: OmegaBot"",""Final Score: OmegaBot 5 - 4 Idan_Aharoni"",""Duration: 00:00:01.6828907""]"
﻿RPSLS,Orbit_PrimeBearOne_516,StrategyForge,Group H,2026-02-22 23:27:22,1123,1,"[""=== RPSLS Match: Orbit_PrimeBearOne_516 vs StrategyForge ==="",""Max Rounds: 10"","""",""Round 1: StrategyForge (Lizard) beats Orbit_PrimeBearOne_516 (Paper) - Score: 0-1"",""Round 2: StrategyForge (Spock) beats Orbit_PrimeBearOne_516 (Scissors) - Score: 0-2"",""Round 3: Orbit_PrimeBearOne_516 (Lizard) beats StrategyForge (Paper) - Score: 1-2"",""Round 4: Draw - Spock vs Spock - Score: 1-2"",""Round 5: Orbit_PrimeBearOne_516 (Rock) beats StrategyForge (Lizard) - Score: 2-2"",""Round 6: Orbit_PrimeBearOne_516 (Paper) beats StrategyForge (Spock) - Score: 3-2"",""Round 7: Orbit_PrimeBearOne_516 (Scissors) beats StrategyForge (Lizard) - Score: 4-2"",""Round 8: Draw - Lizard vs Lizard - Score: 4-2"",""Round 9: Orbit_PrimeBearOne_516 (Spock) beats StrategyForge (Rock) - Score: 5-2"",""Round 10: Orbit_PrimeBearOne_516 (Rock) beats StrategyForge (Scissors) - Score: 6-2"","""",""=== Final Result ==="",""Winner: Orbit_PrimeBearOne_516"",""Final Score: Orbit_PrimeBearOne_516 6 - 2 StrategyForge"",""Duration: 00:00:01.1231732""]"
﻿RPSLS,Orbit_IceShamanMK3_518,Orbit_DesertHammerPro_18,Group A,2026-02-22 23:27:22,958,3,"[""=== RPSLS Match: Orbit_IceShamanMK3_518 vs Orbit_DesertHammerPro_18 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_IceShamanMK3_518 0 - 0 Orbit_DesertHammerPro_18"",""Duration: 00:00:00.9589611""]"
﻿RPSLS,Orbit_CosmicCoreUltra_501,Orbit_Yossi_dummybot_0,Group C,2026-02-22 23:27:22,776,3,"[""=== RPSLS Match: Orbit_CosmicCoreUltra_501 vs Orbit_Yossi_dummybot_0 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicCoreUltra_501 0 - 0 Orbit_Yossi_dummybot_0"",""Duration: 00:00:00.7763769""]"
﻿RPSLS,Orbit_Yossi_winnerbot_4,Orbit_TeraBotZ_509,Group I,2026-02-22 23:27:22,919,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_4 vs Orbit_TeraBotZ_509 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_TeraBotZ_509 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_TeraBotZ_509 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_TeraBotZ_509 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_TeraBotZ_509 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_TeraBotZ_509 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_TeraBotZ_509 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_TeraBotZ_509 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_TeraBotZ_509 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_TeraBotZ_509 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_TeraBotZ_509 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_4"",""Final Score: Orbit_Yossi_winnerbot_4 10 - 0 Orbit_TeraBotZ_509"",""Duration: 00:00:00.9197549""]"
﻿RPSLS,Orbit_Yossi_winnerbot_17,Orbit_DiamondTempestNet_515,Group F,2026-02-22 23:27:22,932,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_17 vs Orbit_DiamondTempestNet_515 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_17 (Scissors) beats Orbit_DiamondTempestNet_515 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_17 (Rock) beats Orbit_DiamondTempestNet_515 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_17 (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_17 (Lizard) beats Orbit_DiamondTempestNet_515 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_17 (Paper) beats Orbit_DiamondTempestNet_515 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_17 (Scissors) beats Orbit_DiamondTempestNet_515 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_17 (Rock) beats Orbit_DiamondTempestNet_515 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_17 (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_17 (Lizard) beats Orbit_DiamondTempestNet_515 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_17 (Paper) beats Orbit_DiamondTempestNet_515 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_17"",""Final Score: Orbit_Yossi_winnerbot_17 10 - 0 Orbit_DiamondTempestNet_515"",""Duration: 00:00:00.9328495""]"
﻿RPSLS,Orbit_ForestHelmV3_520,Orbit_Yossi_winnerbot_20,Group G,2026-02-22 23:27:22,928,2,"[""=== RPSLS Match: Orbit_ForestHelmV3_520 vs Orbit_Yossi_winnerbot_20 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_20 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_20 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_20 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_20 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_20 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_20 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_20 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_20 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_20 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_20 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_20"",""Final Score: Orbit_ForestHelmV3_520 0 - 10 Orbit_Yossi_winnerbot_20"",""Duration: 00:00:00.9282408""]"
