GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,HydraTactician-ZE26,Orbit_Yossi_winnerbot_13,Group A,2026-02-22 22:39:18,2730,3,"[""=== RPSLS Match: HydraTactician-ZE26 vs Orbit_Yossi_winnerbot_13 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_13 (Scissors) beats HydraTactician-ZE26 (Lizard) - Score: 0-1"",""Round 2: HydraTactician-ZE26 (Spock) beats Orbit_Yossi_winnerbot_13 (Rock) - Score: 1-1"",""Round 3: Draw - Rock vs Rock - Score: 1-1"",""Round 4: Orbit_Yossi_winnerbot_13 (Lizard) beats HydraTactician-ZE26 (Paper) - Score: 1-2"",""Round 5: HydraTactician-ZE26 (Scissors) beats Orbit_Yossi_winnerbot_13 (Paper) - Score: 2-2"",""Round 6: Orbit_Yossi_winnerbot_13 (Scissors) beats HydraTactician-ZE26 (Lizard) - Score: 2-3"",""Round 7: HydraTactician-ZE26 (Spock) beats Orbit_Yossi_winnerbot_13 (Rock) - Score: 3-3"",""Round 8: Draw - Rock vs Rock - Score: 3-3"",""Round 9: Orbit_Yossi_winnerbot_13 (Lizard) beats HydraTactician-ZE26 (Paper) - Score: 3-4"",""Round 10: HydraTactician-ZE26 (Scissors) beats Orbit_Yossi_winnerbot_13 (Paper) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: HydraTactician-ZE26 4 - 4 Orbit_Yossi_winnerbot_13"",""Duration: 00:00:02.7307101""]"
﻿RPSLS,GuyBot,Orbit_Yossi_winnerbot_25,Group E,2026-02-22 22:39:18,3287,2,"[""=== RPSLS Match: GuyBot vs Orbit_Yossi_winnerbot_25 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_25 (Scissors) beats GuyBot (Paper) - Score: 0-1"",""Round 2: GuyBot (Paper) beats Orbit_Yossi_winnerbot_25 (Rock) - Score: 1-1"",""Round 3: Orbit_Yossi_winnerbot_25 (Rock) beats GuyBot (Scissors) - Score: 1-2"",""Round 4: GuyBot (Rock) beats Orbit_Yossi_winnerbot_25 (Lizard) - Score: 2-2"",""Round 5: Draw - Paper vs Paper - Score: 2-2"",""Round 6: GuyBot (Rock) beats Orbit_Yossi_winnerbot_25 (Scissors) - Score: 3-2"",""Round 7: Orbit_Yossi_winnerbot_25 (Rock) beats GuyBot (Scissors) - Score: 3-3"",""Round 8: Orbit_Yossi_winnerbot_25 (Rock) beats GuyBot (Lizard) - Score: 3-4"",""Round 9: Orbit_Yossi_winnerbot_25 (Lizard) beats GuyBot (Spock) - Score: 3-5"",""Round 10: GuyBot (Scissors) beats Orbit_Yossi_winnerbot_25 (Paper) - Score: 4-5"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_25"",""Final Score: GuyBot 4 - 5 Orbit_Yossi_winnerbot_25"",""Duration: 00:00:03.2878491""]"
﻿RPSLS,Orbit_BetaCheetahBeta_26,Orbit_DiamondTempestNet_515,Group C,2026-02-22 22:39:18,2409,3,"[""=== RPSLS Match: Orbit_BetaCheetahBeta_26 vs Orbit_DiamondTempestNet_515 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_BetaCheetahBeta_26 0 - 0 Orbit_DiamondTempestNet_515"",""Duration: 00:00:02.4092685""]"
﻿RPSLS,Orbit_ForestGolemOmega_510,Orbit_SigmaHammer3000_522,Group J,2026-02-22 22:39:18,2670,3,"[""=== RPSLS Match: Orbit_ForestGolemOmega_510 vs Orbit_SigmaHammer3000_522 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_ForestGolemOmega_510 0 - 0 Orbit_SigmaHammer3000_522"",""Duration: 00:00:02.6701417""]"
﻿RPSLS,Orbit_LegendarySpiritMaster_0,Orbit_SwiftChaserLord_517,Group D,2026-02-22 22:39:18,2989,3,"[""=== RPSLS Match: Orbit_LegendarySpiritMaster_0 vs Orbit_SwiftChaserLord_517 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_LegendarySpiritMaster_0 0 - 0 Orbit_SwiftChaserLord_517"",""Duration: 00:00:02.9898706""]"
﻿RPSLS,masterofdisasterbot,Orbit_Yossi_winnerbot_29,Group H,2026-02-22 22:39:18,3792,2,"[""=== RPSLS Match: masterofdisasterbot vs Orbit_Yossi_winnerbot_29 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_29 (Scissors) beats masterofdisasterbot (Lizard) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_29 (Rock) beats masterofdisasterbot (Lizard) - Score: 0-2"",""Round 3: masterofdisasterbot (Paper) beats Orbit_Yossi_winnerbot_29 (Rock) - Score: 1-2"",""Round 4: Orbit_Yossi_winnerbot_29 (Lizard) beats masterofdisasterbot (Paper) - Score: 1-3"",""Round 5: Orbit_Yossi_winnerbot_29 (Paper) beats masterofdisasterbot (Rock) - Score: 1-4"",""Round 6: Draw - Scissors vs Scissors - Score: 1-4"",""Round 7: Draw - Rock vs Rock - Score: 1-4"",""Round 8: Draw - Rock vs Rock - Score: 1-4"",""Round 9: masterofdisasterbot (Scissors) beats Orbit_Yossi_winnerbot_29 (Lizard) - Score: 2-4"",""Round 10: Draw - Paper vs Paper - Score: 2-4"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_29"",""Final Score: masterofdisasterbot 2 - 4 Orbit_Yossi_winnerbot_29"",""Duration: 00:00:03.7929838""]"
﻿RPSLS,Orbit_Yossi_winnerbot_26,Orbit_SprintTigerMK3_503,Group B,2026-02-22 22:39:18,2813,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_26 vs Orbit_SprintTigerMK3_503 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_26 (Scissors) beats Orbit_SprintTigerMK3_503 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_SprintTigerMK3_503 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_SprintTigerMK3_503 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_26 (Lizard) beats Orbit_SprintTigerMK3_503 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_26 (Paper) beats Orbit_SprintTigerMK3_503 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_26 (Scissors) beats Orbit_SprintTigerMK3_503 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_SprintTigerMK3_503 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_SprintTigerMK3_503 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_26 (Lizard) beats Orbit_SprintTigerMK3_503 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_26 (Paper) beats Orbit_SprintTigerMK3_503 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_26"",""Final Score: Orbit_Yossi_winnerbot_26 10 - 0 Orbit_SprintTigerMK3_503"",""Duration: 00:00:02.8136668""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_QuickAvalancheMax_7,Group A,2026-02-22 22:39:18,2574,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_QuickAvalancheMax_7 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_QuickAvalancheMax_7 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_QuickAvalancheMax_7 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_QuickAvalancheMax_7 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_QuickAvalancheMax_7 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_QuickAvalancheMax_7 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_QuickAvalancheMax_7 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_QuickAvalancheMax_7 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_QuickAvalancheMax_7 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_QuickAvalancheMax_7 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_QuickAvalancheMax_7 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_QuickAvalancheMax_7"",""Duration: 00:00:02.5749305""]"
﻿RPSLS,Orbit_OrangeLionNet_514,Orbit_CosmicCrusaderGen2_17,Group C,2026-02-22 22:39:18,2669,3,"[""=== RPSLS Match: Orbit_OrangeLionNet_514 vs Orbit_CosmicCrusaderGen2_17 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OrangeLionNet_514 0 - 0 Orbit_CosmicCrusaderGen2_17"",""Duration: 00:00:02.6697604""]"
﻿RPSLS,Orbit_AgileBearOne_5,Orbit_Yossi_winnerbot_15,Group F,2026-02-22 22:39:18,2683,2,"[""=== RPSLS Match: Orbit_AgileBearOne_5 vs Orbit_Yossi_winnerbot_15 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_15 (Scissors) beats Orbit_AgileBearOne_5 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_AgileBearOne_5 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_AgileBearOne_5 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_15 (Lizard) beats Orbit_AgileBearOne_5 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_15 (Paper) beats Orbit_AgileBearOne_5 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_15 (Scissors) beats Orbit_AgileBearOne_5 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_AgileBearOne_5 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_15 (Rock) beats Orbit_AgileBearOne_5 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_15 (Lizard) beats Orbit_AgileBearOne_5 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_15 (Paper) beats Orbit_AgileBearOne_5 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_15"",""Final Score: Orbit_AgileBearOne_5 0 - 10 Orbit_Yossi_winnerbot_15"",""Duration: 00:00:02.6831463""]"
