GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_SprintTigerMK3_503,Orbit_OceanTrackerElite_512,Group H,2026-02-22 16:05:02,1805,3,"[""=== RPSLS Match: Orbit_SprintTigerMK3_503 vs Orbit_OceanTrackerElite_512 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SprintTigerMK3_503 0 - 0 Orbit_OceanTrackerElite_512"",""Duration: 00:00:01.8054184""]"
﻿RPSLS,Orbit_Yossi_winnerbot_5,Orbit_Yossi_winnerbot_10,Group F,2026-02-22 16:05:02,1699,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_5 vs Orbit_Yossi_winnerbot_10 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_5 0 - 0 Orbit_Yossi_winnerbot_10"",""Duration: 00:00:01.6991874""]"
﻿RPSLS,NaiveBot,Orbit_SwiftChaserLord_517,Group B,2026-02-22 16:05:02,1597,3,"[""=== RPSLS Match: NaiveBot vs Orbit_SwiftChaserLord_517 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_SwiftChaserLord_517 (Paper) beats NaiveBot (Rock) - Score: 0-1"",""Round 2: NaiveBot (Rock) beats Orbit_SwiftChaserLord_517 (Scissors) - Score: 1-1"",""Round 3: NaiveBot (Rock) beats Orbit_SwiftChaserLord_517 (Lizard) - Score: 2-1"",""Round 4: Orbit_SwiftChaserLord_517 (Spock) beats NaiveBot (Rock) - Score: 2-2"",""Round 5: Draw - Rock vs Rock - Score: 2-2"",""Round 6: Orbit_SwiftChaserLord_517 (Paper) beats NaiveBot (Rock) - Score: 2-3"",""Round 7: NaiveBot (Rock) beats Orbit_SwiftChaserLord_517 (Scissors) - Score: 3-3"",""Round 8: NaiveBot (Rock) beats Orbit_SwiftChaserLord_517 (Lizard) - Score: 4-3"",""Round 9: Orbit_SwiftChaserLord_517 (Spock) beats NaiveBot (Rock) - Score: 4-4"",""Round 10: Draw - Rock vs Rock - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: NaiveBot 4 - 4 Orbit_SwiftChaserLord_517"",""Duration: 00:00:01.5977048""]"
﻿RPSLS,Orbit_MicroPlanetLab_11,Orbit_Yossi_dummybot_1,Group C,2026-02-22 16:05:02,1824,2,"[""=== RPSLS Match: Orbit_MicroPlanetLab_11 vs Orbit_Yossi_dummybot_1 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_dummybot_1 (Lizard) beats Orbit_MicroPlanetLab_11 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_dummybot_1 (Rock) beats Orbit_MicroPlanetLab_11 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_dummybot_1 (Scissors) beats Orbit_MicroPlanetLab_11 (Lizard) - Score: 0-3"",""Round 4: Draw - Spock vs Spock - Score: 0-3"",""Round 5: Orbit_Yossi_dummybot_1 (Paper) beats Orbit_MicroPlanetLab_11 (Rock) - Score: 0-4"",""Round 6: Orbit_Yossi_dummybot_1 (Lizard) beats Orbit_MicroPlanetLab_11 (Paper) - Score: 0-5"",""Round 7: Orbit_Yossi_dummybot_1 (Rock) beats Orbit_MicroPlanetLab_11 (Scissors) - Score: 0-6"",""Round 8: Orbit_Yossi_dummybot_1 (Scissors) beats Orbit_MicroPlanetLab_11 (Lizard) - Score: 0-7"",""Round 9: Draw - Spock vs Spock - Score: 0-7"",""Round 10: Orbit_Yossi_dummybot_1 (Paper) beats Orbit_MicroPlanetLab_11 (Rock) - Score: 0-8"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_dummybot_1"",""Final Score: Orbit_MicroPlanetLab_11 0 - 8 Orbit_Yossi_dummybot_1"",""Duration: 00:00:01.8249716""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_LegendarySpiritMaster_0,Group H,2026-02-22 16:05:02,1698,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_LegendarySpiritMaster_0 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_LegendarySpiritMaster_0"",""Duration: 00:00:01.6989263""]"
﻿RPSLS,NaiveBot,Orbit_DiamondTempestNet_515,Group B,2026-02-22 16:05:02,1597,3,"[""=== RPSLS Match: NaiveBot vs Orbit_DiamondTempestNet_515 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_DiamondTempestNet_515 (Paper) beats NaiveBot (Rock) - Score: 0-1"",""Round 2: NaiveBot (Rock) beats Orbit_DiamondTempestNet_515 (Scissors) - Score: 1-1"",""Round 3: NaiveBot (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 2-1"",""Round 4: Orbit_DiamondTempestNet_515 (Spock) beats NaiveBot (Rock) - Score: 2-2"",""Round 5: Draw - Rock vs Rock - Score: 2-2"",""Round 6: Orbit_DiamondTempestNet_515 (Paper) beats NaiveBot (Rock) - Score: 2-3"",""Round 7: NaiveBot (Rock) beats Orbit_DiamondTempestNet_515 (Scissors) - Score: 3-3"",""Round 8: NaiveBot (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 4-3"",""Round 9: Orbit_DiamondTempestNet_515 (Spock) beats NaiveBot (Rock) - Score: 4-4"",""Round 10: Draw - Rock vs Rock - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: NaiveBot 4 - 4 Orbit_DiamondTempestNet_515"",""Duration: 00:00:01.5979836""]"
﻿RPSLS,PredatorBot,NirOrgadBOT,Group G,2026-02-22 16:05:02,2172,1,"[""=== RPSLS Match: PredatorBot vs NirOrgadBOT ==="",""Max Rounds: 10"","""",""Round 1: PredatorBot (Scissors) beats NirOrgadBOT (Lizard) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: NirOrgadBOT ERROR - Exception: Exception has been thrown by the target of an invocation."",""Round 3: PredatorBot wins by default (opponent error) - Score: 2-0"",""Round 4: Draw - Scissors vs Scissors - Score: 2-0"",""Round 5: Draw - Rock vs Rock - Score: 2-0"",""Round 6: PredatorBot ERROR - Exception: Exception has been thrown by the target of an invocation."",""Round 6: NirOrgadBOT wins by default (opponent error) - Score: 2-1"",""Round 7: NirOrgadBOT (Paper) beats PredatorBot (Spock) - Score: 2-2"",""Round 8: NirOrgadBOT (Scissors) beats PredatorBot (Lizard) - Score: 2-3"",""Round 9: PredatorBot (Spock) beats NirOrgadBOT (Scissors) - Score: 3-3"",""Round 10: PredatorBot (Spock) beats NirOrgadBOT (Rock) - Score: 4-3"","""",""=== Final Result ==="",""Winner: PredatorBot"",""Final Score: PredatorBot 4 - 3 NirOrgadBOT"",""Duration: 00:00:02.1720072""]"
﻿RPSLS,Orbit_SwiftTrackerV3_513,Orbit_Yossi_dummybot_2,Group H,2026-02-22 16:05:02,1722,1,"[""=== RPSLS Match: Orbit_SwiftTrackerV3_513 vs Orbit_Yossi_dummybot_2 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_SwiftTrackerV3_513 (Paper) beats Orbit_Yossi_dummybot_2 (Rock) - Score: 1-0"",""Round 2: Orbit_SwiftTrackerV3_513 (Scissors) beats Orbit_Yossi_dummybot_2 (Lizard) - Score: 2-0"",""Round 3: Orbit_SwiftTrackerV3_513 (Lizard) beats Orbit_Yossi_dummybot_2 (Paper) - Score: 3-0"",""Round 4: Draw - Spock vs Spock - Score: 3-0"",""Round 5: Orbit_SwiftTrackerV3_513 (Rock) beats Orbit_Yossi_dummybot_2 (Scissors) - Score: 4-0"",""Round 6: Orbit_SwiftTrackerV3_513 (Paper) beats Orbit_Yossi_dummybot_2 (Rock) - Score: 5-0"",""Round 7: Orbit_SwiftTrackerV3_513 (Scissors) beats Orbit_Yossi_dummybot_2 (Lizard) - Score: 6-0"",""Round 8: Orbit_SwiftTrackerV3_513 (Lizard) beats Orbit_Yossi_dummybot_2 (Paper) - Score: 7-0"",""Round 9: Draw - Spock vs Spock - Score: 7-0"",""Round 10: Orbit_SwiftTrackerV3_513 (Rock) beats Orbit_Yossi_dummybot_2 (Scissors) - Score: 8-0"","""",""=== Final Result ==="",""Winner: Orbit_SwiftTrackerV3_513"",""Final Score: Orbit_SwiftTrackerV3_513 8 - 0 Orbit_Yossi_dummybot_2"",""Duration: 00:00:01.7227026""]"
﻿RPSLS,Orbit_MirrorBot,Orbit_Yossi_winnerbot_1,Group E,2026-02-22 16:05:02,1931,1,"[""=== RPSLS Match: Orbit_MirrorBot vs Orbit_Yossi_winnerbot_1 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_MirrorBot (Spock) beats Orbit_Yossi_winnerbot_1 (Scissors) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_1 (Rock) beats Orbit_MirrorBot (Scissors) - Score: 1-1"",""Round 3: Draw - Rock vs Rock - Score: 1-1"",""Round 4: Orbit_MirrorBot (Rock) beats Orbit_Yossi_winnerbot_1 (Lizard) - Score: 2-1"",""Round 5: Orbit_MirrorBot (Lizard) beats Orbit_Yossi_winnerbot_1 (Paper) - Score: 3-1"",""Round 6: Orbit_Yossi_winnerbot_1 (Scissors) beats Orbit_MirrorBot (Paper) - Score: 3-2"",""Round 7: Orbit_Yossi_winnerbot_1 (Rock) beats Orbit_MirrorBot (Scissors) - Score: 3-3"",""Round 8: Draw - Rock vs Rock - Score: 3-3"",""Round 9: Orbit_MirrorBot (Rock) beats Orbit_Yossi_winnerbot_1 (Lizard) - Score: 4-3"",""Round 10: Orbit_MirrorBot (Lizard) beats Orbit_Yossi_winnerbot_1 (Paper) - Score: 5-3"","""",""=== Final Result ==="",""Winner: Orbit_MirrorBot"",""Final Score: Orbit_MirrorBot 5 - 3 Orbit_Yossi_winnerbot_1"",""Duration: 00:00:01.9313700""]"
﻿RPSLS,Orbit_ChaosBot,Tribble,Group A,2026-02-22 16:05:02,1909,1,"[""=== RPSLS Match: Orbit_ChaosBot vs Tribble ==="",""Max Rounds: 10"","""",""Round 1: Tribble (Rock) beats Orbit_ChaosBot (Scissors) - Score: 0-1"",""Round 2: Orbit_ChaosBot (Lizard) beats Tribble (Spock) - Score: 1-1"",""Round 3: Orbit_ChaosBot (Lizard) beats Tribble (Spock) - Score: 2-1"",""Round 4: Orbit_ChaosBot (Scissors) beats Tribble (Lizard) - Score: 3-1"",""Round 5: Draw - Scissors vs Scissors - Score: 3-1"",""Round 6: Orbit_ChaosBot (Rock) beats Tribble (Lizard) - Score: 4-1"",""Round 7: Orbit_ChaosBot (Scissors) beats Tribble (Lizard) - Score: 5-1"",""Round 8: Tribble (Spock) beats Orbit_ChaosBot (Rock) - Score: 5-2"",""Round 9: Tribble (Scissors) beats Orbit_ChaosBot (Lizard) - Score: 5-3"",""Round 10: Orbit_ChaosBot (Spock) beats Tribble (Scissors) - Score: 6-3"","""",""=== Final Result ==="",""Winner: Orbit_ChaosBot"",""Final Score: Orbit_ChaosBot 6 - 3 Tribble"",""Duration: 00:00:01.9093064""]"
