GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,QuantumStrike_Batel_Shunit,Orbit_MicroGiantGen2_521,Group I,2026-02-22 11:21:14,2763,1,"[""=== RPSLS Match: QuantumStrike_Batel_Shunit vs Orbit_MicroGiantGen2_521 ==="",""Max Rounds: 10"","""",""Round 1: QuantumStrike_Batel_Shunit (Scissors) beats Orbit_MicroGiantGen2_521 (Paper) - Score: 1-0"",""Round 2: Orbit_MicroGiantGen2_521 (Scissors) beats QuantumStrike_Batel_Shunit (Lizard) - Score: 1-1"",""Round 3: Orbit_MicroGiantGen2_521 (Lizard) beats QuantumStrike_Batel_Shunit (Spock) - Score: 1-2"",""Round 4: QuantumStrike_Batel_Shunit (Lizard) beats Orbit_MicroGiantGen2_521 (Spock) - Score: 2-2"",""Round 5: QuantumStrike_Batel_Shunit (Spock) beats Orbit_MicroGiantGen2_521 (Rock) - Score: 3-2"",""Round 6: Orbit_MicroGiantGen2_521 (Paper) beats QuantumStrike_Batel_Shunit (Rock) - Score: 3-3"",""Round 7: QuantumStrike_Batel_Shunit (Spock) beats Orbit_MicroGiantGen2_521 (Scissors) - Score: 4-3"",""Round 8: QuantumStrike_Batel_Shunit (Scissors) beats Orbit_MicroGiantGen2_521 (Lizard) - Score: 5-3"",""Round 9: QuantumStrike_Batel_Shunit (Paper) beats Orbit_MicroGiantGen2_521 (Spock) - Score: 6-3"",""Round 10: QuantumStrike_Batel_Shunit (Spock) beats Orbit_MicroGiantGen2_521 (Rock) - Score: 7-3"","""",""=== Final Result ==="",""Winner: QuantumStrike_Batel_Shunit"",""Final Score: QuantumStrike_Batel_Shunit 7 - 3 Orbit_MicroGiantGen2_521"",""Duration: 00:00:02.7636883""]"
﻿RPSLS,Orbit_DesertFighterSys_27,Orbit_Yossi_winnerbot_13,Group J,2026-02-22 11:21:14,1712,2,"[""=== RPSLS Match: Orbit_DesertFighterSys_27 vs Orbit_Yossi_winnerbot_13 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_13 (Scissors) beats Orbit_DesertFighterSys_27 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_DesertFighterSys_27 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_DesertFighterSys_27 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_13 (Lizard) beats Orbit_DesertFighterSys_27 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_13 (Paper) beats Orbit_DesertFighterSys_27 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_13 (Scissors) beats Orbit_DesertFighterSys_27 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_DesertFighterSys_27 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_DesertFighterSys_27 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_13 (Lizard) beats Orbit_DesertFighterSys_27 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_13 (Paper) beats Orbit_DesertFighterSys_27 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_13"",""Final Score: Orbit_DesertFighterSys_27 0 - 10 Orbit_Yossi_winnerbot_13"",""Duration: 00:00:01.7122207""]"
﻿RPSLS,Orbit_CrystalColossusMK2_29,Orbit_AggressorBot,Group C,2026-02-22 11:21:14,1913,2,"[""=== RPSLS Match: Orbit_CrystalColossusMK2_29 vs Orbit_AggressorBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CrystalColossusMK2_29 (Paper) beats Orbit_AggressorBot (Rock) - Score: 1-0"",""Round 2: Orbit_CrystalColossusMK2_29 (Scissors) beats Orbit_AggressorBot (Paper) - Score: 2-0"",""Round 3: Orbit_AggressorBot (Scissors) beats Orbit_CrystalColossusMK2_29 (Lizard) - Score: 2-1"",""Round 4: Orbit_AggressorBot (Lizard) beats Orbit_CrystalColossusMK2_29 (Spock) - Score: 2-2"",""Round 5: Orbit_AggressorBot (Spock) beats Orbit_CrystalColossusMK2_29 (Rock) - Score: 2-3"",""Round 6: Orbit_CrystalColossusMK2_29 (Paper) beats Orbit_AggressorBot (Rock) - Score: 3-3"",""Round 7: Orbit_CrystalColossusMK2_29 (Scissors) beats Orbit_AggressorBot (Paper) - Score: 4-3"",""Round 8: Orbit_AggressorBot (Scissors) beats Orbit_CrystalColossusMK2_29 (Lizard) - Score: 4-4"",""Round 9: Orbit_AggressorBot (Lizard) beats Orbit_CrystalColossusMK2_29 (Spock) - Score: 4-5"",""Round 10: Orbit_AggressorBot (Spock) beats Orbit_CrystalColossusMK2_29 (Rock) - Score: 4-6"","""",""=== Final Result ==="",""Winner: Orbit_AggressorBot"",""Final Score: Orbit_CrystalColossusMK2_29 4 - 6 Orbit_AggressorBot"",""Duration: 00:00:01.9130511""]"
﻿RPSLS,GuyBot,Orbit_VoidStormPro_20,Group D,2026-02-22 11:21:14,2215,1,"[""=== RPSLS Match: GuyBot vs Orbit_VoidStormPro_20 ==="",""Max Rounds: 10"","""",""Round 1: GuyBot (Lizard) beats Orbit_VoidStormPro_20 (Paper) - Score: 1-0"",""Round 2: GuyBot (Spock) beats Orbit_VoidStormPro_20 (Scissors) - Score: 2-0"",""Round 3: GuyBot (Rock) beats Orbit_VoidStormPro_20 (Lizard) - Score: 3-0"",""Round 4: Orbit_VoidStormPro_20 (Spock) beats GuyBot (Scissors) - Score: 3-1"",""Round 5: GuyBot (Paper) beats Orbit_VoidStormPro_20 (Rock) - Score: 4-1"",""Round 6: GuyBot (Scissors) beats Orbit_VoidStormPro_20 (Paper) - Score: 5-1"",""Round 7: Orbit_VoidStormPro_20 (Scissors) beats GuyBot (Lizard) - Score: 5-2"",""Round 8: GuyBot (Scissors) beats Orbit_VoidStormPro_20 (Lizard) - Score: 6-2"",""Round 9: Draw - Spock vs Spock - Score: 6-2"",""Round 10: GuyBot (Spock) beats Orbit_VoidStormPro_20 (Rock) - Score: 7-2"","""",""=== Final Result ==="",""Winner: GuyBot"",""Final Score: GuyBot 7 - 2 Orbit_VoidStormPro_20"",""Duration: 00:00:02.2154831""]"
﻿RPSLS,Orbit_SapphireSpartanMK1_16,masterofdisasterbot,Group G,2026-02-22 11:21:14,3019,1,"[""=== RPSLS Match: Orbit_SapphireSpartanMK1_16 vs masterofdisasterbot ==="",""Max Rounds: 10"","""",""Round 1: masterofdisasterbot (Lizard) beats Orbit_SapphireSpartanMK1_16 (Paper) - Score: 0-1"",""Round 2: Orbit_SapphireSpartanMK1_16 (Scissors) beats masterofdisasterbot (Lizard) - Score: 1-1"",""Round 3: masterofdisasterbot (Rock) beats Orbit_SapphireSpartanMK1_16 (Lizard) - Score: 1-2"",""Round 4: Orbit_SapphireSpartanMK1_16 (Spock) beats masterofdisasterbot (Scissors) - Score: 2-2"",""Round 5: Orbit_SapphireSpartanMK1_16 (Rock) beats masterofdisasterbot (Lizard) - Score: 3-2"",""Round 6: Orbit_SapphireSpartanMK1_16 (Paper) beats masterofdisasterbot (Rock) - Score: 4-2"",""Round 7: Draw - Scissors vs Scissors - Score: 4-2"",""Round 8: masterofdisasterbot (Rock) beats Orbit_SapphireSpartanMK1_16 (Lizard) - Score: 4-3"",""Round 9: Draw - Spock vs Spock - Score: 4-3"",""Round 10: Draw - Rock vs Rock - Score: 4-3"","""",""=== Final Result ==="",""Winner: Orbit_SapphireSpartanMK1_16"",""Final Score: Orbit_SapphireSpartanMK1_16 4 - 3 masterofdisasterbot"",""Duration: 00:00:03.0195048""]"
﻿RPSLS,Orbit_SmoothEntityX_505,Orbit_ForestHelmV3_520,Group C,2026-02-22 11:21:14,1878,3,"[""=== RPSLS Match: Orbit_SmoothEntityX_505 vs Orbit_ForestHelmV3_520 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SmoothEntityX_505 0 - 0 Orbit_ForestHelmV3_520"",""Duration: 00:00:01.8785540""]"
﻿RPSLS,Orbit_Yossi_winnerbot_18,Orbit_OrangeLionNet_514,Group I,2026-02-22 11:21:14,1912,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_18 vs Orbit_OrangeLionNet_514 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_18 (Scissors) beats Orbit_OrangeLionNet_514 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_18 (Rock) beats Orbit_OrangeLionNet_514 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_18 (Rock) beats Orbit_OrangeLionNet_514 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_18 (Lizard) beats Orbit_OrangeLionNet_514 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_18 (Paper) beats Orbit_OrangeLionNet_514 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_18 (Scissors) beats Orbit_OrangeLionNet_514 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_18 (Rock) beats Orbit_OrangeLionNet_514 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_18 (Rock) beats Orbit_OrangeLionNet_514 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_18 (Lizard) beats Orbit_OrangeLionNet_514 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_18 (Paper) beats Orbit_OrangeLionNet_514 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_18"",""Final Score: Orbit_Yossi_winnerbot_18 10 - 0 Orbit_OrangeLionNet_514"",""Duration: 00:00:01.9129139""]"
﻿RPSLS,Orbit_LightningLightning3000_511,Orbit_Yossi_winnerbot_29,Group A,2026-02-22 11:21:14,1912,2,"[""=== RPSLS Match: Orbit_LightningLightning3000_511 vs Orbit_Yossi_winnerbot_29 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_29 (Scissors) beats Orbit_LightningLightning3000_511 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_LightningLightning3000_511 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_LightningLightning3000_511 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_29 (Lizard) beats Orbit_LightningLightning3000_511 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_29 (Paper) beats Orbit_LightningLightning3000_511 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_29 (Scissors) beats Orbit_LightningLightning3000_511 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_LightningLightning3000_511 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_29 (Rock) beats Orbit_LightningLightning3000_511 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_29 (Lizard) beats Orbit_LightningLightning3000_511 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_29 (Paper) beats Orbit_LightningLightning3000_511 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_29"",""Final Score: Orbit_LightningLightning3000_511 0 - 10 Orbit_Yossi_winnerbot_29"",""Duration: 00:00:01.9128437""]"
﻿RPSLS,NaiveBot,Tribble,Group D,2026-02-22 11:21:14,2894,1,"[""=== RPSLS Match: NaiveBot vs Tribble ==="",""Max Rounds: 10"","""",""Round 1: NaiveBot (Rock) beats Tribble (Scissors) - Score: 1-0"",""Round 2: NaiveBot (Rock) beats Tribble (Scissors) - Score: 2-0"",""Round 3: Draw - Rock vs Rock - Score: 2-0"",""Round 4: NaiveBot (Rock) beats Tribble (Lizard) - Score: 3-0"",""Round 5: Tribble (Spock) beats NaiveBot (Rock) - Score: 3-1"",""Round 6: Tribble (Paper) beats NaiveBot (Rock) - Score: 3-2"",""Round 7: NaiveBot (Rock) beats Tribble (Lizard) - Score: 4-2"",""Round 8: Tribble (Spock) beats NaiveBot (Rock) - Score: 4-3"",""Round 9: NaiveBot (Rock) beats Tribble (Lizard) - Score: 5-3"",""Round 10: NaiveBot (Rock) beats Tribble (Lizard) - Score: 6-3"","""",""=== Final Result ==="",""Winner: NaiveBot"",""Final Score: NaiveBot 6 - 3 Tribble"",""Duration: 00:00:02.8946426""]"
﻿RPSLS,QuantumStrike,Orbit_GammaTempestAI_3,Group E,2026-02-22 11:21:14,2834,3,"[""=== RPSLS Match: QuantumStrike vs Orbit_GammaTempestAI_3 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_GammaTempestAI_3 (Paper) beats QuantumStrike (Spock) - Score: 0-1"",""Round 2: Draw - Scissors vs Scissors - Score: 0-1"",""Round 3: Orbit_GammaTempestAI_3 (Lizard) beats QuantumStrike (Spock) - Score: 0-2"",""Round 4: Orbit_GammaTempestAI_3 (Spock) beats QuantumStrike (Scissors) - Score: 0-3"",""Round 5: Orbit_GammaTempestAI_3 (Rock) beats QuantumStrike (Lizard) - Score: 0-4"",""Round 6: Draw - Paper vs Paper - Score: 0-4"",""Round 7: QuantumStrike (Rock) beats Orbit_GammaTempestAI_3 (Scissors) - Score: 1-4"",""Round 8: QuantumStrike (Scissors) beats Orbit_GammaTempestAI_3 (Lizard) - Score: 2-4"",""Round 9: QuantumStrike (Paper) beats Orbit_GammaTempestAI_3 (Spock) - Score: 3-4"",""Round 10: QuantumStrike (Spock) beats Orbit_GammaTempestAI_3 (Rock) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: QuantumStrike 4 - 4 Orbit_GammaTempestAI_3"",""Duration: 00:00:02.8342678""]"
