GameType,PlayerA,PlayerB,Group,StartTimeUtc,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_MightyHelm9000_519,Ayalas_Excellent_Bot,Group A,2026-02-21T22:10:49.3654202Z,1510,3,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Ayalas_Excellent_Bot ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Orbit_MightyHelm9000_519 (Lizard) beats Ayalas_Excellent_Bot (Spock) - Score: 1-0"",""Round 4: Ayalas_Excellent_Bot (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 1-1"",""Round 5: Draw - Rock vs Rock - Score: 1-1"",""Round 6: Draw - Paper vs Paper - Score: 1-1"",""Round 7: Ayalas_Excellent_Bot (Spock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 1-2"",""Round 8: Draw - Lizard vs Lizard - Score: 1-2"",""Round 9: Orbit_MightyHelm9000_519 (Spock) beats Ayalas_Excellent_Bot (Scissors) - Score: 2-2"",""Round 10: Draw - Rock vs Rock - Score: 2-2"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_MightyHelm9000_519 2 - 2 Ayalas_Excellent_Bot"",""Duration: 00:00:01.5100870""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_Yossi_winnerbot_3,Group A,2026-02-21T22:10:49.3655585Z,898,2,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_Yossi_winnerbot_3 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_3 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_3 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_3 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_3 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_3 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_3 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_3"",""Final Score: Orbit_MightyHelm9000_519 0 - 10 Orbit_Yossi_winnerbot_3"",""Duration: 00:00:00.8980019""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_SharpHunterV2_524,Group A,2026-02-21T22:10:49.3653384Z,907,3,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_SharpHunterV2_524 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_MightyHelm9000_519 0 - 0 Orbit_SharpHunterV2_524"",""Duration: 00:00:00.9073811""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_Yossi_winnerbot_19,Group A,2026-02-21T22:10:49.3655643Z,1286,2,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_Yossi_winnerbot_19 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_19 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_19 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_19 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_19 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_19 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_19 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_19 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_19"",""Final Score: Orbit_MightyHelm9000_519 0 - 10 Orbit_Yossi_winnerbot_19"",""Duration: 00:00:01.2866091""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_DarkGiantBot_527,Group A,2026-02-21T22:10:49.3655925Z,1136,3,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_DarkGiantBot_527 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_MightyHelm9000_519 0 - 0 Orbit_DarkGiantBot_527"",""Duration: 00:00:01.1362956""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_VoidStormPro_20,Group A,2026-02-21T22:10:49.3655826Z,1617,3,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_VoidStormPro_20 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_MightyHelm9000_519 0 - 0 Orbit_VoidStormPro_20"",""Duration: 00:00:01.6172864""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_Yossi_winnerbot_9,Group A,2026-02-21T22:10:49.3654371Z,1533,2,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_Yossi_winnerbot_9 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_9 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_9 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_9 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_9 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_9 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_9 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_9"",""Final Score: Orbit_MightyHelm9000_519 0 - 10 Orbit_Yossi_winnerbot_9"",""Duration: 00:00:01.5339867""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_Yossi_winnerbot_26,Group A,2026-02-21T22:10:49.3655765Z,1609,2,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_Yossi_winnerbot_26 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_26 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_26 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_26 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_26 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_26 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_26 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_26 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_26"",""Final Score: Orbit_MightyHelm9000_519 0 - 10 Orbit_Yossi_winnerbot_26"",""Duration: 00:00:01.6097593""]"
﻿RPSLS,Orbit_MightyHelm9000_519,OmegaBot,Group A,2026-02-21T22:10:49.3654554Z,1572,2,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs OmegaBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_MightyHelm9000_519 (Paper) beats OmegaBot (Spock) - Score: 1-0"",""Round 2: OmegaBot (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 1-1"",""Round 3: OmegaBot (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 1-2"",""Round 4: Draw - Spock vs Spock - Score: 1-2"",""Round 5: Orbit_MightyHelm9000_519 (Rock) beats OmegaBot (Scissors) - Score: 2-2"",""Round 6: Draw - Paper vs Paper - Score: 2-2"",""Round 7: Draw - Scissors vs Scissors - Score: 2-2"",""Round 8: OmegaBot (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 2-3"",""Round 9: Draw - Spock vs Spock - Score: 2-3"",""Round 10: OmegaBot (Spock) beats Orbit_MightyHelm9000_519 (Rock) - Score: 2-4"","""",""=== Final Result ==="",""Winner: OmegaBot"",""Final Score: Orbit_MightyHelm9000_519 2 - 4 OmegaBot"",""Duration: 00:00:01.5724060""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_Yossi_winnerbot_7,Group A,2026-02-21T22:10:49.3654654Z,1395,2,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_Yossi_winnerbot_7 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_7 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_7 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_7 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_7 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_MightyHelm9000_519 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_7 (Lizard) beats Orbit_MightyHelm9000_519 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_7 (Paper) beats Orbit_MightyHelm9000_519 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_7"",""Final Score: Orbit_MightyHelm9000_519 0 - 10 Orbit_Yossi_winnerbot_7"",""Duration: 00:00:01.3954295""]"
