GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_CrystalColossusMK2_29,VectorStrike,Group A,2026-02-22 22:33:40,1009,1,"[""=== RPSLS Match: Orbit_CrystalColossusMK2_29 vs VectorStrike ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CrystalColossusMK2_29 (Paper) beats VectorStrike (Spock) - Score: 1-0"",""Round 2: Draw - Scissors vs Scissors - Score: 1-0"",""Round 3: Draw - Lizard vs Lizard - Score: 1-0"",""Round 4: Orbit_CrystalColossusMK2_29 (Spock) beats VectorStrike (Rock) - Score: 2-0"",""Round 5: VectorStrike (Paper) beats Orbit_CrystalColossusMK2_29 (Rock) - Score: 2-1"",""Round 6: VectorStrike (Lizard) beats Orbit_CrystalColossusMK2_29 (Paper) - Score: 2-2"",""Round 7: Orbit_CrystalColossusMK2_29 (Scissors) beats VectorStrike (Lizard) - Score: 3-2"",""Round 8: Orbit_CrystalColossusMK2_29 (Lizard) beats VectorStrike (Paper) - Score: 4-2"",""Round 9: Orbit_CrystalColossusMK2_29 (Spock) beats VectorStrike (Rock) - Score: 5-2"",""Round 10: Orbit_CrystalColossusMK2_29 (Rock) beats VectorStrike (Scissors) - Score: 6-2"","""",""=== Final Result ==="",""Winner: Orbit_CrystalColossusMK2_29"",""Final Score: Orbit_CrystalColossusMK2_29 6 - 2 VectorStrike"",""Duration: 00:00:01.0092386""]"
﻿RPSLS,Orbit_Yossi_winnerbot_8,AegisHydra,Group H,2026-02-22 22:33:40,910,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_8 vs AegisHydra ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_8 (Scissors) beats AegisHydra (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_8 (Rock) beats AegisHydra (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_8 (Rock) beats AegisHydra (Lizard) - Score: 3-0"",""Round 4: AegisHydra (Scissors) beats Orbit_Yossi_winnerbot_8 (Lizard) - Score: 3-1"",""Round 5: AegisHydra (Scissors) beats Orbit_Yossi_winnerbot_8 (Paper) - Score: 3-2"",""Round 6: AegisHydra (Rock) beats Orbit_Yossi_winnerbot_8 (Scissors) - Score: 3-3"",""Round 7: Draw - Rock vs Rock - Score: 3-3"",""Round 8: Draw - Rock vs Rock - Score: 3-3"",""Round 9: Orbit_Yossi_winnerbot_8 (Lizard) beats AegisHydra (Spock) - Score: 4-3"",""Round 10: Orbit_Yossi_winnerbot_8 (Paper) beats AegisHydra (Spock) - Score: 5-3"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_8"",""Final Score: Orbit_Yossi_winnerbot_8 5 - 3 AegisHydra"",""Duration: 00:00:00.9109398""]"
﻿RPSLS,Orbit,Orbit_ArcticChaserMK2_28,Group H,2026-02-22 22:33:40,951,2,"[""=== RPSLS Match: Orbit vs Orbit_ArcticChaserMK2_28 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_ArcticChaserMK2_28 (Paper) beats Orbit (Rock) - Score: 0-1"",""Round 2: Orbit (Rock) beats Orbit_ArcticChaserMK2_28 (Scissors) - Score: 1-1"",""Round 3: Orbit (Rock) beats Orbit_ArcticChaserMK2_28 (Lizard) - Score: 2-1"",""Round 4: Orbit (Paper) beats Orbit_ArcticChaserMK2_28 (Spock) - Score: 3-1"",""Round 5: Orbit_ArcticChaserMK2_28 (Rock) beats Orbit (Lizard) - Score: 3-2"",""Round 6: Orbit (Lizard) beats Orbit_ArcticChaserMK2_28 (Paper) - Score: 4-2"",""Round 7: Draw - Scissors vs Scissors - Score: 4-2"",""Round 8: Orbit_ArcticChaserMK2_28 (Lizard) beats Orbit (Spock) - Score: 4-3"",""Round 9: Orbit_ArcticChaserMK2_28 (Spock) beats Orbit (Scissors) - Score: 4-4"",""Round 10: Orbit_ArcticChaserMK2_28 (Rock) beats Orbit (Scissors) - Score: 4-5"","""",""=== Final Result ==="",""Winner: Orbit_ArcticChaserMK2_28"",""Final Score: Orbit 4 - 5 Orbit_ArcticChaserMK2_28"",""Duration: 00:00:00.9515968""]"
﻿RPSLS,Orbit_LightningLightning3000_511,Orbit_DiamondTempestNet_515,Group A,2026-02-22 22:33:40,941,3,"[""=== RPSLS Match: Orbit_LightningLightning3000_511 vs Orbit_DiamondTempestNet_515 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_LightningLightning3000_511 0 - 0 Orbit_DiamondTempestNet_515"",""Duration: 00:00:00.9410233""]"
﻿RPSLS,Orbit_AggressorBot,ShadowBot,Group J,2026-02-22 22:33:40,985,1,"[""=== RPSLS Match: Orbit_AggressorBot vs ShadowBot ==="",""Max Rounds: 10"","""",""Round 1: ShadowBot (Spock) beats Orbit_AggressorBot (Rock) - Score: 0-1"",""Round 2: Orbit_AggressorBot (Paper) beats ShadowBot (Spock) - Score: 1-1"",""Round 3: Orbit_AggressorBot (Scissors) beats ShadowBot (Paper) - Score: 2-1"",""Round 4: Orbit_AggressorBot (Lizard) beats ShadowBot (Paper) - Score: 3-1"",""Round 5: ShadowBot (Paper) beats Orbit_AggressorBot (Spock) - Score: 3-2"",""Round 6: Draw - Scissors vs Scissors - Score: 3-2"",""Round 7: Orbit_AggressorBot (Rock) beats ShadowBot (Scissors) - Score: 4-2"",""Round 8: ShadowBot (Scissors) beats Orbit_AggressorBot (Paper) - Score: 4-3"",""Round 9: Orbit_AggressorBot (Rock) beats ShadowBot (Scissors) - Score: 5-3"",""Round 10: Draw - Rock vs Rock - Score: 5-3"","""",""=== Final Result ==="",""Winner: Orbit_AggressorBot"",""Final Score: Orbit_AggressorBot 5 - 3 ShadowBot"",""Duration: 00:00:00.9854769""]"
﻿RPSLS,Orbit_LightningLightning3000_511,masterofdisasterbot,Group A,2026-02-22 22:33:40,1265,1,"[""=== RPSLS Match: Orbit_LightningLightning3000_511 vs masterofdisasterbot ==="",""Max Rounds: 10"","""",""Round 1: masterofdisasterbot (Lizard) beats Orbit_LightningLightning3000_511 (Paper) - Score: 0-1"",""Round 2: Orbit_LightningLightning3000_511 (Scissors) beats masterofdisasterbot (Lizard) - Score: 1-1"",""Round 3: masterofdisasterbot (Rock) beats Orbit_LightningLightning3000_511 (Lizard) - Score: 1-2"",""Round 4: Orbit_LightningLightning3000_511 (Spock) beats masterofdisasterbot (Scissors) - Score: 2-2"",""Round 5: Orbit_LightningLightning3000_511 (Rock) beats masterofdisasterbot (Lizard) - Score: 3-2"",""Round 6: Orbit_LightningLightning3000_511 (Paper) beats masterofdisasterbot (Rock) - Score: 4-2"",""Round 7: Draw - Scissors vs Scissors - Score: 4-2"",""Round 8: masterofdisasterbot (Rock) beats Orbit_LightningLightning3000_511 (Lizard) - Score: 4-3"",""Round 9: Draw - Spock vs Spock - Score: 4-3"",""Round 10: Draw - Rock vs Rock - Score: 4-3"","""",""=== Final Result ==="",""Winner: Orbit_LightningLightning3000_511"",""Final Score: Orbit_LightningLightning3000_511 4 - 3 masterofdisasterbot"",""Duration: 00:00:01.2656844""]"
﻿RPSLS,adilipPatternHunter,QuantumStrike,Group I,2026-02-22 22:33:40,1077,3,"[""=== RPSLS Match: adilipPatternHunter vs QuantumStrike ==="",""Max Rounds: 10"","""",""Round 1: Draw - Lizard vs Lizard - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Scissors vs Scissors - Score: 0-0"",""Round 4: QuantumStrike (Rock) beats adilipPatternHunter (Scissors) - Score: 0-1"",""Round 5: Draw - Spock vs Spock - Score: 0-1"",""Round 6: adilipPatternHunter (Paper) beats QuantumStrike (Spock) - Score: 1-1"",""Round 7: QuantumStrike (Lizard) beats adilipPatternHunter (Paper) - Score: 1-2"",""Round 8: adilipPatternHunter (Paper) beats QuantumStrike (Spock) - Score: 2-2"",""Round 9: adilipPatternHunter (Scissors) beats QuantumStrike (Lizard) - Score: 3-2"",""Round 10: QuantumStrike (Paper) beats adilipPatternHunter (Spock) - Score: 3-3"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: adilipPatternHunter 3 - 3 QuantumStrike"",""Duration: 00:00:01.0771022""]"
﻿RPSLS,Orbit_SmoothEntityX_505,Orbit_RedBuffalo2000_22,Group A,2026-02-22 22:33:40,996,3,"[""=== RPSLS Match: Orbit_SmoothEntityX_505 vs Orbit_RedBuffalo2000_22 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SmoothEntityX_505 0 - 0 Orbit_RedBuffalo2000_22"",""Duration: 00:00:00.9969771""]"
﻿RPSLS,Idan_Aharoni,OIL-4o,Group B,2026-02-22 22:33:40,1168,2,"[""=== RPSLS Match: Idan_Aharoni vs OIL-4o ==="",""Max Rounds: 10"","""",""Round 1: OIL-4o (Paper) beats Idan_Aharoni (Spock) - Score: 0-1"",""Round 2: Idan_Aharoni (Lizard) beats OIL-4o (Spock) - Score: 1-1"",""Round 3: OIL-4o (Lizard) beats Idan_Aharoni (Paper) - Score: 1-2"",""Round 4: Idan_Aharoni (Rock) beats OIL-4o (Scissors) - Score: 2-2"",""Round 5: Idan_Aharoni (Lizard) beats OIL-4o (Spock) - Score: 3-2"",""Round 6: OIL-4o (Lizard) beats Idan_Aharoni (Spock) - Score: 3-3"",""Round 7: OIL-4o (Spock) beats Idan_Aharoni (Rock) - Score: 3-4"",""Round 8: OIL-4o (Scissors) beats Idan_Aharoni (Paper) - Score: 3-5"",""Round 9: Idan_Aharoni (Paper) beats OIL-4o (Spock) - Score: 4-5"",""Round 10: Draw - Rock vs Rock - Score: 4-5"","""",""=== Final Result ==="",""Winner: OIL-4o"",""Final Score: Idan_Aharoni 4 - 5 OIL-4o"",""Duration: 00:00:01.1689161""]"
﻿RPSLS,Orbit_Yossi_winnerbot_4,Orbit_QuickAvalancheMax_7,Group J,2026-02-22 22:33:40,898,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_4 vs Orbit_QuickAvalancheMax_7 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_QuickAvalancheMax_7 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_QuickAvalancheMax_7 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_QuickAvalancheMax_7 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_QuickAvalancheMax_7 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_QuickAvalancheMax_7 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_QuickAvalancheMax_7 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_QuickAvalancheMax_7 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_QuickAvalancheMax_7 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_QuickAvalancheMax_7 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_QuickAvalancheMax_7 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_4"",""Final Score: Orbit_Yossi_winnerbot_4 10 - 0 Orbit_QuickAvalancheMax_7"",""Duration: 00:00:00.8983310""]"
