GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_BetaCheetahBeta_26,PatternHunter,Group G,2026-02-22 22:53:24,951,3,"[""=== RPSLS Match: Orbit_BetaCheetahBeta_26 vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: Orbit_BetaCheetahBeta_26 (Paper) beats PatternHunter (Spock) - Score: 1-0"",""Round 2: PatternHunter (Spock) beats Orbit_BetaCheetahBeta_26 (Scissors) - Score: 1-1"",""Round 3: PatternHunter (Scissors) beats Orbit_BetaCheetahBeta_26 (Lizard) - Score: 1-2"",""Round 4: Draw - Spock vs Spock - Score: 1-2"",""Round 5: Orbit_BetaCheetahBeta_26 (Rock) beats PatternHunter (Scissors) - Score: 2-2"",""Round 6: PatternHunter (Lizard) beats Orbit_BetaCheetahBeta_26 (Paper) - Score: 2-3"",""Round 7: Orbit_BetaCheetahBeta_26 (Scissors) beats PatternHunter (Paper) - Score: 3-3"",""Round 8: Draw - Lizard vs Lizard - Score: 3-3"",""Round 9: PatternHunter (Lizard) beats Orbit_BetaCheetahBeta_26 (Spock) - Score: 3-4"",""Round 10: Orbit_BetaCheetahBeta_26 (Rock) beats PatternHunter (Lizard) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_BetaCheetahBeta_26 4 - 4 PatternHunter"",""Duration: 00:00:00.9512444""]"
﻿RPSLS,Orbit_DarkGiantBot_527,Orbit_Yossi_winnerbot_9,Group A,2026-02-22 22:53:24,939,2,"[""=== RPSLS Match: Orbit_DarkGiantBot_527 vs Orbit_Yossi_winnerbot_9 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_9 (Scissors) beats Orbit_DarkGiantBot_527 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_DarkGiantBot_527 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_DarkGiantBot_527 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_9 (Lizard) beats Orbit_DarkGiantBot_527 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_9 (Paper) beats Orbit_DarkGiantBot_527 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_9 (Scissors) beats Orbit_DarkGiantBot_527 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_DarkGiantBot_527 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_9 (Rock) beats Orbit_DarkGiantBot_527 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_9 (Lizard) beats Orbit_DarkGiantBot_527 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_9 (Paper) beats Orbit_DarkGiantBot_527 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_9"",""Final Score: Orbit_DarkGiantBot_527 0 - 10 Orbit_Yossi_winnerbot_9"",""Duration: 00:00:00.9394928""]"
﻿RPSLS,Orbit_Yossi_winnerbot_8,Orbit_Yossi_winnerbot_0,Group B,2026-02-22 22:53:24,924,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_8 vs Orbit_Yossi_winnerbot_0 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_8 0 - 0 Orbit_Yossi_winnerbot_0"",""Duration: 00:00:00.9240696""]"
﻿RPSLS,masterofdisasterbot,AlexDimaDavidBot,Group H,2026-02-22 22:53:24,1373,1,"[""=== RPSLS Match: masterofdisasterbot vs AlexDimaDavidBot ==="",""Max Rounds: 10"","""",""Round 1: masterofdisasterbot (Lizard) beats AlexDimaDavidBot (Spock) - Score: 1-0"",""Round 2: masterofdisasterbot (Lizard) beats AlexDimaDavidBot (Paper) - Score: 2-0"",""Round 3: AlexDimaDavidBot (Lizard) beats masterofdisasterbot (Spock) - Score: 2-1"",""Round 4: masterofdisasterbot (Scissors) beats AlexDimaDavidBot (Lizard) - Score: 3-1"",""Round 5: Draw - Rock vs Rock - Score: 3-1"",""Round 6: masterofdisasterbot (Paper) beats AlexDimaDavidBot (Rock) - Score: 4-1"",""Round 7: AlexDimaDavidBot (Paper) beats masterofdisasterbot (Rock) - Score: 4-2"",""Round 8: masterofdisasterbot (Rock) beats AlexDimaDavidBot (Scissors) - Score: 5-2"",""Round 9: AlexDimaDavidBot (Scissors) beats masterofdisasterbot (Paper) - Score: 5-3"",""Round 10: Draw - Rock vs Rock - Score: 5-3"","""",""=== Final Result ==="",""Winner: masterofdisasterbot"",""Final Score: masterofdisasterbot 5 - 3 AlexDimaDavidBot"",""Duration: 00:00:01.3738349""]"
﻿RPSLS,Orbit_MightyHelm9000_519,Orbit_Yossi_dummybot_3,Group D,2026-02-22 22:53:24,890,3,"[""=== RPSLS Match: Orbit_MightyHelm9000_519 vs Orbit_Yossi_dummybot_3 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_dummybot_3 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 0-1"",""Round 2: Orbit_MightyHelm9000_519 (Scissors) beats Orbit_Yossi_dummybot_3 (Paper) - Score: 1-1"",""Round 3: Orbit_Yossi_dummybot_3 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 1-2"",""Round 4: Draw - Spock vs Spock - Score: 1-2"",""Round 5: Orbit_MightyHelm9000_519 (Rock) beats Orbit_Yossi_dummybot_3 (Lizard) - Score: 2-2"",""Round 6: Orbit_Yossi_dummybot_3 (Scissors) beats Orbit_MightyHelm9000_519 (Paper) - Score: 2-3"",""Round 7: Orbit_MightyHelm9000_519 (Scissors) beats Orbit_Yossi_dummybot_3 (Paper) - Score: 3-3"",""Round 8: Orbit_Yossi_dummybot_3 (Rock) beats Orbit_MightyHelm9000_519 (Lizard) - Score: 3-4"",""Round 9: Draw - Spock vs Spock - Score: 3-4"",""Round 10: Orbit_MightyHelm9000_519 (Rock) beats Orbit_Yossi_dummybot_3 (Lizard) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_MightyHelm9000_519 4 - 4 Orbit_Yossi_dummybot_3"",""Duration: 00:00:00.8902284""]"
﻿RPSLS,NaiveBot,Orbit_SprintGorillaSigma_19,Group C,2026-02-22 22:53:24,907,3,"[""=== RPSLS Match: NaiveBot vs Orbit_SprintGorillaSigma_19 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_SprintGorillaSigma_19 (Paper) beats NaiveBot (Rock) - Score: 0-1"",""Round 2: NaiveBot (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 1-1"",""Round 3: NaiveBot (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 2-1"",""Round 4: Orbit_SprintGorillaSigma_19 (Spock) beats NaiveBot (Rock) - Score: 2-2"",""Round 5: Draw - Rock vs Rock - Score: 2-2"",""Round 6: Orbit_SprintGorillaSigma_19 (Paper) beats NaiveBot (Rock) - Score: 2-3"",""Round 7: NaiveBot (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 3-3"",""Round 8: NaiveBot (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 4-3"",""Round 9: Orbit_SprintGorillaSigma_19 (Spock) beats NaiveBot (Rock) - Score: 4-4"",""Round 10: Draw - Rock vs Rock - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: NaiveBot 4 - 4 Orbit_SprintGorillaSigma_19"",""Duration: 00:00:00.9071380""]"
﻿RPSLS,Orbit_SapphireSpartanMK1_16,AegisHydra,Group B,2026-02-22 22:53:24,907,3,"[""=== RPSLS Match: Orbit_SapphireSpartanMK1_16 vs AegisHydra ==="",""Max Rounds: 10"","""",""Round 1: AegisHydra (Lizard) beats Orbit_SapphireSpartanMK1_16 (Paper) - Score: 0-1"",""Round 2: Draw - Scissors vs Scissors - Score: 0-1"",""Round 3: AegisHydra (Rock) beats Orbit_SapphireSpartanMK1_16 (Lizard) - Score: 0-2"",""Round 4: Orbit_SapphireSpartanMK1_16 (Spock) beats AegisHydra (Rock) - Score: 1-2"",""Round 5: Draw - Rock vs Rock - Score: 1-2"",""Round 6: Orbit_SapphireSpartanMK1_16 (Paper) beats AegisHydra (Spock) - Score: 2-2"",""Round 7: AegisHydra (Spock) beats Orbit_SapphireSpartanMK1_16 (Scissors) - Score: 2-3"",""Round 8: Orbit_SapphireSpartanMK1_16 (Lizard) beats AegisHydra (Paper) - Score: 3-3"",""Round 9: AegisHydra (Paper) beats Orbit_SapphireSpartanMK1_16 (Spock) - Score: 3-4"",""Round 10: Orbit_SapphireSpartanMK1_16 (Rock) beats AegisHydra (Lizard) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SapphireSpartanMK1_16 4 - 4 AegisHydra"",""Duration: 00:00:00.9070440""]"
﻿RPSLS,Ayalas_Excellent_Bot,Orbit_PurpleGladiator7000_10,Group J,2026-02-22 22:53:24,964,1,"[""=== RPSLS Match: Ayalas_Excellent_Bot vs Orbit_PurpleGladiator7000_10 ==="",""Max Rounds: 10"","""",""Round 1: Ayalas_Excellent_Bot (Scissors) beats Orbit_PurpleGladiator7000_10 (Paper) - Score: 1-0"",""Round 2: Draw - Scissors vs Scissors - Score: 1-0"",""Round 3: Orbit_PurpleGladiator7000_10 (Lizard) beats Ayalas_Excellent_Bot (Spock) - Score: 1-1"",""Round 4: Draw - Spock vs Spock - Score: 1-1"",""Round 5: Ayalas_Excellent_Bot (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 2-1"",""Round 6: Draw - Paper vs Paper - Score: 2-1"",""Round 7: Draw - Scissors vs Scissors - Score: 2-1"",""Round 8: Ayalas_Excellent_Bot (Rock) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 3-1"",""Round 9: Orbit_PurpleGladiator7000_10 (Spock) beats Ayalas_Excellent_Bot (Rock) - Score: 3-2"",""Round 10: Ayalas_Excellent_Bot (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 4-2"","""",""=== Final Result ==="",""Winner: Ayalas_Excellent_Bot"",""Final Score: Ayalas_Excellent_Bot 4 - 2 Orbit_PurpleGladiator7000_10"",""Duration: 00:00:00.9644760""]"
﻿RPSLS,Orbit_CyclerBot,UndefinedBot,Group G,2026-02-22 22:53:24,924,1,"[""=== RPSLS Match: Orbit_CyclerBot vs UndefinedBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CyclerBot (Rock) beats UndefinedBot (Scissors) - Score: 1-0"",""Round 2: Orbit_CyclerBot (Paper) beats UndefinedBot (Rock) - Score: 2-0"",""Round 3: Orbit_CyclerBot (Scissors) beats UndefinedBot (Paper) - Score: 3-0"",""Round 4: UndefinedBot (Scissors) beats Orbit_CyclerBot (Lizard) - Score: 3-1"",""Round 5: Orbit_CyclerBot (Spock) beats UndefinedBot (Scissors) - Score: 4-1"",""Round 6: UndefinedBot (Spock) beats Orbit_CyclerBot (Rock) - Score: 4-2"",""Round 7: Orbit_CyclerBot (Paper) beats UndefinedBot (Spock) - Score: 5-2"",""Round 8: Orbit_CyclerBot (Scissors) beats UndefinedBot (Lizard) - Score: 6-2"",""Round 9: UndefinedBot (Scissors) beats Orbit_CyclerBot (Lizard) - Score: 6-3"",""Round 10: Draw - Spock vs Spock - Score: 6-3"","""",""=== Final Result ==="",""Winner: Orbit_CyclerBot"",""Final Score: Orbit_CyclerBot 6 - 3 UndefinedBot"",""Duration: 00:00:00.9240431""]"
﻿RPSLS,Orbit_Yossi_winnerbot_0,Orbit_SigmaSpartan9000_15,Group B,2026-02-22 22:53:24,964,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_0 vs Orbit_SigmaSpartan9000_15 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_SigmaSpartan9000_15 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_SigmaSpartan9000_15 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_SigmaSpartan9000_15 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_SigmaSpartan9000_15 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_SigmaSpartan9000_15 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_SigmaSpartan9000_15 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_SigmaSpartan9000_15 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_SigmaSpartan9000_15 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_SigmaSpartan9000_15 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_SigmaSpartan9000_15 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_0"",""Final Score: Orbit_Yossi_winnerbot_0 10 - 0 Orbit_SigmaSpartan9000_15"",""Duration: 00:00:00.9644555""]"
﻿RPSLS,Orbit_TeraRobotV1_529,PredatorBot,Group E,2026-02-22 22:53:24,951,2,"[""=== RPSLS Match: Orbit_TeraRobotV1_529 vs PredatorBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_TeraRobotV1_529 (Paper) beats PredatorBot (Rock) - Score: 1-0"",""Round 2: PredatorBot (Spock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 1-1"",""Round 3: Orbit_TeraRobotV1_529 (Lizard) beats PredatorBot (Paper) - Score: 2-1"",""Round 4: PredatorBot (Paper) beats Orbit_TeraRobotV1_529 (Spock) - Score: 2-2"",""Round 5: Orbit_TeraRobotV1_529 (Rock) beats PredatorBot (Lizard) - Score: 3-2"",""Round 6: PredatorBot (Lizard) beats Orbit_TeraRobotV1_529 (Paper) - Score: 3-3"",""Round 7: PredatorBot (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 3-4"",""Round 8: Draw - Lizard vs Lizard - Score: 3-4"",""Round 9: Orbit_TeraRobotV1_529 (Spock) beats PredatorBot (Rock) - Score: 4-4"",""Round 10: PredatorBot (Paper) beats Orbit_TeraRobotV1_529 (Rock) - Score: 4-5"","""",""=== Final Result ==="",""Winner: PredatorBot"",""Final Score: Orbit_TeraRobotV1_529 4 - 5 PredatorBot"",""Duration: 00:00:00.9510454""]"
﻿RPSLS,Orbit_ForestHelmV3_520,TheKickAssBot,Group C,2026-02-22 22:53:24,939,1,"[""=== RPSLS Match: Orbit_ForestHelmV3_520 vs TheKickAssBot ==="",""Max Rounds: 10"","""",""Round 1: TheKickAssBot (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 0-1"",""Round 2: Orbit_ForestHelmV3_520 (Scissors) beats TheKickAssBot (Paper) - Score: 1-1"",""Round 3: Orbit_ForestHelmV3_520 (Lizard) beats TheKickAssBot (Spock) - Score: 2-1"",""Round 4: TheKickAssBot (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 2-2"",""Round 5: Orbit_ForestHelmV3_520 (Rock) beats TheKickAssBot (Scissors) - Score: 3-2"",""Round 6: TheKickAssBot (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 3-3"",""Round 7: Draw - Scissors vs Scissors - Score: 3-3"",""Round 8: Orbit_ForestHelmV3_520 (Lizard) beats TheKickAssBot (Spock) - Score: 4-3"",""Round 9: Orbit_ForestHelmV3_520 (Spock) beats TheKickAssBot (Scissors) - Score: 5-3"",""Round 10: TheKickAssBot (Spock) beats Orbit_ForestHelmV3_520 (Rock) - Score: 5-4"","""",""=== Final Result ==="",""Winner: Orbit_ForestHelmV3_520"",""Final Score: Orbit_ForestHelmV3_520 5 - 4 TheKickAssBot"",""Duration: 00:00:00.9393922""]"
﻿RPSLS,Orbit_Yossi_winnerbot_27,Orbit_ForestGolemOmega_510,Group I,2026-02-22 22:53:24,923,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_27 vs Orbit_ForestGolemOmega_510 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_ForestGolemOmega_510 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_ForestGolemOmega_510 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_ForestGolemOmega_510 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_ForestGolemOmega_510 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_ForestGolemOmega_510 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_ForestGolemOmega_510 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_ForestGolemOmega_510 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_ForestGolemOmega_510 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_ForestGolemOmega_510 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_ForestGolemOmega_510 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_27"",""Final Score: Orbit_Yossi_winnerbot_27 10 - 0 Orbit_ForestGolemOmega_510"",""Duration: 00:00:00.9239638""]"
