GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_OceanTrackerElite_512,Orbit_SmoothEntityX_505,Group A,2026-02-22 10:14:47,1082,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_SmoothEntityX_505 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_SmoothEntityX_505"",""Duration: 00:00:01.0823618""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_WiseBladeTwo_523,Group A,2026-02-22 10:14:47,1037,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_WiseBladeTwo_523 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_WiseBladeTwo_523"",""Duration: 00:00:01.0377948""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_CosmicSpearDev_23,Group A,2026-02-22 10:14:47,1169,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_CosmicSpearDev_23 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_CosmicSpearDev_23"",""Duration: 00:00:01.1690261""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_PatternBot,Group A,2026-02-22 10:14:47,1126,2,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_PatternBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_OceanTrackerElite_512 (Paper) beats Orbit_PatternBot (Spock) - Score: 1-0"",""Round 2: Orbit_PatternBot (Spock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 1-1"",""Round 3: Orbit_PatternBot (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 1-2"",""Round 4: Orbit_PatternBot (Paper) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 1-3"",""Round 5: Orbit_PatternBot (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 1-4"",""Round 6: Orbit_PatternBot (Scissors) beats Orbit_OceanTrackerElite_512 (Paper) - Score: 1-5"",""Round 7: Orbit_PatternBot (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 1-6"",""Round 8: Orbit_OceanTrackerElite_512 (Lizard) beats Orbit_PatternBot (Paper) - Score: 2-6"",""Round 9: Orbit_OceanTrackerElite_512 (Spock) beats Orbit_PatternBot (Scissors) - Score: 3-6"",""Round 10: Orbit_PatternBot (Spock) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 3-7"","""",""=== Final Result ==="",""Winner: Orbit_PatternBot"",""Final Score: Orbit_OceanTrackerElite_512 3 - 7 Orbit_PatternBot"",""Duration: 00:00:01.1262197""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_Yossi_winnerbot_12,Group A,2026-02-22 10:14:47,1579,2,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_Yossi_winnerbot_12 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_12 (Scissors) beats Orbit_OceanTrackerElite_512 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_12 (Lizard) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_12 (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_12 (Scissors) beats Orbit_OceanTrackerElite_512 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_12 (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_12 (Lizard) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_12 (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_12"",""Final Score: Orbit_OceanTrackerElite_512 0 - 10 Orbit_Yossi_winnerbot_12"",""Duration: 00:00:01.5791249""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_CosmicCoreUltra_501,Group A,2026-02-22 10:14:47,1545,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_CosmicCoreUltra_501 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_CosmicCoreUltra_501"",""Duration: 00:00:01.5452267""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_BraveAvalancheX_526,Group A,2026-02-22 10:14:47,1268,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_BraveAvalancheX_526 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_BraveAvalancheX_526"",""Duration: 00:00:01.2686480""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_Yossi_dummybot_2,Group A,2026-02-22 10:14:47,1207,1,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_Yossi_dummybot_2 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_OceanTrackerElite_512 (Paper) beats Orbit_Yossi_dummybot_2 (Rock) - Score: 1-0"",""Round 2: Orbit_OceanTrackerElite_512 (Scissors) beats Orbit_Yossi_dummybot_2 (Lizard) - Score: 2-0"",""Round 3: Orbit_OceanTrackerElite_512 (Lizard) beats Orbit_Yossi_dummybot_2 (Paper) - Score: 3-0"",""Round 4: Draw - Spock vs Spock - Score: 3-0"",""Round 5: Orbit_OceanTrackerElite_512 (Rock) beats Orbit_Yossi_dummybot_2 (Scissors) - Score: 4-0"",""Round 6: Orbit_OceanTrackerElite_512 (Paper) beats Orbit_Yossi_dummybot_2 (Rock) - Score: 5-0"",""Round 7: Orbit_OceanTrackerElite_512 (Scissors) beats Orbit_Yossi_dummybot_2 (Lizard) - Score: 6-0"",""Round 8: Orbit_OceanTrackerElite_512 (Lizard) beats Orbit_Yossi_dummybot_2 (Paper) - Score: 7-0"",""Round 9: Draw - Spock vs Spock - Score: 7-0"",""Round 10: Orbit_OceanTrackerElite_512 (Rock) beats Orbit_Yossi_dummybot_2 (Scissors) - Score: 8-0"","""",""=== Final Result ==="",""Winner: Orbit_OceanTrackerElite_512"",""Final Score: Orbit_OceanTrackerElite_512 8 - 0 Orbit_Yossi_dummybot_2"",""Duration: 00:00:01.2072764""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_DefenderBot,Group A,2026-02-22 10:14:47,1217,1,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_DefenderBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_OceanTrackerElite_512 (Paper) beats Orbit_DefenderBot (Rock) - Score: 1-0"",""Round 2: Orbit_DefenderBot (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 1-1"",""Round 3: Orbit_DefenderBot (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 1-2"",""Round 4: Orbit_DefenderBot (Lizard) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 1-3"",""Round 5: Orbit_DefenderBot (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 1-4"",""Round 6: Orbit_OceanTrackerElite_512 (Paper) beats Orbit_DefenderBot (Rock) - Score: 2-4"",""Round 7: Orbit_OceanTrackerElite_512 (Scissors) beats Orbit_DefenderBot (Lizard) - Score: 3-4"",""Round 8: Orbit_OceanTrackerElite_512 (Lizard) beats Orbit_DefenderBot (Paper) - Score: 4-4"",""Round 9: Orbit_OceanTrackerElite_512 (Spock) beats Orbit_DefenderBot (Rock) - Score: 5-4"",""Round 10: Orbit_OceanTrackerElite_512 (Rock) beats Orbit_DefenderBot (Scissors) - Score: 6-4"","""",""=== Final Result ==="",""Winner: Orbit_OceanTrackerElite_512"",""Final Score: Orbit_OceanTrackerElite_512 6 - 4 Orbit_DefenderBot"",""Duration: 00:00:01.2173404""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_CosmicAndroidGen2_507,Group A,2026-02-22 10:14:47,1735,3,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_CosmicAndroidGen2_507 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_OceanTrackerElite_512 0 - 0 Orbit_CosmicAndroidGen2_507"",""Duration: 00:00:01.7358130""]"
