GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_ForestBeastOne_500,Orbit_OceanTrackerElite_512,Group C,2026-02-22 21:51:40,1199,3,"[""=== RPSLS Match: Orbit_ForestBeastOne_500 vs Orbit_OceanTrackerElite_512 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_ForestBeastOne_500 0 - 0 Orbit_OceanTrackerElite_512"",""Duration: 00:00:01.1996435""]"
﻿RPSLS,Orbit_Yossi_winnerbot_3,Orbit_BetaCheetahBeta_26,Group B,2026-02-22 21:51:40,1217,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_3 vs Orbit_BetaCheetahBeta_26 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_3 (Scissors) beats Orbit_BetaCheetahBeta_26 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_BetaCheetahBeta_26 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_BetaCheetahBeta_26 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_3 (Lizard) beats Orbit_BetaCheetahBeta_26 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_3 (Paper) beats Orbit_BetaCheetahBeta_26 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_3 (Scissors) beats Orbit_BetaCheetahBeta_26 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_BetaCheetahBeta_26 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_BetaCheetahBeta_26 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_3 (Lizard) beats Orbit_BetaCheetahBeta_26 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_3 (Paper) beats Orbit_BetaCheetahBeta_26 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_3"",""Final Score: Orbit_Yossi_winnerbot_3 10 - 0 Orbit_BetaCheetahBeta_26"",""Duration: 00:00:01.2171300""]"
﻿RPSLS,Orbit_Yossi_winnerbot_10,StrategyForge,Group D,2026-02-22 21:51:40,1271,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_10 vs StrategyForge ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_10 (Scissors) beats StrategyForge (Paper) - Score: 1-0"",""Round 2: StrategyForge (Paper) beats Orbit_Yossi_winnerbot_10 (Rock) - Score: 1-1"",""Round 3: Orbit_Yossi_winnerbot_10 (Rock) beats StrategyForge (Lizard) - Score: 2-1"",""Round 4: StrategyForge (Scissors) beats Orbit_Yossi_winnerbot_10 (Lizard) - Score: 2-2"",""Round 5: Orbit_Yossi_winnerbot_10 (Paper) beats StrategyForge (Rock) - Score: 3-2"",""Round 6: Orbit_Yossi_winnerbot_10 (Scissors) beats StrategyForge (Paper) - Score: 4-2"",""Round 7: Orbit_Yossi_winnerbot_10 (Rock) beats StrategyForge (Lizard) - Score: 5-2"",""Round 8: Orbit_Yossi_winnerbot_10 (Rock) beats StrategyForge (Scissors) - Score: 6-2"",""Round 9: Draw - Lizard vs Lizard - Score: 6-2"",""Round 10: StrategyForge (Lizard) beats Orbit_Yossi_winnerbot_10 (Paper) - Score: 6-3"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_10"",""Final Score: Orbit_Yossi_winnerbot_10 6 - 3 StrategyForge"",""Duration: 00:00:01.2710121""]"
﻿RPSLS,Orbit_IceShamanMK3_518,Orbit_ForestGolemOmega_510,Group C,2026-02-22 21:51:40,1199,3,"[""=== RPSLS Match: Orbit_IceShamanMK3_518 vs Orbit_ForestGolemOmega_510 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_IceShamanMK3_518 0 - 0 Orbit_ForestGolemOmega_510"",""Duration: 00:00:01.1995965""]"
﻿RPSLS,Orbit_DarkGiantBot_527,Orbit_VoidStormPro_20,Group H,2026-02-22 21:51:40,1216,3,"[""=== RPSLS Match: Orbit_DarkGiantBot_527 vs Orbit_VoidStormPro_20 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_DarkGiantBot_527 0 - 0 Orbit_VoidStormPro_20"",""Duration: 00:00:01.2169754""]"
﻿RPSLS,AegisHydra,Orbit_SmoothEntityX_505,Group I,2026-02-22 21:51:40,1199,2,"[""=== RPSLS Match: AegisHydra vs Orbit_SmoothEntityX_505 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Orbit_SmoothEntityX_505 (Scissors) beats AegisHydra (Lizard) - Score: 0-1"",""Round 3: AegisHydra (Scissors) beats Orbit_SmoothEntityX_505 (Lizard) - Score: 1-1"",""Round 4: Orbit_SmoothEntityX_505 (Spock) beats AegisHydra (Scissors) - Score: 1-2"",""Round 5: Orbit_SmoothEntityX_505 (Rock) beats AegisHydra (Lizard) - Score: 1-3"",""Round 6: Orbit_SmoothEntityX_505 (Paper) beats AegisHydra (Spock) - Score: 1-4"",""Round 7: Draw - Scissors vs Scissors - Score: 1-4"",""Round 8: AegisHydra (Scissors) beats Orbit_SmoothEntityX_505 (Lizard) - Score: 2-4"",""Round 9: Orbit_SmoothEntityX_505 (Spock) beats AegisHydra (Rock) - Score: 2-5"",""Round 10: Orbit_SmoothEntityX_505 (Rock) beats AegisHydra (Scissors) - Score: 2-6"","""",""=== Final Result ==="",""Winner: Orbit_SmoothEntityX_505"",""Final Score: AegisHydra 2 - 6 Orbit_SmoothEntityX_505"",""Duration: 00:00:01.1996295""]"
﻿RPSLS,PredatorBot,Orbit_Yossi_winnerbot_5,Group B,2026-02-22 21:51:40,1253,1,"[""=== RPSLS Match: PredatorBot vs Orbit_Yossi_winnerbot_5 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: PredatorBot (Spock) beats Orbit_Yossi_winnerbot_5 (Rock) - Score: 1-0"",""Round 4: Orbit_Yossi_winnerbot_5 (Lizard) beats PredatorBot (Spock) - Score: 1-1"",""Round 5: Orbit_Yossi_winnerbot_5 (Paper) beats PredatorBot (Spock) - Score: 1-2"",""Round 6: PredatorBot (Spock) beats Orbit_Yossi_winnerbot_5 (Scissors) - Score: 2-2"",""Round 7: PredatorBot (Spock) beats Orbit_Yossi_winnerbot_5 (Rock) - Score: 3-2"",""Round 8: PredatorBot (Spock) beats Orbit_Yossi_winnerbot_5 (Rock) - Score: 4-2"",""Round 9: Orbit_Yossi_winnerbot_5 (Lizard) beats PredatorBot (Spock) - Score: 4-3"",""Round 10: PredatorBot (Scissors) beats Orbit_Yossi_winnerbot_5 (Paper) - Score: 5-3"","""",""=== Final Result ==="",""Winner: PredatorBot"",""Final Score: PredatorBot 5 - 3 Orbit_Yossi_winnerbot_5"",""Duration: 00:00:01.2531200""]"
﻿RPSLS,Orbit_RedBuffalo2000_22,Orbit_DefenderBot,Group E,2026-02-22 21:51:40,1217,3,"[""=== RPSLS Match: Orbit_RedBuffalo2000_22 vs Orbit_DefenderBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_RedBuffalo2000_22 (Paper) beats Orbit_DefenderBot (Rock) - Score: 1-0"",""Round 2: Orbit_DefenderBot (Rock) beats Orbit_RedBuffalo2000_22 (Scissors) - Score: 1-1"",""Round 3: Orbit_DefenderBot (Rock) beats Orbit_RedBuffalo2000_22 (Lizard) - Score: 1-2"",""Round 4: Orbit_DefenderBot (Lizard) beats Orbit_RedBuffalo2000_22 (Spock) - Score: 1-3"",""Round 5: Orbit_DefenderBot (Paper) beats Orbit_RedBuffalo2000_22 (Rock) - Score: 1-4"",""Round 6: Orbit_RedBuffalo2000_22 (Paper) beats Orbit_DefenderBot (Rock) - Score: 2-4"",""Round 7: Orbit_RedBuffalo2000_22 (Scissors) beats Orbit_DefenderBot (Lizard) - Score: 3-4"",""Round 8: Orbit_RedBuffalo2000_22 (Lizard) beats Orbit_DefenderBot (Paper) - Score: 4-4"",""Round 9: Orbit_RedBuffalo2000_22 (Spock) beats Orbit_DefenderBot (Rock) - Score: 5-4"",""Round 10: Orbit_DefenderBot (Paper) beats Orbit_RedBuffalo2000_22 (Rock) - Score: 5-5"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_RedBuffalo2000_22 5 - 5 Orbit_DefenderBot"",""Duration: 00:00:01.2170120""]"
﻿RPSLS,OIL-4o,Orbit_SmoothEntityX_505,Group I,2026-02-22 21:51:40,1370,3,"[""=== RPSLS Match: OIL-4o vs Orbit_SmoothEntityX_505 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: OIL-4o (Spock) beats Orbit_SmoothEntityX_505 (Scissors) - Score: 1-0"",""Round 3: Draw - Lizard vs Lizard - Score: 1-0"",""Round 4: Draw - Spock vs Spock - Score: 1-0"",""Round 5: Orbit_SmoothEntityX_505 (Rock) beats OIL-4o (Scissors) - Score: 1-1"",""Round 6: Orbit_SmoothEntityX_505 (Paper) beats OIL-4o (Rock) - Score: 1-2"",""Round 7: Draw - Scissors vs Scissors - Score: 1-2"",""Round 8: Draw - Lizard vs Lizard - Score: 1-2"",""Round 9: OIL-4o (Paper) beats Orbit_SmoothEntityX_505 (Spock) - Score: 2-2"",""Round 10: Draw - Rock vs Rock - Score: 2-2"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: OIL-4o 2 - 2 Orbit_SmoothEntityX_505"",""Duration: 00:00:01.3702702""]"
﻿RPSLS,Orbit_TeraPirateZ_2,Orbit_LightGalaxyTech_13,Group H,2026-02-22 21:51:40,1227,3,"[""=== RPSLS Match: Orbit_TeraPirateZ_2 vs Orbit_LightGalaxyTech_13 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_TeraPirateZ_2 0 - 0 Orbit_LightGalaxyTech_13"",""Duration: 00:00:01.2275540""]"
