GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_CyclerBot,Orbit_TeraFighterOps_504,Group B,2026-02-22 22:57:06,713,1,"[""=== RPSLS Match: Orbit_CyclerBot vs Orbit_TeraFighterOps_504 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_TeraFighterOps_504 (Paper) beats Orbit_CyclerBot (Rock) - Score: 0-1"",""Round 2: Orbit_TeraFighterOps_504 (Scissors) beats Orbit_CyclerBot (Paper) - Score: 0-2"",""Round 3: Orbit_CyclerBot (Scissors) beats Orbit_TeraFighterOps_504 (Lizard) - Score: 1-2"",""Round 4: Orbit_CyclerBot (Lizard) beats Orbit_TeraFighterOps_504 (Spock) - Score: 2-2"",""Round 5: Orbit_CyclerBot (Spock) beats Orbit_TeraFighterOps_504 (Rock) - Score: 3-2"",""Round 6: Orbit_TeraFighterOps_504 (Paper) beats Orbit_CyclerBot (Rock) - Score: 3-3"",""Round 7: Orbit_TeraFighterOps_504 (Scissors) beats Orbit_CyclerBot (Paper) - Score: 3-4"",""Round 8: Orbit_CyclerBot (Scissors) beats Orbit_TeraFighterOps_504 (Lizard) - Score: 4-4"",""Round 9: Orbit_CyclerBot (Lizard) beats Orbit_TeraFighterOps_504 (Spock) - Score: 5-4"",""Round 10: Orbit_CyclerBot (Spock) beats Orbit_TeraFighterOps_504 (Rock) - Score: 6-4"","""",""=== Final Result ==="",""Winner: Orbit_CyclerBot"",""Final Score: Orbit_CyclerBot 6 - 4 Orbit_TeraFighterOps_504"",""Duration: 00:00:00.7131622""]"
﻿RPSLS,Orbit_Yossi_winnerbot_23,Orbit_VioletAxe6000_502,Group E,2026-02-22 22:57:06,738,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_23 vs Orbit_VioletAxe6000_502 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_23 (Scissors) beats Orbit_VioletAxe6000_502 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_VioletAxe6000_502 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_VioletAxe6000_502 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_23 (Lizard) beats Orbit_VioletAxe6000_502 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_23 (Paper) beats Orbit_VioletAxe6000_502 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_23 (Scissors) beats Orbit_VioletAxe6000_502 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_VioletAxe6000_502 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_VioletAxe6000_502 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_23 (Lizard) beats Orbit_VioletAxe6000_502 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_23 (Paper) beats Orbit_VioletAxe6000_502 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_23"",""Final Score: Orbit_Yossi_winnerbot_23 10 - 0 Orbit_VioletAxe6000_502"",""Duration: 00:00:00.7388819""]"
﻿RPSLS,QuantumStrike_Batel_Shunit,Orbit_TeraRobotV1_529,Group A,2026-02-22 22:57:06,746,1,"[""=== RPSLS Match: QuantumStrike_Batel_Shunit vs Orbit_TeraRobotV1_529 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Orbit_TeraRobotV1_529 (Scissors) beats QuantumStrike_Batel_Shunit (Paper) - Score: 0-1"",""Round 3: Orbit_TeraRobotV1_529 (Lizard) beats QuantumStrike_Batel_Shunit (Paper) - Score: 0-2"",""Round 4: QuantumStrike_Batel_Shunit (Lizard) beats Orbit_TeraRobotV1_529 (Spock) - Score: 1-2"",""Round 5: Draw - Rock vs Rock - Score: 1-2"",""Round 6: Draw - Paper vs Paper - Score: 1-2"",""Round 7: QuantumStrike_Batel_Shunit (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 2-2"",""Round 8: QuantumStrike_Batel_Shunit (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 3-2"",""Round 9: QuantumStrike_Batel_Shunit (Paper) beats Orbit_TeraRobotV1_529 (Spock) - Score: 4-2"",""Round 10: QuantumStrike_Batel_Shunit (Spock) beats Orbit_TeraRobotV1_529 (Rock) - Score: 5-2"","""",""=== Final Result ==="",""Winner: QuantumStrike_Batel_Shunit"",""Final Score: QuantumStrike_Batel_Shunit 5 - 2 Orbit_TeraRobotV1_529"",""Duration: 00:00:00.7463631""]"
﻿RPSLS,Orbit_MicroGiantGen2_521,OmegaBot,Group E,2026-02-22 22:57:06,782,2,"[""=== RPSLS Match: Orbit_MicroGiantGen2_521 vs OmegaBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_MicroGiantGen2_521 (Paper) beats OmegaBot (Rock) - Score: 1-0"",""Round 2: OmegaBot (Spock) beats Orbit_MicroGiantGen2_521 (Scissors) - Score: 1-1"",""Round 3: OmegaBot (Rock) beats Orbit_MicroGiantGen2_521 (Lizard) - Score: 1-2"",""Round 4: Draw - Spock vs Spock - Score: 1-2"",""Round 5: Orbit_MicroGiantGen2_521 (Rock) beats OmegaBot (Scissors) - Score: 2-2"",""Round 6: OmegaBot (Scissors) beats Orbit_MicroGiantGen2_521 (Paper) - Score: 2-3"",""Round 7: Orbit_MicroGiantGen2_521 (Scissors) beats OmegaBot (Paper) - Score: 3-3"",""Round 8: Draw - Lizard vs Lizard - Score: 3-3"",""Round 9: OmegaBot (Paper) beats Orbit_MicroGiantGen2_521 (Spock) - Score: 3-4"",""Round 10: OmegaBot (Spock) beats Orbit_MicroGiantGen2_521 (Rock) - Score: 3-5"","""",""=== Final Result ==="",""Winner: OmegaBot"",""Final Score: Orbit_MicroGiantGen2_521 3 - 5 OmegaBot"",""Duration: 00:00:00.7822573""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,AegisStrat-314,Group G,2026-02-22 22:57:06,729,2,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs AegisStrat-314 ==="",""Max Rounds: 10"","""",""Round 1: AegisStrat-314 (Rock) beats Orbit_Yossi_winnerbot_24 (Scissors) - Score: 0-1"",""Round 2: AegisStrat-314 (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 0-2"",""Round 3: AegisStrat-314 (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 0-3"",""Round 4: AegisStrat-314 (Scissors) beats Orbit_Yossi_winnerbot_24 (Lizard) - Score: 0-4"",""Round 5: AegisStrat-314 (Scissors) beats Orbit_Yossi_winnerbot_24 (Paper) - Score: 0-5"",""Round 6: AegisStrat-314 (Spock) beats Orbit_Yossi_winnerbot_24 (Scissors) - Score: 0-6"",""Round 7: AegisStrat-314 (Spock) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 0-7"",""Round 8: AegisStrat-314 (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 0-8"",""Round 9: AegisStrat-314 (Scissors) beats Orbit_Yossi_winnerbot_24 (Lizard) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats AegisStrat-314 (Spock) - Score: 1-9"","""",""=== Final Result ==="",""Winner: AegisStrat-314"",""Final Score: Orbit_Yossi_winnerbot_24 1 - 9 AegisStrat-314"",""Duration: 00:00:00.7298167""]"
﻿RPSLS,Idan_Aharoni,Orbit_MetaCyborgMK1_21,Group A,2026-02-22 22:57:06,820,3,"[""=== RPSLS Match: Idan_Aharoni vs Orbit_MetaCyborgMK1_21 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_MetaCyborgMK1_21 (Paper) beats Idan_Aharoni (Rock) - Score: 0-1"",""Round 2: Idan_Aharoni (Spock) beats Orbit_MetaCyborgMK1_21 (Scissors) - Score: 1-1"",""Round 3: Orbit_MetaCyborgMK1_21 (Lizard) beats Idan_Aharoni (Spock) - Score: 1-2"",""Round 4: Orbit_MetaCyborgMK1_21 (Spock) beats Idan_Aharoni (Rock) - Score: 1-3"",""Round 5: Idan_Aharoni (Spock) beats Orbit_MetaCyborgMK1_21 (Rock) - Score: 2-3"",""Round 6: Idan_Aharoni (Lizard) beats Orbit_MetaCyborgMK1_21 (Paper) - Score: 3-3"",""Round 7: Orbit_MetaCyborgMK1_21 (Scissors) beats Idan_Aharoni (Lizard) - Score: 3-4"",""Round 8: Orbit_MetaCyborgMK1_21 (Lizard) beats Idan_Aharoni (Paper) - Score: 3-5"",""Round 9: Idan_Aharoni (Lizard) beats Orbit_MetaCyborgMK1_21 (Spock) - Score: 4-5"",""Round 10: Idan_Aharoni (Spock) beats Orbit_MetaCyborgMK1_21 (Rock) - Score: 5-5"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Idan_Aharoni 5 - 5 Orbit_MetaCyborgMK1_21"",""Duration: 00:00:00.8206983""]"
﻿RPSLS,Orbit_FierceStrikerMK5_4,Orbit_SlickViking5000_6,Group H,2026-02-22 22:57:06,721,3,"[""=== RPSLS Match: Orbit_FierceStrikerMK5_4 vs Orbit_SlickViking5000_6 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_FierceStrikerMK5_4 0 - 0 Orbit_SlickViking5000_6"",""Duration: 00:00:00.7213423""]"
﻿RPSLS,Orbit_Yossi_winnerbot,Orbit_Yossi_dummybot_4,Group J,2026-02-22 22:57:06,745,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot vs Orbit_Yossi_dummybot_4 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Spock vs Spock - Score: 0-0"",""Round 2: Orbit_Yossi_winnerbot (Paper) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 1-0"",""Round 3: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_Yossi_winnerbot (Scissors) - Score: 1-1"",""Round 4: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_Yossi_winnerbot (Scissors) - Score: 1-2"",""Round 5: Orbit_Yossi_winnerbot (Paper) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 2-2"",""Round 6: Orbit_Yossi_winnerbot (Lizard) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 3-2"",""Round 7: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_Yossi_winnerbot (Scissors) - Score: 3-3"",""Round 8: Orbit_Yossi_dummybot_4 (Spock) beats Orbit_Yossi_winnerbot (Scissors) - Score: 3-4"",""Round 9: Orbit_Yossi_winnerbot (Paper) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 4-4"",""Round 10: Orbit_Yossi_winnerbot (Lizard) beats Orbit_Yossi_dummybot_4 (Spock) - Score: 5-4"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot"",""Final Score: Orbit_Yossi_winnerbot 5 - 4 Orbit_Yossi_dummybot_4"",""Duration: 00:00:00.7458417""]"
﻿RPSLS,Orbit_BraveAvalancheX_526,Orbit_RedBuffalo2000_22,Group B,2026-02-22 22:57:06,773,3,"[""=== RPSLS Match: Orbit_BraveAvalancheX_526 vs Orbit_RedBuffalo2000_22 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_BraveAvalancheX_526 0 - 0 Orbit_RedBuffalo2000_22"",""Duration: 00:00:00.7738381""]"
﻿RPSLS,Orbit_Yossi_winnerbot_7,Orbit_Yossi_winnerbot_28,Group F,2026-02-22 22:57:06,746,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_7 vs Orbit_Yossi_winnerbot_28 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_7 0 - 0 Orbit_Yossi_winnerbot_28"",""Duration: 00:00:00.7460006""]"
