GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_PrimeBearOne_516,Orbit_MacroBladeOmega_8,Group H,2026-02-23 00:15:00,1474,3,"[""=== RPSLS Match: Orbit_PrimeBearOne_516 vs Orbit_MacroBladeOmega_8 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_PrimeBearOne_516 0 - 0 Orbit_MacroBladeOmega_8"",""Duration: 00:00:01.4748116""]"
﻿RPSLS,Orbit_BlitzApe3000_24,Orbit_MicroGiantGen2_521,Group D,2026-02-23 00:15:02,1996,3,"[""=== RPSLS Match: Orbit_BlitzApe3000_24 vs Orbit_MicroGiantGen2_521 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_BlitzApe3000_24 0 - 0 Orbit_MicroGiantGen2_521"",""Duration: 00:00:01.9969114""]"
﻿RPSLS,Orbit_SmoothEntityX_505,Orbit_Yossi_winnerbot_13,Group F,2026-02-23 00:15:08,1732,2,"[""=== RPSLS Match: Orbit_SmoothEntityX_505 vs Orbit_Yossi_winnerbot_13 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_13 (Scissors) beats Orbit_SmoothEntityX_505 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_SmoothEntityX_505 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_SmoothEntityX_505 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_13 (Lizard) beats Orbit_SmoothEntityX_505 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_13 (Paper) beats Orbit_SmoothEntityX_505 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_13 (Scissors) beats Orbit_SmoothEntityX_505 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_SmoothEntityX_505 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_13 (Rock) beats Orbit_SmoothEntityX_505 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_13 (Lizard) beats Orbit_SmoothEntityX_505 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_13 (Paper) beats Orbit_SmoothEntityX_505 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_13"",""Final Score: Orbit_SmoothEntityX_505 0 - 10 Orbit_Yossi_winnerbot_13"",""Duration: 00:00:01.7324174""]"
﻿RPSLS,Orbit_QuantumStrategist,Orbit_DesertHammerPro_18,Group G,2026-02-23 00:15:09,2735,1,"[""=== RPSLS Match: Orbit_QuantumStrategist vs Orbit_DesertHammerPro_18 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_QuantumStrategist (Lizard) beats Orbit_DesertHammerPro_18 (Paper) - Score: 1-0"",""Round 2: Orbit_QuantumStrategist (Spock) beats Orbit_DesertHammerPro_18 (Scissors) - Score: 2-0"",""Round 3: Draw - Lizard vs Lizard - Score: 2-0"",""Round 4: Orbit_QuantumStrategist (Lizard) beats Orbit_DesertHammerPro_18 (Spock) - Score: 3-0"",""Round 5: Orbit_DesertHammerPro_18 (Rock) beats Orbit_QuantumStrategist (Lizard) - Score: 3-1"",""Round 6: Orbit_DesertHammerPro_18 (Paper) beats Orbit_QuantumStrategist (Spock) - Score: 3-2"",""Round 7: Draw - Scissors vs Scissors - Score: 3-2"",""Round 8: Orbit_QuantumStrategist (Scissors) beats Orbit_DesertHammerPro_18 (Lizard) - Score: 4-2"",""Round 9: Orbit_QuantumStrategist (Lizard) beats Orbit_DesertHammerPro_18 (Spock) - Score: 5-2"",""Round 10: Orbit_DesertHammerPro_18 (Rock) beats Orbit_QuantumStrategist (Scissors) - Score: 5-3"","""",""=== Final Result ==="",""Winner: Orbit_QuantumStrategist"",""Final Score: Orbit_QuantumStrategist 5 - 3 Orbit_DesertHammerPro_18"",""Duration: 00:00:02.7350525""]"
﻿RPSLS,Orbit_CrystalCrown8000_9,Orbit_MacroBladeOmega_8,Group H,2026-02-23 00:15:21,1866,3,"[""=== RPSLS Match: Orbit_CrystalCrown8000_9 vs Orbit_MacroBladeOmega_8 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CrystalCrown8000_9 0 - 0 Orbit_MacroBladeOmega_8"",""Duration: 00:00:01.8661606""]"
﻿RPSLS,Orbit_SwiftChaserLord_517,Orbit_SlickViking5000_6,Group D,2026-02-23 00:15:24,1757,3,"[""=== RPSLS Match: Orbit_SwiftChaserLord_517 vs Orbit_SlickViking5000_6 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_SwiftChaserLord_517 0 - 0 Orbit_SlickViking5000_6"",""Duration: 00:00:01.7578972""]"
﻿RPSLS,Orbit_Yossi_winnerbot,Orbit_SigmaSpartan9000_15,Group C,2026-02-23 00:15:00,1987,2,"[""=== RPSLS Match: Orbit_Yossi_winnerbot vs Orbit_SigmaSpartan9000_15 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_SigmaSpartan9000_15 (Paper) beats Orbit_Yossi_winnerbot (Rock) - Score: 0-1"",""Round 2: Orbit_SigmaSpartan9000_15 (Scissors) beats Orbit_Yossi_winnerbot (Lizard) - Score: 0-2"",""Round 3: Orbit_SigmaSpartan9000_15 (Lizard) beats Orbit_Yossi_winnerbot (Paper) - Score: 0-3"",""Round 4: Orbit_SigmaSpartan9000_15 (Spock) beats Orbit_Yossi_winnerbot (Rock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot (Spock) beats Orbit_SigmaSpartan9000_15 (Rock) - Score: 1-4"",""Round 6: Orbit_SigmaSpartan9000_15 (Paper) beats Orbit_Yossi_winnerbot (Spock) - Score: 1-5"",""Round 7: Orbit_SigmaSpartan9000_15 (Scissors) beats Orbit_Yossi_winnerbot (Paper) - Score: 1-6"",""Round 8: Orbit_SigmaSpartan9000_15 (Lizard) beats Orbit_Yossi_winnerbot (Spock) - Score: 1-7"",""Round 9: Orbit_Yossi_winnerbot (Paper) beats Orbit_SigmaSpartan9000_15 (Spock) - Score: 2-7"",""Round 10: Orbit_Yossi_winnerbot (Spock) beats Orbit_SigmaSpartan9000_15 (Rock) - Score: 3-7"","""",""=== Final Result ==="",""Winner: Orbit_SigmaSpartan9000_15"",""Final Score: Orbit_Yossi_winnerbot 3 - 7 Orbit_SigmaSpartan9000_15"",""Duration: 00:00:01.9877047""]"
﻿RPSLS,Orbit_OceanTrackerElite_512,Orbit_Yossi_winnerbot_21,Group G,2026-02-23 00:15:00,1533,2,"[""=== RPSLS Match: Orbit_OceanTrackerElite_512 vs Orbit_Yossi_winnerbot_21 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_21 (Scissors) beats Orbit_OceanTrackerElite_512 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_21 (Lizard) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_21 (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_21 (Scissors) beats Orbit_OceanTrackerElite_512 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_OceanTrackerElite_512 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_OceanTrackerElite_512 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_21 (Lizard) beats Orbit_OceanTrackerElite_512 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_21 (Paper) beats Orbit_OceanTrackerElite_512 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_21"",""Final Score: Orbit_OceanTrackerElite_512 0 - 10 Orbit_Yossi_winnerbot_21"",""Duration: 00:00:01.5330360""]"
﻿RPSLS,HydraTactician-ZE26,Orbit_CosmicCrusaderGen2_17,Group F,2026-02-23 00:15:00,1525,1,"[""=== RPSLS Match: HydraTactician-ZE26 vs Orbit_CosmicCrusaderGen2_17 ==="",""Max Rounds: 10"","""",""Round 1: HydraTactician-ZE26 (Lizard) beats Orbit_CosmicCrusaderGen2_17 (Paper) - Score: 1-0"",""Round 2: HydraTactician-ZE26 (Spock) beats Orbit_CosmicCrusaderGen2_17 (Scissors) - Score: 2-0"",""Round 3: HydraTactician-ZE26 (Rock) beats Orbit_CosmicCrusaderGen2_17 (Lizard) - Score: 3-0"",""Round 4: HydraTactician-ZE26 (Paper) beats Orbit_CosmicCrusaderGen2_17 (Spock) - Score: 4-0"",""Round 5: Orbit_CosmicCrusaderGen2_17 (Rock) beats HydraTactician-ZE26 (Scissors) - Score: 4-1"",""Round 6: HydraTactician-ZE26 (Lizard) beats Orbit_CosmicCrusaderGen2_17 (Paper) - Score: 5-1"",""Round 7: HydraTactician-ZE26 (Spock) beats Orbit_CosmicCrusaderGen2_17 (Scissors) - Score: 6-1"",""Round 8: HydraTactician-ZE26 (Rock) beats Orbit_CosmicCrusaderGen2_17 (Lizard) - Score: 7-1"",""Round 9: HydraTactician-ZE26 (Paper) beats Orbit_CosmicCrusaderGen2_17 (Spock) - Score: 8-1"",""Round 10: Orbit_CosmicCrusaderGen2_17 (Rock) beats HydraTactician-ZE26 (Scissors) - Score: 8-2"","""",""=== Final Result ==="",""Winner: HydraTactician-ZE26"",""Final Score: HydraTactician-ZE26 8 - 2 Orbit_CosmicCrusaderGen2_17"",""Duration: 00:00:01.5250091""]"
﻿RPSLS,Orbit_CosmicMeteorAlpha_528,Orbit_Yossi_winnerbot_3,Group H,2026-02-23 00:15:00,1781,2,"[""=== RPSLS Match: Orbit_CosmicMeteorAlpha_528 vs Orbit_Yossi_winnerbot_3 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_3 (Scissors) beats Orbit_CosmicMeteorAlpha_528 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_3 (Lizard) beats Orbit_CosmicMeteorAlpha_528 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_3 (Paper) beats Orbit_CosmicMeteorAlpha_528 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_3 (Scissors) beats Orbit_CosmicMeteorAlpha_528 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_3 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_3 (Lizard) beats Orbit_CosmicMeteorAlpha_528 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_3 (Paper) beats Orbit_CosmicMeteorAlpha_528 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_3"",""Final Score: Orbit_CosmicMeteorAlpha_528 0 - 10 Orbit_Yossi_winnerbot_3"",""Duration: 00:00:01.7816403""]"
