GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_Yossi_winnerbot_21,Orbit_CrystalCrown8000_9,Group A,2026-02-22 16:25:04,1053,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_21 vs Orbit_CrystalCrown8000_9 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_21 (Scissors) beats Orbit_CrystalCrown8000_9 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_CrystalCrown8000_9 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_21 (Lizard) beats Orbit_CrystalCrown8000_9 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_21 (Paper) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_21 (Scissors) beats Orbit_CrystalCrown8000_9 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_21 (Rock) beats Orbit_CrystalCrown8000_9 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_21 (Lizard) beats Orbit_CrystalCrown8000_9 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_21 (Paper) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_21"",""Final Score: Orbit_Yossi_winnerbot_21 10 - 0 Orbit_CrystalCrown8000_9"",""Duration: 00:00:01.0538414""]"
﻿RPSLS,Orbit_MicroPlanetLab_11,Orbit_Yossi_winnerbot_23,Group D,2026-02-22 16:25:04,971,2,"[""=== RPSLS Match: Orbit_MicroPlanetLab_11 vs Orbit_Yossi_winnerbot_23 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_23 (Scissors) beats Orbit_MicroPlanetLab_11 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_MicroPlanetLab_11 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_MicroPlanetLab_11 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_23 (Lizard) beats Orbit_MicroPlanetLab_11 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_23 (Paper) beats Orbit_MicroPlanetLab_11 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_23 (Scissors) beats Orbit_MicroPlanetLab_11 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_MicroPlanetLab_11 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_23 (Rock) beats Orbit_MicroPlanetLab_11 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_23 (Lizard) beats Orbit_MicroPlanetLab_11 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_23 (Paper) beats Orbit_MicroPlanetLab_11 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_23"",""Final Score: Orbit_MicroPlanetLab_11 0 - 10 Orbit_Yossi_winnerbot_23"",""Duration: 00:00:00.9711485""]"
﻿RPSLS,Orbit_LegendarySpiritMaster_0,Orbit_OceanTrackerElite_512,Group F,2026-02-22 16:25:04,1076,3,"[""=== RPSLS Match: Orbit_LegendarySpiritMaster_0 vs Orbit_OceanTrackerElite_512 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_LegendarySpiritMaster_0 0 - 0 Orbit_OceanTrackerElite_512"",""Duration: 00:00:01.0760331""]"
﻿RPSLS,AlexDimaDavidBot,NirOrgadBOT,Group A,2026-02-22 16:25:04,1208,1,"[""=== RPSLS Match: AlexDimaDavidBot vs NirOrgadBOT ==="",""Max Rounds: 10"","""",""Round 1: NirOrgadBOT (Lizard) beats AlexDimaDavidBot (Spock) - Score: 0-1"",""Round 2: Draw - Rock vs Rock - Score: 0-1"",""Round 3: NirOrgadBOT ERROR - Exception: Exception has been thrown by the target of an invocation."",""Round 3: AlexDimaDavidBot wins by default (opponent error) - Score: 1-1"",""Round 4: NirOrgadBOT (Paper) beats AlexDimaDavidBot (Spock) - Score: 1-2"",""Round 5: NirOrgadBOT (Scissors) beats AlexDimaDavidBot (Lizard) - Score: 1-3"",""Round 6: NirOrgadBOT (Rock) beats AlexDimaDavidBot (Scissors) - Score: 1-4"",""Round 7: NirOrgadBOT (Paper) beats AlexDimaDavidBot (Rock) - Score: 1-5"",""Round 8: NirOrgadBOT (Scissors) beats AlexDimaDavidBot (Paper) - Score: 1-6"",""Round 9: NirOrgadBOT (Rock) beats AlexDimaDavidBot (Lizard) - Score: 1-7"",""Round 10: AlexDimaDavidBot (Scissors) beats NirOrgadBOT (Paper) - Score: 2-7"","""",""=== Final Result ==="",""Winner: AlexDimaDavidBot"",""Final Score: AlexDimaDavidBot 2 - 7 NirOrgadBOT"",""Duration: 00:00:01.2089047""]"
﻿RPSLS,Orbit_GoldPhantomBeta_25,Orbit_TeraBotZ_509,Group D,2026-02-22 16:25:04,1015,3,"[""=== RPSLS Match: Orbit_GoldPhantomBeta_25 vs Orbit_TeraBotZ_509 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_GoldPhantomBeta_25 0 - 0 Orbit_TeraBotZ_509"",""Duration: 00:00:01.0158830""]"
﻿RPSLS,Orbit_Yossi_winnerbot_4,GuyBot,Group D,2026-02-22 16:25:04,985,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_4 vs GuyBot ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats GuyBot (Lizard) - Score: 1-0"",""Round 3: Orbit_Yossi_winnerbot_4 (Rock) beats GuyBot (Scissors) - Score: 2-0"",""Round 4: GuyBot (Rock) beats Orbit_Yossi_winnerbot_4 (Lizard) - Score: 2-1"",""Round 5: Orbit_Yossi_winnerbot_4 (Paper) beats GuyBot (Spock) - Score: 3-1"",""Round 6: Draw - Scissors vs Scissors - Score: 3-1"",""Round 7: GuyBot (Spock) beats Orbit_Yossi_winnerbot_4 (Rock) - Score: 3-2"",""Round 8: GuyBot (Paper) beats Orbit_Yossi_winnerbot_4 (Rock) - Score: 3-3"",""Round 9: Orbit_Yossi_winnerbot_4 (Lizard) beats GuyBot (Paper) - Score: 4-3"",""Round 10: GuyBot (Lizard) beats Orbit_Yossi_winnerbot_4 (Paper) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_4 4 - 4 GuyBot"",""Duration: 00:00:00.9856390""]"
﻿RPSLS,Idan_Aharoni,Orbit_SharpHunterV2_524,Group C,2026-02-22 16:25:04,1032,2,"[""=== RPSLS Match: Idan_Aharoni vs Orbit_SharpHunterV2_524 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Orbit_SharpHunterV2_524 (Lizard) beats Idan_Aharoni (Paper) - Score: 0-1"",""Round 4: Draw - Spock vs Spock - Score: 0-1"",""Round 5: Orbit_SharpHunterV2_524 (Rock) beats Idan_Aharoni (Lizard) - Score: 0-2"",""Round 6: Draw - Paper vs Paper - Score: 0-2"",""Round 7: Idan_Aharoni (Rock) beats Orbit_SharpHunterV2_524 (Scissors) - Score: 1-2"",""Round 8: Orbit_SharpHunterV2_524 (Lizard) beats Idan_Aharoni (Paper) - Score: 1-3"",""Round 9: Draw - Spock vs Spock - Score: 1-3"",""Round 10: Draw - Rock vs Rock - Score: 1-3"","""",""=== Final Result ==="",""Winner: Orbit_SharpHunterV2_524"",""Final Score: Idan_Aharoni 1 - 3 Orbit_SharpHunterV2_524"",""Duration: 00:00:01.0324475""]"
﻿RPSLS,Orbit_SlickViking5000_6,adilipPatternHunter,Group H,2026-02-22 16:25:04,971,1,"[""=== RPSLS Match: Orbit_SlickViking5000_6 vs adilipPatternHunter ==="",""Max Rounds: 10"","""",""Round 1: adilipPatternHunter (Scissors) beats Orbit_SlickViking5000_6 (Paper) - Score: 0-1"",""Round 2: Orbit_SlickViking5000_6 (Scissors) beats adilipPatternHunter (Lizard) - Score: 1-1"",""Round 3: Orbit_SlickViking5000_6 (Lizard) beats adilipPatternHunter (Spock) - Score: 2-1"",""Round 4: adilipPatternHunter (Lizard) beats Orbit_SlickViking5000_6 (Spock) - Score: 2-2"",""Round 5: adilipPatternHunter (Spock) beats Orbit_SlickViking5000_6 (Rock) - Score: 2-3"",""Round 6: Orbit_SlickViking5000_6 (Paper) beats adilipPatternHunter (Spock) - Score: 3-3"",""Round 7: Orbit_SlickViking5000_6 (Scissors) beats adilipPatternHunter (Lizard) - Score: 4-3"",""Round 8: Draw - Lizard vs Lizard - Score: 4-3"",""Round 9: adilipPatternHunter (Paper) beats Orbit_SlickViking5000_6 (Spock) - Score: 4-4"",""Round 10: Orbit_SlickViking5000_6 (Rock) beats adilipPatternHunter (Lizard) - Score: 5-4"","""",""=== Final Result ==="",""Winner: Orbit_SlickViking5000_6"",""Final Score: Orbit_SlickViking5000_6 5 - 4 adilipPatternHunter"",""Duration: 00:00:00.9711379""]"
﻿RPSLS,Orbit_BlitzApe3000_24,Orbit_Yossi_winnerbot_11,Group I,2026-02-22 16:25:04,959,2,"[""=== RPSLS Match: Orbit_BlitzApe3000_24 vs Orbit_Yossi_winnerbot_11 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_11 (Scissors) beats Orbit_BlitzApe3000_24 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_BlitzApe3000_24 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_BlitzApe3000_24 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_11 (Lizard) beats Orbit_BlitzApe3000_24 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_11 (Paper) beats Orbit_BlitzApe3000_24 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_11 (Scissors) beats Orbit_BlitzApe3000_24 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_BlitzApe3000_24 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_11 (Rock) beats Orbit_BlitzApe3000_24 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_11 (Lizard) beats Orbit_BlitzApe3000_24 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_11 (Paper) beats Orbit_BlitzApe3000_24 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_11"",""Final Score: Orbit_BlitzApe3000_24 0 - 10 Orbit_Yossi_winnerbot_11"",""Duration: 00:00:00.9598543""]"
﻿RPSLS,Orbit_Yossi_winnerbot_1,Orbit_AgileBearOne_5,Group J,2026-02-22 16:25:04,959,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_1 vs Orbit_AgileBearOne_5 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_1 (Scissors) beats Orbit_AgileBearOne_5 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_1 (Rock) beats Orbit_AgileBearOne_5 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_1 (Rock) beats Orbit_AgileBearOne_5 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_1 (Lizard) beats Orbit_AgileBearOne_5 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_1 (Paper) beats Orbit_AgileBearOne_5 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_1 (Scissors) beats Orbit_AgileBearOne_5 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_1 (Rock) beats Orbit_AgileBearOne_5 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_1 (Rock) beats Orbit_AgileBearOne_5 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_1 (Lizard) beats Orbit_AgileBearOne_5 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_1 (Paper) beats Orbit_AgileBearOne_5 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_1"",""Final Score: Orbit_Yossi_winnerbot_1 10 - 0 Orbit_AgileBearOne_5"",""Duration: 00:00:00.9594920""]"
