GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,AlexDimaDavidBot,Orbit_Yossi_winnerbot_17,Group J,2026-02-22 23:57:29,2433,1,"[""=== RPSLS Match: AlexDimaDavidBot vs Orbit_Yossi_winnerbot_17 ==="",""Max Rounds: 10"","""",""Round 1: AlexDimaDavidBot (Spock) beats Orbit_Yossi_winnerbot_17 (Scissors) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: AlexDimaDavidBot (Spock) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 2-0"",""Round 4: Orbit_Yossi_winnerbot_17 (Lizard) beats AlexDimaDavidBot (Paper) - Score: 2-1"",""Round 5: Orbit_Yossi_winnerbot_17 (Paper) beats AlexDimaDavidBot (Spock) - Score: 2-2"",""Round 6: AlexDimaDavidBot (Spock) beats Orbit_Yossi_winnerbot_17 (Scissors) - Score: 3-2"",""Round 7: AlexDimaDavidBot (Spock) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 4-2"",""Round 8: AlexDimaDavidBot (Spock) beats Orbit_Yossi_winnerbot_17 (Rock) - Score: 5-2"",""Round 9: Orbit_Yossi_winnerbot_17 (Lizard) beats AlexDimaDavidBot (Paper) - Score: 5-3"",""Round 10: Orbit_Yossi_winnerbot_17 (Paper) beats AlexDimaDavidBot (Spock) - Score: 5-4"","""",""=== Final Result ==="",""Winner: AlexDimaDavidBot"",""Final Score: AlexDimaDavidBot 5 - 4 Orbit_Yossi_winnerbot_17"",""Duration: 00:00:02.4337006""]"
﻿RPSLS,Orbit,NirOrgadBOT,Group H,2026-02-22 23:57:29,1703,1,"[""=== RPSLS Match: Orbit vs NirOrgadBOT ==="",""Max Rounds: 10"","""",""Round 1: NirOrgadBOT (Scissors) beats Orbit (Paper) - Score: 0-1"",""Round 2: Draw - Rock vs Rock - Score: 0-1"",""Round 3: NirOrgadBOT ERROR - Exception: Exception has been thrown by the target of an invocation."",""Round 3: Orbit wins by default (opponent error) - Score: 1-1"",""Round 4: Orbit (Paper) beats NirOrgadBOT (Rock) - Score: 2-1"",""Round 5: NirOrgadBOT (Paper) beats Orbit (Spock) - Score: 2-2"",""Round 6: NirOrgadBOT (Paper) beats Orbit (Spock) - Score: 2-3"",""Round 7: Orbit (Spock) beats NirOrgadBOT (Scissors) - Score: 3-3"",""Round 8: Orbit (Spock) beats NirOrgadBOT (Scissors) - Score: 4-3"",""Round 9: Orbit (Spock) beats NirOrgadBOT (Rock) - Score: 5-3"",""Round 10: Orbit (Spock) beats NirOrgadBOT (Rock) - Score: 6-3"","""",""=== Final Result ==="",""Winner: Orbit"",""Final Score: Orbit 6 - 3 NirOrgadBOT"",""Duration: 00:00:01.7039494""]"
﻿RPSLS,Orbit_Yossi_winnerbot_27,Orbit_FierceStrikerMK5_4,Group C,2026-02-22 23:57:29,1335,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_27 vs Orbit_FierceStrikerMK5_4 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_FierceStrikerMK5_4 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_FierceStrikerMK5_4 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_FierceStrikerMK5_4 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_FierceStrikerMK5_4 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_FierceStrikerMK5_4 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_FierceStrikerMK5_4 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_FierceStrikerMK5_4 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_FierceStrikerMK5_4 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_FierceStrikerMK5_4 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_FierceStrikerMK5_4 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_27"",""Final Score: Orbit_Yossi_winnerbot_27 10 - 0 Orbit_FierceStrikerMK5_4"",""Duration: 00:00:01.3357878""]"
﻿RPSLS,Orbit_TeraBotZ_509,Orbit_SmartArmorAI_1,Group G,2026-02-22 23:57:29,1277,3,"[""=== RPSLS Match: Orbit_TeraBotZ_509 vs Orbit_SmartArmorAI_1 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_TeraBotZ_509 0 - 0 Orbit_SmartArmorAI_1"",""Duration: 00:00:01.2773395""]"
﻿RPSLS,Orbit_Yossi_winnerbot_25,Orbit_VoidStormPro_20,Group C,2026-02-22 23:57:29,1242,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_25 vs Orbit_VoidStormPro_20 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_25 (Scissors) beats Orbit_VoidStormPro_20 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_25 (Rock) beats Orbit_VoidStormPro_20 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_25 (Rock) beats Orbit_VoidStormPro_20 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_25 (Lizard) beats Orbit_VoidStormPro_20 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_25 (Paper) beats Orbit_VoidStormPro_20 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_25 (Scissors) beats Orbit_VoidStormPro_20 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_25 (Rock) beats Orbit_VoidStormPro_20 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_25 (Rock) beats Orbit_VoidStormPro_20 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_25 (Lizard) beats Orbit_VoidStormPro_20 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_25 (Paper) beats Orbit_VoidStormPro_20 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_25"",""Final Score: Orbit_Yossi_winnerbot_25 10 - 0 Orbit_VoidStormPro_20"",""Duration: 00:00:01.2427609""]"
﻿RPSLS,masterofdisasterbot,Orbit_IceShamanMK3_518,Group A,2026-02-22 23:57:29,2020,3,"[""=== RPSLS Match: masterofdisasterbot vs Orbit_IceShamanMK3_518 ==="",""Max Rounds: 10"","""",""Round 1: masterofdisasterbot (Lizard) beats Orbit_IceShamanMK3_518 (Paper) - Score: 1-0"",""Round 2: Orbit_IceShamanMK3_518 (Scissors) beats masterofdisasterbot (Lizard) - Score: 1-1"",""Round 3: masterofdisasterbot (Rock) beats Orbit_IceShamanMK3_518 (Lizard) - Score: 2-1"",""Round 4: Orbit_IceShamanMK3_518 (Spock) beats masterofdisasterbot (Scissors) - Score: 2-2"",""Round 5: Orbit_IceShamanMK3_518 (Rock) beats masterofdisasterbot (Lizard) - Score: 2-3"",""Round 6: Orbit_IceShamanMK3_518 (Paper) beats masterofdisasterbot (Rock) - Score: 2-4"",""Round 7: Draw - Scissors vs Scissors - Score: 2-4"",""Round 8: masterofdisasterbot (Rock) beats Orbit_IceShamanMK3_518 (Lizard) - Score: 3-4"",""Round 9: Draw - Spock vs Spock - Score: 3-4"",""Round 10: masterofdisasterbot (Paper) beats Orbit_IceShamanMK3_518 (Rock) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: masterofdisasterbot 4 - 4 Orbit_IceShamanMK3_518"",""Duration: 00:00:02.0204103""]"
﻿RPSLS,NaiveBot,Orbit_Yossi_winnerbot_15,Group B,2026-02-22 23:57:29,1253,1,"[""=== RPSLS Match: NaiveBot vs Orbit_Yossi_winnerbot_15 ==="",""Max Rounds: 10"","""",""Round 1: NaiveBot (Rock) beats Orbit_Yossi_winnerbot_15 (Scissors) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: Draw - Rock vs Rock - Score: 1-0"",""Round 4: NaiveBot (Rock) beats Orbit_Yossi_winnerbot_15 (Lizard) - Score: 2-0"",""Round 5: Orbit_Yossi_winnerbot_15 (Paper) beats NaiveBot (Rock) - Score: 2-1"",""Round 6: NaiveBot (Rock) beats Orbit_Yossi_winnerbot_15 (Scissors) - Score: 3-1"",""Round 7: Draw - Rock vs Rock - Score: 3-1"",""Round 8: Draw - Rock vs Rock - Score: 3-1"",""Round 9: NaiveBot (Rock) beats Orbit_Yossi_winnerbot_15 (Lizard) - Score: 4-1"",""Round 10: Orbit_Yossi_winnerbot_15 (Paper) beats NaiveBot (Rock) - Score: 4-2"","""",""=== Final Result ==="",""Winner: NaiveBot"",""Final Score: NaiveBot 4 - 2 Orbit_Yossi_winnerbot_15"",""Duration: 00:00:01.2537697""]"
﻿RPSLS,Orbit_SharpHunterV2_524,Orbit_Yossi_winnerbot_22,Group J,2026-02-22 23:57:29,1336,2,"[""=== RPSLS Match: Orbit_SharpHunterV2_524 vs Orbit_Yossi_winnerbot_22 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_22 (Scissors) beats Orbit_SharpHunterV2_524 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_SharpHunterV2_524 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_SharpHunterV2_524 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_22 (Lizard) beats Orbit_SharpHunterV2_524 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_22 (Paper) beats Orbit_SharpHunterV2_524 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_22 (Scissors) beats Orbit_SharpHunterV2_524 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_SharpHunterV2_524 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_SharpHunterV2_524 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_22 (Lizard) beats Orbit_SharpHunterV2_524 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_22 (Paper) beats Orbit_SharpHunterV2_524 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_22"",""Final Score: Orbit_SharpHunterV2_524 0 - 10 Orbit_Yossi_winnerbot_22"",""Duration: 00:00:01.3360373""]"
﻿RPSLS,Orbit_Yossi_winnerbot_10,Orbit_CosmicMeteorAlpha_528,Group J,2026-02-22 23:57:29,1226,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_10 vs Orbit_CosmicMeteorAlpha_528 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_10 (Scissors) beats Orbit_CosmicMeteorAlpha_528 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_10 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_10 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_10 (Lizard) beats Orbit_CosmicMeteorAlpha_528 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_10 (Paper) beats Orbit_CosmicMeteorAlpha_528 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_10 (Scissors) beats Orbit_CosmicMeteorAlpha_528 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_10 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_10 (Rock) beats Orbit_CosmicMeteorAlpha_528 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_10 (Lizard) beats Orbit_CosmicMeteorAlpha_528 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_10 (Paper) beats Orbit_CosmicMeteorAlpha_528 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_10"",""Final Score: Orbit_Yossi_winnerbot_10 10 - 0 Orbit_CosmicMeteorAlpha_528"",""Duration: 00:00:01.2269347""]"
﻿RPSLS,Orbit_MirrorBot,Orbit_Yossi_winnerbot_4,Group B,2026-02-22 23:57:29,1396,1,"[""=== RPSLS Match: Orbit_MirrorBot vs Orbit_Yossi_winnerbot_4 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_MirrorBot (Spock) beats Orbit_Yossi_winnerbot_4 (Scissors) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_MirrorBot (Scissors) - Score: 1-1"",""Round 3: Draw - Rock vs Rock - Score: 1-1"",""Round 4: Orbit_MirrorBot (Rock) beats Orbit_Yossi_winnerbot_4 (Lizard) - Score: 2-1"",""Round 5: Orbit_MirrorBot (Lizard) beats Orbit_Yossi_winnerbot_4 (Paper) - Score: 3-1"",""Round 6: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_MirrorBot (Paper) - Score: 3-2"",""Round 7: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_MirrorBot (Scissors) - Score: 3-3"",""Round 8: Draw - Rock vs Rock - Score: 3-3"",""Round 9: Orbit_MirrorBot (Rock) beats Orbit_Yossi_winnerbot_4 (Lizard) - Score: 4-3"",""Round 10: Orbit_MirrorBot (Lizard) beats Orbit_Yossi_winnerbot_4 (Paper) - Score: 5-3"","""",""=== Final Result ==="",""Winner: Orbit_MirrorBot"",""Final Score: Orbit_MirrorBot 5 - 3 Orbit_Yossi_winnerbot_4"",""Duration: 00:00:01.3968162""]"
