GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_Yossi_winnerbot_28,Orbit_Yossi_winnerbot_17,Group H,2026-02-22 16:27:19,1579,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_28 vs Orbit_Yossi_winnerbot_17 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_28 0 - 0 Orbit_Yossi_winnerbot_17"",""Duration: 00:00:01.5794374""]"
﻿RPSLS,Orbit_Yossi_winnerbot_2,Orbit_DiamondTempestNet_515,Group I,2026-02-22 16:27:19,1511,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_2 vs Orbit_DiamondTempestNet_515 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_2 (Scissors) beats Orbit_DiamondTempestNet_515 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_DiamondTempestNet_515 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_2 (Lizard) beats Orbit_DiamondTempestNet_515 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_2 (Paper) beats Orbit_DiamondTempestNet_515 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_2 (Scissors) beats Orbit_DiamondTempestNet_515 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_DiamondTempestNet_515 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_2 (Lizard) beats Orbit_DiamondTempestNet_515 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_2 (Paper) beats Orbit_DiamondTempestNet_515 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_2"",""Final Score: Orbit_Yossi_winnerbot_2 10 - 0 Orbit_DiamondTempestNet_515"",""Duration: 00:00:01.5110114""]"
﻿RPSLS,AlexDimaDavidBot,Orbit_VioletAxe6000_502,Group D,2026-02-22 16:27:19,1685,2,"[""=== RPSLS Match: AlexDimaDavidBot vs Orbit_VioletAxe6000_502 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_VioletAxe6000_502 (Paper) beats AlexDimaDavidBot (Spock) - Score: 0-1"",""Round 2: Draw - Scissors vs Scissors - Score: 0-1"",""Round 3: AlexDimaDavidBot (Rock) beats Orbit_VioletAxe6000_502 (Lizard) - Score: 1-1"",""Round 4: Orbit_VioletAxe6000_502 (Spock) beats AlexDimaDavidBot (Rock) - Score: 1-2"",""Round 5: Draw - Rock vs Rock - Score: 1-2"",""Round 6: Orbit_VioletAxe6000_502 (Paper) beats AlexDimaDavidBot (Rock) - Score: 1-3"",""Round 7: AlexDimaDavidBot (Spock) beats Orbit_VioletAxe6000_502 (Scissors) - Score: 2-3"",""Round 8: AlexDimaDavidBot (Rock) beats Orbit_VioletAxe6000_502 (Lizard) - Score: 3-3"",""Round 9: Orbit_VioletAxe6000_502 (Spock) beats AlexDimaDavidBot (Rock) - Score: 3-4"",""Round 10: Draw - Rock vs Rock - Score: 3-4"","""",""=== Final Result ==="",""Winner: Orbit_VioletAxe6000_502"",""Final Score: AlexDimaDavidBot 3 - 4 Orbit_VioletAxe6000_502"",""Duration: 00:00:01.6852474""]"
﻿RPSLS,Orbit_CyclerBot,Orbit_Yossi_dummybot_1,Group B,2026-02-22 16:27:19,1630,1,"[""=== RPSLS Match: Orbit_CyclerBot vs Orbit_Yossi_dummybot_1 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CyclerBot (Rock) beats Orbit_Yossi_dummybot_1 (Lizard) - Score: 1-0"",""Round 2: Orbit_CyclerBot (Paper) beats Orbit_Yossi_dummybot_1 (Rock) - Score: 2-0"",""Round 3: Draw - Scissors vs Scissors - Score: 2-0"",""Round 4: Orbit_CyclerBot (Lizard) beats Orbit_Yossi_dummybot_1 (Spock) - Score: 3-0"",""Round 5: Orbit_Yossi_dummybot_1 (Paper) beats Orbit_CyclerBot (Spock) - Score: 3-1"",""Round 6: Orbit_CyclerBot (Rock) beats Orbit_Yossi_dummybot_1 (Lizard) - Score: 4-1"",""Round 7: Orbit_CyclerBot (Paper) beats Orbit_Yossi_dummybot_1 (Rock) - Score: 5-1"",""Round 8: Draw - Scissors vs Scissors - Score: 5-1"",""Round 9: Orbit_CyclerBot (Lizard) beats Orbit_Yossi_dummybot_1 (Spock) - Score: 6-1"",""Round 10: Orbit_Yossi_dummybot_1 (Paper) beats Orbit_CyclerBot (Spock) - Score: 6-2"","""",""=== Final Result ==="",""Winner: Orbit_CyclerBot"",""Final Score: Orbit_CyclerBot 6 - 2 Orbit_Yossi_dummybot_1"",""Duration: 00:00:01.6307140""]"
﻿RPSLS,Orbit_TeraFighterOps_504,QuantumStrike,Group H,2026-02-22 16:27:19,1536,1,"[""=== RPSLS Match: Orbit_TeraFighterOps_504 vs QuantumStrike ==="",""Max Rounds: 10"","""",""Round 1: QuantumStrike (Scissors) beats Orbit_TeraFighterOps_504 (Paper) - Score: 0-1"",""Round 2: Orbit_TeraFighterOps_504 (Scissors) beats QuantumStrike (Lizard) - Score: 1-1"",""Round 3: QuantumStrike (Rock) beats Orbit_TeraFighterOps_504 (Lizard) - Score: 1-2"",""Round 4: Draw - Spock vs Spock - Score: 1-2"",""Round 5: QuantumStrike (Paper) beats Orbit_TeraFighterOps_504 (Rock) - Score: 1-3"",""Round 6: Draw - Paper vs Paper - Score: 1-3"",""Round 7: Orbit_TeraFighterOps_504 (Scissors) beats QuantumStrike (Lizard) - Score: 2-3"",""Round 8: Orbit_TeraFighterOps_504 (Lizard) beats QuantumStrike (Spock) - Score: 3-3"",""Round 9: Orbit_TeraFighterOps_504 (Spock) beats QuantumStrike (Scissors) - Score: 4-3"",""Round 10: Draw - Rock vs Rock - Score: 4-3"","""",""=== Final Result ==="",""Winner: Orbit_TeraFighterOps_504"",""Final Score: Orbit_TeraFighterOps_504 4 - 3 QuantumStrike"",""Duration: 00:00:01.5365177""]"
﻿RPSLS,Orbit_Yossi_winnerbot_22,Orbit_TeraRobotV1_529,Group E,2026-02-22 16:27:19,1579,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_22 vs Orbit_TeraRobotV1_529 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_22 (Scissors) beats Orbit_TeraRobotV1_529 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_22 (Lizard) beats Orbit_TeraRobotV1_529 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_22 (Paper) beats Orbit_TeraRobotV1_529 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_22 (Scissors) beats Orbit_TeraRobotV1_529 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_22 (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_22 (Lizard) beats Orbit_TeraRobotV1_529 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_22 (Paper) beats Orbit_TeraRobotV1_529 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_22"",""Final Score: Orbit_Yossi_winnerbot_22 10 - 0 Orbit_TeraRobotV1_529"",""Duration: 00:00:01.5792827""]"
﻿RPSLS,Orbit_BlitzApe3000_24,Orbit_ChaosBot,Group J,2026-02-22 16:27:19,1605,1,"[""=== RPSLS Match: Orbit_BlitzApe3000_24 vs Orbit_ChaosBot ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Orbit_BlitzApe3000_24 (Scissors) beats Orbit_ChaosBot (Paper) - Score: 1-0"",""Round 3: Draw - Lizard vs Lizard - Score: 1-0"",""Round 4: Draw - Spock vs Spock - Score: 1-0"",""Round 5: Orbit_BlitzApe3000_24 (Rock) beats Orbit_ChaosBot (Scissors) - Score: 2-0"",""Round 6: Orbit_BlitzApe3000_24 (Paper) beats Orbit_ChaosBot (Spock) - Score: 3-0"",""Round 7: Orbit_BlitzApe3000_24 (Scissors) beats Orbit_ChaosBot (Lizard) - Score: 4-0"",""Round 8: Orbit_BlitzApe3000_24 (Lizard) beats Orbit_ChaosBot (Spock) - Score: 5-0"",""Round 9: Draw - Spock vs Spock - Score: 5-0"",""Round 10: Orbit_ChaosBot (Spock) beats Orbit_BlitzApe3000_24 (Rock) - Score: 5-1"","""",""=== Final Result ==="",""Winner: Orbit_BlitzApe3000_24"",""Final Score: Orbit_BlitzApe3000_24 5 - 1 Orbit_ChaosBot"",""Duration: 00:00:01.6052536""]"
﻿RPSLS,TheKickAssBot,Orbit_LegendarySpiritMaster_0,Group D,2026-02-22 16:27:19,1557,1,"[""=== RPSLS Match: TheKickAssBot vs Orbit_LegendarySpiritMaster_0 ==="",""Max Rounds: 10"","""",""Round 1: TheKickAssBot (Scissors) beats Orbit_LegendarySpiritMaster_0 (Paper) - Score: 1-0"",""Round 2: TheKickAssBot (Spock) beats Orbit_LegendarySpiritMaster_0 (Scissors) - Score: 2-0"",""Round 3: TheKickAssBot (Scissors) beats Orbit_LegendarySpiritMaster_0 (Lizard) - Score: 3-0"",""Round 4: Draw - Spock vs Spock - Score: 3-0"",""Round 5: Draw - Rock vs Rock - Score: 3-0"",""Round 6: TheKickAssBot (Lizard) beats Orbit_LegendarySpiritMaster_0 (Paper) - Score: 4-0"",""Round 7: Orbit_LegendarySpiritMaster_0 (Scissors) beats TheKickAssBot (Paper) - Score: 4-1"",""Round 8: TheKickAssBot (Scissors) beats Orbit_LegendarySpiritMaster_0 (Lizard) - Score: 5-1"",""Round 9: TheKickAssBot (Lizard) beats Orbit_LegendarySpiritMaster_0 (Spock) - Score: 6-1"",""Round 10: Draw - Rock vs Rock - Score: 6-1"","""",""=== Final Result ==="",""Winner: TheKickAssBot"",""Final Score: TheKickAssBot 6 - 1 Orbit_LegendarySpiritMaster_0"",""Duration: 00:00:01.5573698""]"
﻿RPSLS,Orbit_DiamondTempestNet_515,mylovelybot_yossi_or,Group I,2026-02-22 16:27:19,2040,1,"[""=== RPSLS Match: Orbit_DiamondTempestNet_515 vs mylovelybot_yossi_or ==="",""Max Rounds: 10"","""",""Round 1: mylovelybot_yossi_or (Lizard) beats Orbit_DiamondTempestNet_515 (Paper) - Score: 0-1"",""Round 2: Orbit_DiamondTempestNet_515 (Scissors) beats mylovelybot_yossi_or (Lizard) - Score: 1-1"",""Round 3: mylovelybot_yossi_or (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 1-2"",""Round 4: Orbit_DiamondTempestNet_515 (Spock) beats mylovelybot_yossi_or (Scissors) - Score: 2-2"",""Round 5: Orbit_DiamondTempestNet_515 (Rock) beats mylovelybot_yossi_or (Lizard) - Score: 3-2"",""Round 6: Orbit_DiamondTempestNet_515 (Paper) beats mylovelybot_yossi_or (Rock) - Score: 4-2"",""Round 7: Draw - Scissors vs Scissors - Score: 4-2"",""Round 8: mylovelybot_yossi_or (Rock) beats Orbit_DiamondTempestNet_515 (Lizard) - Score: 4-3"",""Round 9: Draw - Spock vs Spock - Score: 4-3"",""Round 10: Draw - Rock vs Rock - Score: 4-3"","""",""=== Final Result ==="",""Winner: Orbit_DiamondTempestNet_515"",""Final Score: Orbit_DiamondTempestNet_515 4 - 3 mylovelybot_yossi_or"",""Duration: 00:00:02.0404387""]"
﻿RPSLS,Orbit_PrimeBearOne_516,Orbit_Yossi_winnerbot_27,Group G,2026-02-22 16:27:19,1579,2,"[""=== RPSLS Match: Orbit_PrimeBearOne_516 vs Orbit_Yossi_winnerbot_27 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_PrimeBearOne_516 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_PrimeBearOne_516 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_PrimeBearOne_516 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_PrimeBearOne_516 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_PrimeBearOne_516 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_PrimeBearOne_516 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_PrimeBearOne_516 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_PrimeBearOne_516 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_PrimeBearOne_516 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_PrimeBearOne_516 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_27"",""Final Score: Orbit_PrimeBearOne_516 0 - 10 Orbit_Yossi_winnerbot_27"",""Duration: 00:00:01.5793463""]"
