GameType,PlayerA,PlayerB,Group,StartTimeUtc,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_Yossi_winnerbot_16,Orbit_Yossi_winnerbot_4,Group A,2026-02-21T19:50:02.0592737Z,549,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_16 vs Orbit_Yossi_winnerbot_4 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_16 0 - 0 Orbit_Yossi_winnerbot_4"",""Duration: 00:00:00.5495438""]"
﻿RPSLS,Orbit_Yossi_winnerbot_16,StrategicEdge,Group A,2026-02-21T19:50:02.0592078Z,718,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_16 vs StrategicEdge ==="",""Max Rounds: 10"","""",""Round 1: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 1: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 1-0"",""Round 2: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 2: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 2-0"",""Round 3: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 3: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 3-0"",""Round 4: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 4: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 4-0"",""Round 5: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 5: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 5-0"",""Round 6: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 6: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 6-0"",""Round 7: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 7: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 7-0"",""Round 8: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 8: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 8-0"",""Round 9: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 9: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 9-0"",""Round 10: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 10: Orbit_Yossi_winnerbot_16 wins by default (opponent error) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_16"",""Final Score: Orbit_Yossi_winnerbot_16 10 - 0 StrategicEdge"",""Duration: 00:00:00.7185250""]"
﻿RPSLS,Orbit_Yossi_winnerbot_16,PatternHunter,Group A,2026-02-21T19:50:02.0592320Z,683,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_16 vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_16 (Scissors) beats PatternHunter (Lizard) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_16 (Rock) beats PatternHunter (Scissors) - Score: 2-0"",""Round 3: Draw - Rock vs Rock - Score: 2-0"",""Round 4: Orbit_Yossi_winnerbot_16 (Lizard) beats PatternHunter (Spock) - Score: 3-0"",""Round 5: Orbit_Yossi_winnerbot_16 (Paper) beats PatternHunter (Spock) - Score: 4-0"",""Round 6: Orbit_Yossi_winnerbot_16 (Scissors) beats PatternHunter (Paper) - Score: 5-0"",""Round 7: Orbit_Yossi_winnerbot_16 (Rock) beats PatternHunter (Lizard) - Score: 6-0"",""Round 8: PatternHunter (Spock) beats Orbit_Yossi_winnerbot_16 (Rock) - Score: 6-1"",""Round 9: Orbit_Yossi_winnerbot_16 (Lizard) beats PatternHunter (Paper) - Score: 7-1"",""Round 10: PatternHunter (Scissors) beats Orbit_Yossi_winnerbot_16 (Paper) - Score: 7-2"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_16"",""Final Score: Orbit_Yossi_winnerbot_16 7 - 2 PatternHunter"",""Duration: 00:00:00.6839065""]"
﻿RPSLS,Orbit_Yossi_winnerbot_16,Orbit_GammaTempestAI_3,Group A,2026-02-21T19:50:02.0590938Z,549,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_16 vs Orbit_GammaTempestAI_3 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_16 (Scissors) beats Orbit_GammaTempestAI_3 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_GammaTempestAI_3 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_GammaTempestAI_3 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_16 (Lizard) beats Orbit_GammaTempestAI_3 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_16 (Paper) beats Orbit_GammaTempestAI_3 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_16 (Scissors) beats Orbit_GammaTempestAI_3 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_GammaTempestAI_3 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_GammaTempestAI_3 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_16 (Lizard) beats Orbit_GammaTempestAI_3 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_16 (Paper) beats Orbit_GammaTempestAI_3 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_16"",""Final Score: Orbit_Yossi_winnerbot_16 10 - 0 Orbit_GammaTempestAI_3"",""Duration: 00:00:00.5496881""]"
﻿RPSLS,Orbit_Yossi_winnerbot_16,Orbit_ForestHelmV3_520,Group A,2026-02-21T19:50:02.0593444Z,549,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_16 vs Orbit_ForestHelmV3_520 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_16 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_16 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_16 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_16 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_16 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_16 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_16 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_16"",""Final Score: Orbit_Yossi_winnerbot_16 10 - 0 Orbit_ForestHelmV3_520"",""Duration: 00:00:00.5494566""]"
﻿RPSLS,Orbit_Yossi_winnerbot_4,StrategicEdge,Group A,2026-02-21T19:50:02.0593297Z,729,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_4 vs StrategicEdge ==="",""Max Rounds: 10"","""",""Round 1: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 1: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 1-0"",""Round 2: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 2: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 2-0"",""Round 3: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 3: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 3-0"",""Round 4: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 4: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 4-0"",""Round 5: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 5: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 5-0"",""Round 6: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 6: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 6-0"",""Round 7: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 7: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 7-0"",""Round 8: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 8: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 8-0"",""Round 9: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 9: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 9-0"",""Round 10: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 10: Orbit_Yossi_winnerbot_4 wins by default (opponent error) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_4"",""Final Score: Orbit_Yossi_winnerbot_4 10 - 0 StrategicEdge"",""Duration: 00:00:00.7291500""]"
﻿RPSLS,Orbit_Yossi_winnerbot_4,PatternHunter,Group A,2026-02-21T19:50:02.0593175Z,659,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_4 vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_4 (Scissors) beats PatternHunter (Lizard) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats PatternHunter (Scissors) - Score: 2-0"",""Round 3: PatternHunter (Spock) beats Orbit_Yossi_winnerbot_4 (Rock) - Score: 2-1"",""Round 4: Orbit_Yossi_winnerbot_4 (Lizard) beats PatternHunter (Paper) - Score: 3-1"",""Round 5: Orbit_Yossi_winnerbot_4 (Paper) beats PatternHunter (Rock) - Score: 4-1"",""Round 6: Orbit_Yossi_winnerbot_4 (Scissors) beats PatternHunter (Lizard) - Score: 5-1"",""Round 7: Draw - Rock vs Rock - Score: 5-1"",""Round 8: Draw - Rock vs Rock - Score: 5-1"",""Round 9: Orbit_Yossi_winnerbot_4 (Lizard) beats PatternHunter (Spock) - Score: 6-1"",""Round 10: PatternHunter (Scissors) beats Orbit_Yossi_winnerbot_4 (Paper) - Score: 6-2"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_4"",""Final Score: Orbit_Yossi_winnerbot_4 6 - 2 PatternHunter"",""Duration: 00:00:00.6596046""]"
﻿RPSLS,Orbit_Yossi_winnerbot_4,Orbit_GammaTempestAI_3,Group A,2026-02-21T19:50:02.0591955Z,575,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_4 vs Orbit_GammaTempestAI_3 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_GammaTempestAI_3 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_GammaTempestAI_3 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_GammaTempestAI_3 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_GammaTempestAI_3 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_GammaTempestAI_3 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_GammaTempestAI_3 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_GammaTempestAI_3 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_GammaTempestAI_3 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_GammaTempestAI_3 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_GammaTempestAI_3 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_4"",""Final Score: Orbit_Yossi_winnerbot_4 10 - 0 Orbit_GammaTempestAI_3"",""Duration: 00:00:00.5758068""]"
﻿RPSLS,Orbit_Yossi_winnerbot_4,Orbit_ForestHelmV3_520,Group A,2026-02-21T19:50:02.0592208Z,575,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_4 vs Orbit_ForestHelmV3_520 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_4 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_4 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_4 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_4 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_4"",""Final Score: Orbit_Yossi_winnerbot_4 10 - 0 Orbit_ForestHelmV3_520"",""Duration: 00:00:00.5757598""]"
﻿RPSLS,StrategicEdge,PatternHunter,Group A,2026-02-21T19:50:02.0590790Z,860,2,"[""=== RPSLS Match: StrategicEdge vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 1: PatternHunter wins by default (opponent error) - Score: 0-1"",""Round 2: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 2: PatternHunter wins by default (opponent error) - Score: 0-2"",""Round 3: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 3: PatternHunter wins by default (opponent error) - Score: 0-3"",""Round 4: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 4: PatternHunter wins by default (opponent error) - Score: 0-4"",""Round 5: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 5: PatternHunter wins by default (opponent error) - Score: 0-5"",""Round 6: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 6: PatternHunter wins by default (opponent error) - Score: 0-6"",""Round 7: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 7: PatternHunter wins by default (opponent error) - Score: 0-7"",""Round 8: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 8: PatternHunter wins by default (opponent error) - Score: 0-8"",""Round 9: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 9: PatternHunter wins by default (opponent error) - Score: 0-9"",""Round 10: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 10: PatternHunter wins by default (opponent error) - Score: 0-10"","""",""=== Final Result ==="",""Winner: PatternHunter"",""Final Score: StrategicEdge 0 - 10 PatternHunter"",""Duration: 00:00:00.8604493""]"
