GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit,Orbit_DesertFighterSys_27,Group A,2026-02-22 11:10:55,1384,2,"[""=== RPSLS Match: Orbit vs Orbit_DesertFighterSys_27 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_DesertFighterSys_27 (Paper) beats Orbit (Spock) - Score: 0-1"",""Round 2: Orbit (Rock) beats Orbit_DesertFighterSys_27 (Scissors) - Score: 1-1"",""Round 3: Orbit (Rock) beats Orbit_DesertFighterSys_27 (Lizard) - Score: 2-1"",""Round 4: Orbit_DesertFighterSys_27 (Spock) beats Orbit (Scissors) - Score: 2-2"",""Round 5: Orbit_DesertFighterSys_27 (Rock) beats Orbit (Scissors) - Score: 2-3"",""Round 6: Orbit_DesertFighterSys_27 (Paper) beats Orbit (Spock) - Score: 2-4"",""Round 7: Orbit_DesertFighterSys_27 (Scissors) beats Orbit (Lizard) - Score: 2-5"",""Round 8: Orbit (Scissors) beats Orbit_DesertFighterSys_27 (Lizard) - Score: 3-5"",""Round 9: Orbit (Lizard) beats Orbit_DesertFighterSys_27 (Spock) - Score: 4-5"",""Round 10: Orbit_DesertFighterSys_27 (Rock) beats Orbit (Lizard) - Score: 4-6"","""",""=== Final Result ==="",""Winner: Orbit_DesertFighterSys_27"",""Final Score: Orbit 4 - 6 Orbit_DesertFighterSys_27"",""Duration: 00:00:01.3843903""]"
﻿RPSLS,Orbit,Orbit_CosmicMeteorAlpha_528,Group A,2026-02-22 11:10:55,1514,2,"[""=== RPSLS Match: Orbit vs Orbit_CosmicMeteorAlpha_528 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CosmicMeteorAlpha_528 (Paper) beats Orbit (Rock) - Score: 0-1"",""Round 2: Orbit_CosmicMeteorAlpha_528 (Scissors) beats Orbit (Lizard) - Score: 0-2"",""Round 3: Orbit (Scissors) beats Orbit_CosmicMeteorAlpha_528 (Lizard) - Score: 1-2"",""Round 4: Orbit (Lizard) beats Orbit_CosmicMeteorAlpha_528 (Spock) - Score: 2-2"",""Round 5: Orbit_CosmicMeteorAlpha_528 (Rock) beats Orbit (Lizard) - Score: 2-3"",""Round 6: Orbit_CosmicMeteorAlpha_528 (Paper) beats Orbit (Spock) - Score: 2-4"",""Round 7: Orbit_CosmicMeteorAlpha_528 (Scissors) beats Orbit (Paper) - Score: 2-5"",""Round 8: Orbit (Scissors) beats Orbit_CosmicMeteorAlpha_528 (Lizard) - Score: 3-5"",""Round 9: Orbit_CosmicMeteorAlpha_528 (Spock) beats Orbit (Scissors) - Score: 3-6"",""Round 10: Orbit_CosmicMeteorAlpha_528 (Rock) beats Orbit (Lizard) - Score: 3-7"","""",""=== Final Result ==="",""Winner: Orbit_CosmicMeteorAlpha_528"",""Final Score: Orbit 3 - 7 Orbit_CosmicMeteorAlpha_528"",""Duration: 00:00:01.5141008""]"
﻿RPSLS,Orbit,Orbit_MacroBladeOmega_8,Group A,2026-02-22 11:10:55,1413,2,"[""=== RPSLS Match: Orbit vs Orbit_MacroBladeOmega_8 ==="",""Max Rounds: 10"","""",""Round 1: Orbit (Scissors) beats Orbit_MacroBladeOmega_8 (Paper) - Score: 1-0"",""Round 2: Orbit_MacroBladeOmega_8 (Scissors) beats Orbit (Paper) - Score: 1-1"",""Round 3: Orbit_MacroBladeOmega_8 (Lizard) beats Orbit (Spock) - Score: 1-2"",""Round 4: Orbit_MacroBladeOmega_8 (Spock) beats Orbit (Scissors) - Score: 1-3"",""Round 5: Orbit_MacroBladeOmega_8 (Rock) beats Orbit (Lizard) - Score: 1-4"",""Round 6: Orbit_MacroBladeOmega_8 (Paper) beats Orbit (Spock) - Score: 1-5"",""Round 7: Draw - Scissors vs Scissors - Score: 1-5"",""Round 8: Draw - Lizard vs Lizard - Score: 1-5"",""Round 9: Orbit (Lizard) beats Orbit_MacroBladeOmega_8 (Spock) - Score: 2-5"",""Round 10: Orbit (Spock) beats Orbit_MacroBladeOmega_8 (Rock) - Score: 3-5"","""",""=== Final Result ==="",""Winner: Orbit_MacroBladeOmega_8"",""Final Score: Orbit 3 - 5 Orbit_MacroBladeOmega_8"",""Duration: 00:00:01.4130359""]"
﻿RPSLS,Orbit,Orbit_Yossi_winnerbot_29,Group A,2026-02-22 11:10:55,1514,1,"[""=== RPSLS Match: Orbit vs Orbit_Yossi_winnerbot_29 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_29 (Scissors) beats Orbit (Paper) - Score: 0-1"",""Round 2: Orbit (Spock) beats Orbit_Yossi_winnerbot_29 (Rock) - Score: 1-1"",""Round 3: Draw - Rock vs Rock - Score: 1-1"",""Round 4: Orbit_Yossi_winnerbot_29 (Lizard) beats Orbit (Paper) - Score: 1-2"",""Round 5: Orbit (Scissors) beats Orbit_Yossi_winnerbot_29 (Paper) - Score: 2-2"",""Round 6: Orbit (Spock) beats Orbit_Yossi_winnerbot_29 (Scissors) - Score: 3-2"",""Round 7: Orbit (Paper) beats Orbit_Yossi_winnerbot_29 (Rock) - Score: 4-2"",""Round 8: Orbit (Spock) beats Orbit_Yossi_winnerbot_29 (Rock) - Score: 5-2"",""Round 9: Orbit_Yossi_winnerbot_29 (Lizard) beats Orbit (Spock) - Score: 5-3"",""Round 10: Draw - Paper vs Paper - Score: 5-3"","""",""=== Final Result ==="",""Winner: Orbit"",""Final Score: Orbit 5 - 3 Orbit_Yossi_winnerbot_29"",""Duration: 00:00:01.5140881""]"
﻿RPSLS,Orbit,ShadowBot,Group A,2026-02-22 11:10:55,1531,1,"[""=== RPSLS Match: Orbit vs ShadowBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit (Paper) beats ShadowBot (Spock) - Score: 1-0"",""Round 2: Draw - Spock vs Spock - Score: 1-0"",""Round 3: Orbit (Scissors) beats ShadowBot (Paper) - Score: 2-0"",""Round 4: Orbit (Lizard) beats ShadowBot (Paper) - Score: 3-0"",""Round 5: Orbit (Scissors) beats ShadowBot (Paper) - Score: 4-0"",""Round 6: Draw - Scissors vs Scissors - Score: 4-0"",""Round 7: Draw - Scissors vs Scissors - Score: 4-0"",""Round 8: Draw - Scissors vs Scissors - Score: 4-0"",""Round 9: ShadowBot (Scissors) beats Orbit (Lizard) - Score: 4-1"",""Round 10: Draw - Rock vs Rock - Score: 4-1"","""",""=== Final Result ==="",""Winner: Orbit"",""Final Score: Orbit 4 - 1 ShadowBot"",""Duration: 00:00:01.5315351""]"
﻿RPSLS,Orbit,Orbit_MirrorBot,Group A,2026-02-22 11:10:55,1514,1,"[""=== RPSLS Match: Orbit vs Orbit_MirrorBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_MirrorBot (Spock) beats Orbit (Scissors) - Score: 0-1"",""Round 2: Orbit (Paper) beats Orbit_MirrorBot (Spock) - Score: 1-1"",""Round 3: Orbit_MirrorBot (Spock) beats Orbit (Rock) - Score: 1-2"",""Round 4: Orbit (Lizard) beats Orbit_MirrorBot (Spock) - Score: 2-2"",""Round 5: Orbit (Lizard) beats Orbit_MirrorBot (Spock) - Score: 3-2"",""Round 6: Orbit (Lizard) beats Orbit_MirrorBot (Spock) - Score: 4-2"",""Round 7: Orbit (Paper) beats Orbit_MirrorBot (Spock) - Score: 5-2"",""Round 8: Draw - Spock vs Spock - Score: 5-2"",""Round 9: Orbit (Lizard) beats Orbit_MirrorBot (Spock) - Score: 6-2"",""Round 10: Orbit (Paper) beats Orbit_MirrorBot (Spock) - Score: 7-2"","""",""=== Final Result ==="",""Winner: Orbit"",""Final Score: Orbit 7 - 2 Orbit_MirrorBot"",""Duration: 00:00:01.5140826""]"
﻿RPSLS,Orbit,Orbit_SwiftTrackerV3_513,Group A,2026-02-22 11:10:55,1312,2,"[""=== RPSLS Match: Orbit vs Orbit_SwiftTrackerV3_513 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_SwiftTrackerV3_513 (Paper) beats Orbit (Spock) - Score: 0-1"",""Round 2: Orbit_SwiftTrackerV3_513 (Scissors) beats Orbit (Paper) - Score: 0-2"",""Round 3: Orbit (Rock) beats Orbit_SwiftTrackerV3_513 (Lizard) - Score: 1-2"",""Round 4: Orbit_SwiftTrackerV3_513 (Spock) beats Orbit (Scissors) - Score: 1-3"",""Round 5: Orbit_SwiftTrackerV3_513 (Rock) beats Orbit (Scissors) - Score: 1-4"",""Round 6: Draw - Paper vs Paper - Score: 1-4"",""Round 7: Orbit_SwiftTrackerV3_513 (Scissors) beats Orbit (Lizard) - Score: 1-5"",""Round 8: Orbit (Scissors) beats Orbit_SwiftTrackerV3_513 (Lizard) - Score: 2-5"",""Round 9: Orbit (Lizard) beats Orbit_SwiftTrackerV3_513 (Spock) - Score: 3-5"",""Round 10: Orbit_SwiftTrackerV3_513 (Rock) beats Orbit (Lizard) - Score: 3-6"","""",""=== Final Result ==="",""Winner: Orbit_SwiftTrackerV3_513"",""Final Score: Orbit 3 - 6 Orbit_SwiftTrackerV3_513"",""Duration: 00:00:01.3122928""]"
﻿RPSLS,Orbit,Orbit_RedBuffalo2000_22,Group A,2026-02-22 11:10:55,1732,2,"[""=== RPSLS Match: Orbit vs Orbit_RedBuffalo2000_22 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Orbit (Spock) beats Orbit_RedBuffalo2000_22 (Scissors) - Score: 1-0"",""Round 3: Orbit_RedBuffalo2000_22 (Lizard) beats Orbit (Paper) - Score: 1-1"",""Round 4: Orbit_RedBuffalo2000_22 (Spock) beats Orbit (Scissors) - Score: 1-2"",""Round 5: Orbit_RedBuffalo2000_22 (Rock) beats Orbit (Lizard) - Score: 1-3"",""Round 6: Draw - Paper vs Paper - Score: 1-3"",""Round 7: Orbit_RedBuffalo2000_22 (Scissors) beats Orbit (Paper) - Score: 1-4"",""Round 8: Orbit_RedBuffalo2000_22 (Lizard) beats Orbit (Spock) - Score: 1-5"",""Round 9: Orbit_RedBuffalo2000_22 (Spock) beats Orbit (Scissors) - Score: 1-6"",""Round 10: Orbit_RedBuffalo2000_22 (Rock) beats Orbit (Lizard) - Score: 1-7"","""",""=== Final Result ==="",""Winner: Orbit_RedBuffalo2000_22"",""Final Score: Orbit 1 - 7 Orbit_RedBuffalo2000_22"",""Duration: 00:00:01.7328300""]"
﻿RPSLS,Orbit,Orbit_SmartArmorAI_1,Group A,2026-02-22 11:10:55,1695,3,"[""=== RPSLS Match: Orbit vs Orbit_SmartArmorAI_1 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Orbit (Spock) beats Orbit_SmartArmorAI_1 (Scissors) - Score: 1-0"",""Round 3: Draw - Lizard vs Lizard - Score: 1-0"",""Round 4: Orbit (Lizard) beats Orbit_SmartArmorAI_1 (Spock) - Score: 2-0"",""Round 5: Orbit_SmartArmorAI_1 (Rock) beats Orbit (Scissors) - Score: 2-1"",""Round 6: Draw - Paper vs Paper - Score: 2-1"",""Round 7: Orbit_SmartArmorAI_1 (Scissors) beats Orbit (Lizard) - Score: 2-2"",""Round 8: Draw - Lizard vs Lizard - Score: 2-2"",""Round 9: Orbit (Lizard) beats Orbit_SmartArmorAI_1 (Spock) - Score: 3-2"",""Round 10: Orbit_SmartArmorAI_1 (Rock) beats Orbit (Scissors) - Score: 3-3"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit 3 - 3 Orbit_SmartArmorAI_1"",""Duration: 00:00:01.6950689""]"
﻿RPSLS,Orbit,Orbit_Yossi_winnerbot_1,Group A,2026-02-22 11:10:55,1653,3,"[""=== RPSLS Match: Orbit vs Orbit_Yossi_winnerbot_1 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Orbit (Paper) beats Orbit_Yossi_winnerbot_1 (Rock) - Score: 1-0"",""Round 3: Orbit_Yossi_winnerbot_1 (Rock) beats Orbit (Lizard) - Score: 1-1"",""Round 4: Orbit_Yossi_winnerbot_1 (Lizard) beats Orbit (Paper) - Score: 1-2"",""Round 5: Orbit_Yossi_winnerbot_1 (Paper) beats Orbit (Spock) - Score: 1-3"",""Round 6: Orbit (Spock) beats Orbit_Yossi_winnerbot_1 (Scissors) - Score: 2-3"",""Round 7: Orbit (Spock) beats Orbit_Yossi_winnerbot_1 (Rock) - Score: 3-3"",""Round 8: Orbit (Spock) beats Orbit_Yossi_winnerbot_1 (Rock) - Score: 4-3"",""Round 9: Orbit_Yossi_winnerbot_1 (Lizard) beats Orbit (Spock) - Score: 4-4"",""Round 10: Draw - Paper vs Paper - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit 4 - 4 Orbit_Yossi_winnerbot_1"",""Duration: 00:00:01.6532931""]"
