GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_ForestHelmV3_520,Orbit_Yossi_winnerbot_0,Group H,2026-02-22 23:40:21,937,2,"[""=== RPSLS Match: Orbit_ForestHelmV3_520 vs Orbit_Yossi_winnerbot_0 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_0 (Scissors) beats Orbit_ForestHelmV3_520 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_0 (Rock) beats Orbit_ForestHelmV3_520 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_0 (Lizard) beats Orbit_ForestHelmV3_520 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_0 (Paper) beats Orbit_ForestHelmV3_520 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_0"",""Final Score: Orbit_ForestHelmV3_520 0 - 10 Orbit_Yossi_winnerbot_0"",""Duration: 00:00:00.9379605""]"
﻿RPSLS,Orbit_Yossi_winnerbot_2,Orbit_TeraPirateZ_2,Group I,2026-02-22 23:40:21,980,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_2 vs Orbit_TeraPirateZ_2 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_2 (Scissors) beats Orbit_TeraPirateZ_2 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_TeraPirateZ_2 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_TeraPirateZ_2 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_2 (Lizard) beats Orbit_TeraPirateZ_2 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_2 (Paper) beats Orbit_TeraPirateZ_2 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_2 (Scissors) beats Orbit_TeraPirateZ_2 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_TeraPirateZ_2 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_2 (Rock) beats Orbit_TeraPirateZ_2 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_2 (Lizard) beats Orbit_TeraPirateZ_2 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_2 (Paper) beats Orbit_TeraPirateZ_2 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_2"",""Final Score: Orbit_Yossi_winnerbot_2 10 - 0 Orbit_TeraPirateZ_2"",""Duration: 00:00:00.9807223""]"
﻿RPSLS,Orbit_PurpleGladiator7000_10,Orbit_DefenderBot,Group E,2026-02-22 23:40:21,906,3,"[""=== RPSLS Match: Orbit_PurpleGladiator7000_10 vs Orbit_DefenderBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_PurpleGladiator7000_10 (Paper) beats Orbit_DefenderBot (Rock) - Score: 1-0"",""Round 2: Orbit_DefenderBot (Rock) beats Orbit_PurpleGladiator7000_10 (Scissors) - Score: 1-1"",""Round 3: Orbit_DefenderBot (Rock) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 1-2"",""Round 4: Orbit_DefenderBot (Lizard) beats Orbit_PurpleGladiator7000_10 (Spock) - Score: 1-3"",""Round 5: Orbit_DefenderBot (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 1-4"",""Round 6: Orbit_PurpleGladiator7000_10 (Paper) beats Orbit_DefenderBot (Rock) - Score: 2-4"",""Round 7: Orbit_PurpleGladiator7000_10 (Scissors) beats Orbit_DefenderBot (Lizard) - Score: 3-4"",""Round 8: Orbit_PurpleGladiator7000_10 (Lizard) beats Orbit_DefenderBot (Paper) - Score: 4-4"",""Round 9: Orbit_PurpleGladiator7000_10 (Spock) beats Orbit_DefenderBot (Rock) - Score: 5-4"",""Round 10: Orbit_DefenderBot (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 5-5"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_PurpleGladiator7000_10 5 - 5 Orbit_DefenderBot"",""Duration: 00:00:00.9062202""]"
﻿RPSLS,Orbit_CrystalColossusMK2_29,Orbit_RiverEntity8000_506,Group D,2026-02-22 23:40:21,937,3,"[""=== RPSLS Match: Orbit_CrystalColossusMK2_29 vs Orbit_RiverEntity8000_506 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CrystalColossusMK2_29 0 - 0 Orbit_RiverEntity8000_506"",""Duration: 00:00:00.9377954""]"
﻿RPSLS,Orbit_QuickAvalancheMax_7,Orbit_Yossi_winnerbot,Group H,2026-02-22 23:40:21,980,2,"[""=== RPSLS Match: Orbit_QuickAvalancheMax_7 vs Orbit_Yossi_winnerbot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_QuickAvalancheMax_7 (Paper) beats Orbit_Yossi_winnerbot (Rock) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot (Rock) beats Orbit_QuickAvalancheMax_7 (Scissors) - Score: 1-1"",""Round 3: Draw - Lizard vs Lizard - Score: 1-1"",""Round 4: Orbit_Yossi_winnerbot (Paper) beats Orbit_QuickAvalancheMax_7 (Spock) - Score: 1-2"",""Round 5: Orbit_Yossi_winnerbot (Spock) beats Orbit_QuickAvalancheMax_7 (Rock) - Score: 1-3"",""Round 6: Orbit_QuickAvalancheMax_7 (Paper) beats Orbit_Yossi_winnerbot (Spock) - Score: 2-3"",""Round 7: Orbit_Yossi_winnerbot (Spock) beats Orbit_QuickAvalancheMax_7 (Scissors) - Score: 2-4"",""Round 8: Orbit_Yossi_winnerbot (Rock) beats Orbit_QuickAvalancheMax_7 (Lizard) - Score: 2-5"",""Round 9: Orbit_Yossi_winnerbot (Lizard) beats Orbit_QuickAvalancheMax_7 (Spock) - Score: 2-6"",""Round 10: Orbit_Yossi_winnerbot (Spock) beats Orbit_QuickAvalancheMax_7 (Rock) - Score: 2-7"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot"",""Final Score: Orbit_QuickAvalancheMax_7 2 - 7 Orbit_Yossi_winnerbot"",""Duration: 00:00:00.9806588""]"
﻿RPSLS,Orbit_Yossi_winnerbot_7,Orbit_BlitzApe3000_24,Group F,2026-02-22 23:40:21,891,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_7 vs Orbit_BlitzApe3000_24 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_7 (Scissors) beats Orbit_BlitzApe3000_24 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_BlitzApe3000_24 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_BlitzApe3000_24 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_7 (Lizard) beats Orbit_BlitzApe3000_24 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_7 (Paper) beats Orbit_BlitzApe3000_24 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_7 (Scissors) beats Orbit_BlitzApe3000_24 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_BlitzApe3000_24 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_7 (Rock) beats Orbit_BlitzApe3000_24 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_7 (Lizard) beats Orbit_BlitzApe3000_24 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_7 (Paper) beats Orbit_BlitzApe3000_24 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_7"",""Final Score: Orbit_Yossi_winnerbot_7 10 - 0 Orbit_BlitzApe3000_24"",""Duration: 00:00:00.8912412""]"
﻿RPSLS,Orbit_CrystalCrown8000_9,Orbit_MirrorBot,Group G,2026-02-22 23:40:21,937,3,"[""=== RPSLS Match: Orbit_CrystalCrown8000_9 vs Orbit_MirrorBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CrystalCrown8000_9 (Paper) beats Orbit_MirrorBot (Spock) - Score: 1-0"",""Round 2: Orbit_MirrorBot (Spock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 1-1"",""Round 3: Orbit_CrystalCrown8000_9 (Lizard) beats Orbit_MirrorBot (Spock) - Score: 2-1"",""Round 4: Draw - Spock vs Spock - Score: 2-1"",""Round 5: Orbit_MirrorBot (Spock) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 2-2"",""Round 6: Orbit_CrystalCrown8000_9 (Paper) beats Orbit_MirrorBot (Spock) - Score: 3-2"",""Round 7: Orbit_MirrorBot (Spock) beats Orbit_CrystalCrown8000_9 (Scissors) - Score: 3-3"",""Round 8: Orbit_CrystalCrown8000_9 (Lizard) beats Orbit_MirrorBot (Spock) - Score: 4-3"",""Round 9: Draw - Spock vs Spock - Score: 4-3"",""Round 10: Orbit_MirrorBot (Spock) beats Orbit_CrystalCrown8000_9 (Rock) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CrystalCrown8000_9 4 - 4 Orbit_MirrorBot"",""Duration: 00:00:00.9377346""]"
﻿RPSLS,Orbit_CosmicCoreUltra_501,NaiveBot,Group D,2026-02-22 23:40:21,924,3,"[""=== RPSLS Match: Orbit_CosmicCoreUltra_501 vs NaiveBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_CosmicCoreUltra_501 (Paper) beats NaiveBot (Rock) - Score: 1-0"",""Round 2: NaiveBot (Rock) beats Orbit_CosmicCoreUltra_501 (Scissors) - Score: 1-1"",""Round 3: NaiveBot (Rock) beats Orbit_CosmicCoreUltra_501 (Lizard) - Score: 1-2"",""Round 4: Orbit_CosmicCoreUltra_501 (Spock) beats NaiveBot (Rock) - Score: 2-2"",""Round 5: Draw - Rock vs Rock - Score: 2-2"",""Round 6: Orbit_CosmicCoreUltra_501 (Paper) beats NaiveBot (Rock) - Score: 3-2"",""Round 7: NaiveBot (Rock) beats Orbit_CosmicCoreUltra_501 (Scissors) - Score: 3-3"",""Round 8: NaiveBot (Rock) beats Orbit_CosmicCoreUltra_501 (Lizard) - Score: 3-4"",""Round 9: Orbit_CosmicCoreUltra_501 (Spock) beats NaiveBot (Rock) - Score: 4-4"",""Round 10: Draw - Rock vs Rock - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_CosmicCoreUltra_501 4 - 4 NaiveBot"",""Duration: 00:00:00.9248554""]"
﻿RPSLS,Orbit_AggressorBot,Tribble,Group B,2026-02-22 23:40:21,1106,2,"[""=== RPSLS Match: Orbit_AggressorBot vs Tribble ==="",""Max Rounds: 10"","""",""Round 1: Orbit_AggressorBot (Rock) beats Tribble (Lizard) - Score: 1-0"",""Round 2: Tribble (Scissors) beats Orbit_AggressorBot (Paper) - Score: 1-1"",""Round 3: Tribble (Spock) beats Orbit_AggressorBot (Scissors) - Score: 1-2"",""Round 4: Tribble (Rock) beats Orbit_AggressorBot (Lizard) - Score: 1-3"",""Round 5: Draw - Spock vs Spock - Score: 1-3"",""Round 6: Tribble (Spock) beats Orbit_AggressorBot (Rock) - Score: 1-4"",""Round 7: Draw - Paper vs Paper - Score: 1-4"",""Round 8: Tribble (Rock) beats Orbit_AggressorBot (Scissors) - Score: 1-5"",""Round 9: Draw - Lizard vs Lizard - Score: 1-5"",""Round 10: Orbit_AggressorBot (Spock) beats Tribble (Rock) - Score: 2-5"","""",""=== Final Result ==="",""Winner: Tribble"",""Final Score: Orbit_AggressorBot 2 - 5 Tribble"",""Duration: 00:00:01.1063253""]"
﻿RPSLS,Orbit_TeraRobotV1_529,Orbit_Yossi_winnerbot_27,Group H,2026-02-22 23:40:21,861,2,"[""=== RPSLS Match: Orbit_TeraRobotV1_529 vs Orbit_Yossi_winnerbot_27 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_TeraRobotV1_529 (Paper) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 0-2"",""Round 3: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 0-3"",""Round 4: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_TeraRobotV1_529 (Spock) - Score: 0-4"",""Round 5: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_TeraRobotV1_529 (Rock) - Score: 0-5"",""Round 6: Orbit_Yossi_winnerbot_27 (Scissors) beats Orbit_TeraRobotV1_529 (Paper) - Score: 0-6"",""Round 7: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_TeraRobotV1_529 (Scissors) - Score: 0-7"",""Round 8: Orbit_Yossi_winnerbot_27 (Rock) beats Orbit_TeraRobotV1_529 (Lizard) - Score: 0-8"",""Round 9: Orbit_Yossi_winnerbot_27 (Lizard) beats Orbit_TeraRobotV1_529 (Spock) - Score: 0-9"",""Round 10: Orbit_Yossi_winnerbot_27 (Paper) beats Orbit_TeraRobotV1_529 (Rock) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_27"",""Final Score: Orbit_TeraRobotV1_529 0 - 10 Orbit_Yossi_winnerbot_27"",""Duration: 00:00:00.8616689""]"
