GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,QuantumStrike_Batel_Shunit,Orbit_Yossi_winnerbot_25,Group A,2026-02-23 00:09:19,866,3,"[""=== RPSLS Match: QuantumStrike_Batel_Shunit vs Orbit_Yossi_winnerbot_25 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_25 (Scissors) beats QuantumStrike_Batel_Shunit (Lizard) - Score: 0-1"",""Round 2: Draw - Rock vs Rock - Score: 0-1"",""Round 3: Draw - Rock vs Rock - Score: 0-1"",""Round 4: Orbit_Yossi_winnerbot_25 (Lizard) beats QuantumStrike_Batel_Shunit (Spock) - Score: 0-2"",""Round 5: Orbit_Yossi_winnerbot_25 (Paper) beats QuantumStrike_Batel_Shunit (Spock) - Score: 0-3"",""Round 6: QuantumStrike_Batel_Shunit (Rock) beats Orbit_Yossi_winnerbot_25 (Scissors) - Score: 1-3"",""Round 7: QuantumStrike_Batel_Shunit (Paper) beats Orbit_Yossi_winnerbot_25 (Rock) - Score: 2-3"",""Round 8: Draw - Rock vs Rock - Score: 2-3"",""Round 9: Draw - Lizard vs Lizard - Score: 2-3"",""Round 10: QuantumStrike_Batel_Shunit (Scissors) beats Orbit_Yossi_winnerbot_25 (Paper) - Score: 3-3"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: QuantumStrike_Batel_Shunit 3 - 3 Orbit_Yossi_winnerbot_25"",""Duration: 00:00:00.8669751""]"
﻿RPSLS,Orbit_QuantumStrategist,Orbit_AggressorBot,Group H,2026-02-23 00:09:26,1556,3,"[""=== RPSLS Match: Orbit_QuantumStrategist vs Orbit_AggressorBot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_QuantumStrategist (Paper) beats Orbit_AggressorBot (Rock) - Score: 1-0"",""Round 2: Orbit_QuantumStrategist (Lizard) beats Orbit_AggressorBot (Paper) - Score: 2-0"",""Round 3: Orbit_AggressorBot (Scissors) beats Orbit_QuantumStrategist (Paper) - Score: 2-1"",""Round 4: Orbit_AggressorBot (Lizard) beats Orbit_QuantumStrategist (Spock) - Score: 2-2"",""Round 5: Orbit_QuantumStrategist (Paper) beats Orbit_AggressorBot (Spock) - Score: 3-2"",""Round 6: Orbit_AggressorBot (Rock) beats Orbit_QuantumStrategist (Lizard) - Score: 3-3"",""Round 7: Draw - Paper vs Paper - Score: 3-3"",""Round 8: Orbit_QuantumStrategist (Spock) beats Orbit_AggressorBot (Scissors) - Score: 4-3"",""Round 9: Orbit_AggressorBot (Lizard) beats Orbit_QuantumStrategist (Paper) - Score: 4-4"",""Round 10: Draw - Spock vs Spock - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_QuantumStrategist 4 - 4 Orbit_AggressorBot"",""Duration: 00:00:01.5569430""]"
﻿RPSLS,Orbit_ForestHelmV3_520,OIL-4o,Group A,2026-02-23 00:09:19,851,2,"[""=== RPSLS Match: Orbit_ForestHelmV3_520 vs OIL-4o ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: OIL-4o (Spock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 0-1"",""Round 3: Draw - Lizard vs Lizard - Score: 0-1"",""Round 4: Draw - Spock vs Spock - Score: 0-1"",""Round 5: Orbit_ForestHelmV3_520 (Rock) beats OIL-4o (Scissors) - Score: 1-1"",""Round 6: OIL-4o (Lizard) beats Orbit_ForestHelmV3_520 (Paper) - Score: 1-2"",""Round 7: OIL-4o (Rock) beats Orbit_ForestHelmV3_520 (Scissors) - Score: 1-3"",""Round 8: Draw - Lizard vs Lizard - Score: 1-3"",""Round 9: Draw - Spock vs Spock - Score: 1-3"",""Round 10: Orbit_ForestHelmV3_520 (Rock) beats OIL-4o (Lizard) - Score: 2-3"","""",""=== Final Result ==="",""Winner: OIL-4o"",""Final Score: Orbit_ForestHelmV3_520 2 - 3 OIL-4o"",""Duration: 00:00:00.8514927""]"
﻿RPSLS,Orbit_DarkGiantBot_527,PatternHunter,Group J,2026-02-23 00:09:19,829,3,"[""=== RPSLS Match: Orbit_DarkGiantBot_527 vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: PatternHunter (Rock) beats Orbit_DarkGiantBot_527 (Scissors) - Score: 0-1"",""Round 3: Orbit_DarkGiantBot_527 (Lizard) beats PatternHunter (Spock) - Score: 1-1"",""Round 4: PatternHunter (Paper) beats Orbit_DarkGiantBot_527 (Spock) - Score: 1-2"",""Round 5: Orbit_DarkGiantBot_527 (Rock) beats PatternHunter (Scissors) - Score: 2-2"",""Round 6: PatternHunter (Lizard) beats Orbit_DarkGiantBot_527 (Paper) - Score: 2-3"",""Round 7: Draw - Scissors vs Scissors - Score: 2-3"",""Round 8: PatternHunter (Scissors) beats Orbit_DarkGiantBot_527 (Lizard) - Score: 2-4"",""Round 9: Orbit_DarkGiantBot_527 (Spock) beats PatternHunter (Rock) - Score: 3-4"",""Round 10: Orbit_DarkGiantBot_527 (Rock) beats PatternHunter (Lizard) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_DarkGiantBot_527 4 - 4 PatternHunter"",""Duration: 00:00:00.8295592""]"
﻿RPSLS,Orbit_Yossi_winnerbot_23,masterofdisasterbot,Group G,2026-02-23 00:09:19,1150,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_23 vs masterofdisasterbot ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_23 (Scissors) beats masterofdisasterbot (Lizard) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_23 (Rock) beats masterofdisasterbot (Lizard) - Score: 2-0"",""Round 3: Draw - Rock vs Rock - Score: 2-0"",""Round 4: Orbit_Yossi_winnerbot_23 (Lizard) beats masterofdisasterbot (Paper) - Score: 3-0"",""Round 5: Orbit_Yossi_winnerbot_23 (Paper) beats masterofdisasterbot (Rock) - Score: 4-0"",""Round 6: Orbit_Yossi_winnerbot_23 (Scissors) beats masterofdisasterbot (Paper) - Score: 5-0"",""Round 7: Draw - Rock vs Rock - Score: 5-0"",""Round 8: masterofdisasterbot (Paper) beats Orbit_Yossi_winnerbot_23 (Rock) - Score: 5-1"",""Round 9: Orbit_Yossi_winnerbot_23 (Lizard) beats masterofdisasterbot (Paper) - Score: 6-1"",""Round 10: masterofdisasterbot (Scissors) beats Orbit_Yossi_winnerbot_23 (Paper) - Score: 6-2"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_23"",""Final Score: Orbit_Yossi_winnerbot_23 6 - 2 masterofdisasterbot"",""Duration: 00:00:01.1503106""]"
﻿RPSLS,Orbit_ForestHelmV3_520,Orbit_GoldPhantomBeta_25,Group A,2026-02-23 00:09:19,838,3,"[""=== RPSLS Match: Orbit_ForestHelmV3_520 vs Orbit_GoldPhantomBeta_25 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Draw - Scissors vs Scissors - Score: 0-0"",""Round 3: Draw - Lizard vs Lizard - Score: 0-0"",""Round 4: Draw - Spock vs Spock - Score: 0-0"",""Round 5: Draw - Rock vs Rock - Score: 0-0"",""Round 6: Draw - Paper vs Paper - Score: 0-0"",""Round 7: Draw - Scissors vs Scissors - Score: 0-0"",""Round 8: Draw - Lizard vs Lizard - Score: 0-0"",""Round 9: Draw - Spock vs Spock - Score: 0-0"",""Round 10: Draw - Rock vs Rock - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_ForestHelmV3_520 0 - 0 Orbit_GoldPhantomBeta_25"",""Duration: 00:00:00.8381561""]"
﻿RPSLS,Tribble,adilipPatternHunter,Group E,2026-02-23 00:09:19,968,1,"[""=== RPSLS Match: Tribble vs adilipPatternHunter ==="",""Max Rounds: 10"","""",""Round 1: Draw - Spock vs Spock - Score: 0-0"",""Round 2: Tribble (Rock) beats adilipPatternHunter (Scissors) - Score: 1-0"",""Round 3: Tribble (Scissors) beats adilipPatternHunter (Paper) - Score: 2-0"",""Round 4: Tribble (Lizard) beats adilipPatternHunter (Paper) - Score: 3-0"",""Round 5: Draw - Scissors vs Scissors - Score: 3-0"",""Round 6: Draw - Lizard vs Lizard - Score: 3-0"",""Round 7: Draw - Spock vs Spock - Score: 3-0"",""Round 8: Tribble (Spock) beats adilipPatternHunter (Rock) - Score: 4-0"",""Round 9: Tribble (Spock) beats adilipPatternHunter (Scissors) - Score: 5-0"",""Round 10: Tribble (Rock) beats adilipPatternHunter (Scissors) - Score: 6-0"","""",""=== Final Result ==="",""Winner: Tribble"",""Final Score: Tribble 6 - 0 adilipPatternHunter"",""Duration: 00:00:00.9687049""]"
﻿RPSLS,StrategicEdge,Orbit_LegendarySpiritMaster_0,Group I,2026-02-23 00:09:19,696,2,"[""=== RPSLS Match: StrategicEdge vs Orbit_LegendarySpiritMaster_0 ==="",""Max Rounds: 10"","""",""Round 1: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 1: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-1"",""Round 2: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 2: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-2"",""Round 3: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 3: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-3"",""Round 4: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 4: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-4"",""Round 5: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 5: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-5"",""Round 6: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 6: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-6"",""Round 7: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 7: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-7"",""Round 8: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 8: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-8"",""Round 9: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 9: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-9"",""Round 10: StrategicEdge ERROR - Exception: Parameter count mismatch."",""Round 10: Orbit_LegendarySpiritMaster_0 wins by default (opponent error) - Score: 0-10"","""",""=== Final Result ==="",""Winner: Orbit_LegendarySpiritMaster_0"",""Final Score: StrategicEdge 0 - 10 Orbit_LegendarySpiritMaster_0"",""Duration: 00:00:00.6969123""]"
﻿RPSLS,Orbit_QuantumStrategist,Orbit_PurpleGladiator7000_10,Group H,2026-02-23 00:09:19,821,3,"[""=== RPSLS Match: Orbit_QuantumStrategist vs Orbit_PurpleGladiator7000_10 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Paper vs Paper - Score: 0-0"",""Round 2: Orbit_QuantumStrategist (Rock) beats Orbit_PurpleGladiator7000_10 (Scissors) - Score: 1-0"",""Round 3: Orbit_QuantumStrategist (Scissors) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 2-0"",""Round 4: Orbit_PurpleGladiator7000_10 (Spock) beats Orbit_QuantumStrategist (Scissors) - Score: 2-1"",""Round 5: Orbit_QuantumStrategist (Spock) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 3-1"",""Round 6: Orbit_PurpleGladiator7000_10 (Paper) beats Orbit_QuantumStrategist (Spock) - Score: 3-2"",""Round 7: Orbit_PurpleGladiator7000_10 (Scissors) beats Orbit_QuantumStrategist (Lizard) - Score: 3-3"",""Round 8: Draw - Lizard vs Lizard - Score: 3-3"",""Round 9: Orbit_QuantumStrategist (Lizard) beats Orbit_PurpleGladiator7000_10 (Spock) - Score: 4-3"",""Round 10: Orbit_PurpleGladiator7000_10 (Rock) beats Orbit_QuantumStrategist (Lizard) - Score: 4-4"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_QuantumStrategist 4 - 4 Orbit_PurpleGladiator7000_10"",""Duration: 00:00:00.8216130""]"
﻿RPSLS,Orbit_Yossi_winnerbot_8,Orbit_VoidStormPro_20,Group I,2026-02-23 00:09:19,803,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_8 vs Orbit_VoidStormPro_20 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_8 (Scissors) beats Orbit_VoidStormPro_20 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_VoidStormPro_20 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_VoidStormPro_20 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_8 (Lizard) beats Orbit_VoidStormPro_20 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_8 (Paper) beats Orbit_VoidStormPro_20 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_8 (Scissors) beats Orbit_VoidStormPro_20 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_VoidStormPro_20 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_8 (Rock) beats Orbit_VoidStormPro_20 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_8 (Lizard) beats Orbit_VoidStormPro_20 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_8 (Paper) beats Orbit_VoidStormPro_20 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_8"",""Final Score: Orbit_Yossi_winnerbot_8 10 - 0 Orbit_VoidStormPro_20"",""Duration: 00:00:00.8035883""]"
