GameType,PlayerA,PlayerB,Group,StartTimeUtc,DurationMs,MatchOutcome,SubActsJson
SecurityGame,QuantumStrike_Batel_Shunit,Orbit_Yossi_winnerbot_21,Group A,2026-02-21T19:24:12.6065734Z,1084,4,"[""=== Security Game Match: QuantumStrike_Batel_Shunit vs Orbit_Yossi_winnerbot_21 ==="",""Max Rounds: 10"","""",""Round 1: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 1: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 2: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 2: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 3: QuantumStrike_Batel_Shunit - Invalid move: \u00271\u0027"",""Round 3: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 4: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 4: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 5: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 5: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 6: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 6: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 7: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 7: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 8: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 8: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 9: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 9: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 10: QuantumStrike_Batel_Shunit - Invalid move: \u00271\u0027"",""Round 10: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: QuantumStrike_Batel_Shunit 0 - 0 Orbit_Yossi_winnerbot_21"",""Duration: 00:00:01.0841235""]"
﻿SecurityGame,QuantumStrike_Batel_Shunit,Orbit_Yossi_winnerbot_2,Group A,2026-02-21T19:24:12.6065102Z,1761,4,"[""=== Security Game Match: QuantumStrike_Batel_Shunit vs Orbit_Yossi_winnerbot_2 ==="",""Max Rounds: 10"","""",""Round 1: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 1: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 2: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 2: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,5,20\u0027"",""Round 3: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 3: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 4: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 4: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 5: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 5: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 6: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 6: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 7: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 7: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,5,20\u0027"",""Round 8: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 8: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 9: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 9: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 10: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 10: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: QuantumStrike_Batel_Shunit 0 - 0 Orbit_Yossi_winnerbot_2"",""Duration: 00:00:01.7616713""]"
﻿SecurityGame,QuantumStrike_Batel_Shunit,Orbit_Yossi_winnerbot_17,Group A,2026-02-21T19:24:12.6062444Z,1878,4,"[""=== Security Game Match: QuantumStrike_Batel_Shunit vs Orbit_Yossi_winnerbot_17 ==="",""Max Rounds: 10"","""",""Round 1: QuantumStrike_Batel_Shunit - Invalid move: \u00271\u0027"",""Round 1: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 2: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 2: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,5,20\u0027"",""Round 3: QuantumStrike_Batel_Shunit - Invalid move: \u00271\u0027"",""Round 3: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 4: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 4: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 5: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 5: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 6: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 6: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 7: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 7: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,5,20\u0027"",""Round 8: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 8: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 9: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 9: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 10: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 10: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: QuantumStrike_Batel_Shunit 0 - 0 Orbit_Yossi_winnerbot_17"",""Duration: 00:00:01.8782661""]"
﻿SecurityGame,QuantumStrike_Batel_Shunit,Orbit_Yossi_winnerbot_19,Group A,2026-02-21T19:24:12.6067894Z,1819,4,"[""=== Security Game Match: QuantumStrike_Batel_Shunit vs Orbit_Yossi_winnerbot_19 ==="",""Max Rounds: 10"","""",""Round 1: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 1: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 2: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 2: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,5,20\u0027"",""Round 3: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 3: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"",""Round 4: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 4: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 5: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 5: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"",""Round 6: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 6: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 7: QuantumStrike_Batel_Shunit - Invalid move: \u00270\u0027"",""Round 7: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,5,20\u0027"",""Round 8: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 8: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"",""Round 9: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 9: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 10: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 10: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: QuantumStrike_Batel_Shunit 0 - 0 Orbit_Yossi_winnerbot_19"",""Duration: 00:00:01.8193837""]"
﻿SecurityGame,QuantumStrike_Batel_Shunit,PatternHunter,Group A,2026-02-21T19:24:12.6065144Z,1138,4,"[""=== Security Game Match: QuantumStrike_Batel_Shunit vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 1: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 2: QuantumStrike_Batel_Shunit - Invalid move: \u00271\u0027"",""Round 2: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 3: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 3: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 4: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 4: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 5: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 5: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 6: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 6: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 7: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 7: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 8: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 8: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 9: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 9: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 10: QuantumStrike_Batel_Shunit - Invalid move: \u00272\u0027"",""Round 10: PatternHunter - Invalid move: \u00275,10,15\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: QuantumStrike_Batel_Shunit 0 - 0 PatternHunter"",""Duration: 00:00:01.1380556""]"
﻿SecurityGame,Orbit_Yossi_winnerbot_21,Orbit_Yossi_winnerbot_2,Group A,2026-02-21T19:24:12.6062639Z,1535,4,"[""=== Security Game Match: Orbit_Yossi_winnerbot_21 vs Orbit_Yossi_winnerbot_2 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 1: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 2: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 2: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,5,20\u0027"",""Round 3: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 3: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 7: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 7: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,5,20\u0027"",""Round 8: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 8: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_21 0 - 0 Orbit_Yossi_winnerbot_2"",""Duration: 00:00:01.5356587""]"
﻿SecurityGame,Orbit_Yossi_winnerbot_21,Orbit_Yossi_winnerbot_17,Group A,2026-02-21T19:24:12.6062713Z,1896,4,"[""=== Security Game Match: Orbit_Yossi_winnerbot_21 vs Orbit_Yossi_winnerbot_17 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 1: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 2: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 2: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,5,20\u0027"",""Round 3: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 3: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 7: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 7: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,5,20\u0027"",""Round 8: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 8: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_21 0 - 0 Orbit_Yossi_winnerbot_17"",""Duration: 00:00:01.8965779""]"
﻿SecurityGame,Orbit_Yossi_winnerbot_21,Orbit_Yossi_winnerbot_19,Group A,2026-02-21T19:24:12.6063600Z,965,4,"[""=== Security Game Match: Orbit_Yossi_winnerbot_21 vs Orbit_Yossi_winnerbot_19 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 1: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 2: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 2: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,5,20\u0027"",""Round 3: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 3: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 7: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 7: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,5,20\u0027"",""Round 8: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 8: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_19 - Invalid move: \u00275,20,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_19 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_21 0 - 0 Orbit_Yossi_winnerbot_19"",""Duration: 00:00:00.9653766""]"
﻿SecurityGame,Orbit_Yossi_winnerbot_21,PatternHunter,Group A,2026-02-21T19:24:12.6067696Z,1167,4,"[""=== Security Game Match: Orbit_Yossi_winnerbot_21 vs PatternHunter ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 1: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 2: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 2: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 3: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 3: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 4: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 4: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 5: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 5: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 6: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 6: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 7: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,5,20\u0027"",""Round 7: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 8: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 8: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 9: Orbit_Yossi_winnerbot_21 - Invalid move: \u00275,20,5\u0027"",""Round 9: PatternHunter - Invalid move: \u00275,10,15\u0027"",""Round 10: Orbit_Yossi_winnerbot_21 - Invalid move: \u002720,5,5\u0027"",""Round 10: PatternHunter - Invalid move: \u00275,10,15\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_21 0 - 0 PatternHunter"",""Duration: 00:00:01.1673201""]"
﻿SecurityGame,Orbit_Yossi_winnerbot_2,Orbit_Yossi_winnerbot_17,Group A,2026-02-21T19:24:12.6062533Z,971,4,"[""=== Security Game Match: Orbit_Yossi_winnerbot_2 vs Orbit_Yossi_winnerbot_17 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 1: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 2: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,5,20\u0027"",""Round 2: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,5,20\u0027"",""Round 3: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 3: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 4: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 5: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 6: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 7: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,5,20\u0027"",""Round 7: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,5,20\u0027"",""Round 8: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 8: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_2 - Invalid move: \u00275,20,5\u0027"",""Round 9: Orbit_Yossi_winnerbot_17 - Invalid move: \u00275,20,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_2 - Invalid move: \u002720,5,5\u0027"",""Round 10: Orbit_Yossi_winnerbot_17 - Invalid move: \u002720,5,5\u0027"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_2 0 - 0 Orbit_Yossi_winnerbot_17"",""Duration: 00:00:00.9711190""]"
