GameType,PlayerA,PlayerB,Group,StartTimeIsrael,DurationMs,MatchOutcome,SubActsJson
RPSLS,Orbit_Yossi_winnerbot_24,Orbit_Yossi_winnerbot_21,Group A,2026-02-22 09:47:09,2178,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_Yossi_winnerbot_21 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_24 0 - 0 Orbit_Yossi_winnerbot_21"",""Duration: 00:00:02.1782420""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,AegisHydra,Group A,2026-02-22 09:47:09,1934,2,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs AegisHydra ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats AegisHydra (Lizard) - Score: 1-0"",""Round 2: Draw - Rock vs Rock - Score: 1-0"",""Round 3: AegisHydra (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 1-1"",""Round 4: AegisHydra (Scissors) beats Orbit_Yossi_winnerbot_24 (Lizard) - Score: 1-2"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats AegisHydra (Rock) - Score: 2-2"",""Round 6: AegisHydra (Rock) beats Orbit_Yossi_winnerbot_24 (Scissors) - Score: 2-3"",""Round 7: AegisHydra (Spock) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 2-4"",""Round 8: AegisHydra (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 2-5"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats AegisHydra (Paper) - Score: 3-5"",""Round 10: Draw - Paper vs Paper - Score: 3-5"","""",""=== Final Result ==="",""Winner: AegisHydra"",""Final Score: Orbit_Yossi_winnerbot_24 3 - 5 AegisHydra"",""Duration: 00:00:01.9345746""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_SprintGorillaSigma_19,Group A,2026-02-22 09:47:09,1888,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_SprintGorillaSigma_19 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_SprintGorillaSigma_19 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SprintGorillaSigma_19 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SprintGorillaSigma_19 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_SprintGorillaSigma_19 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_SprintGorillaSigma_19 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_SprintGorillaSigma_19"",""Duration: 00:00:01.8887470""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_SharpHunterV2_524,Group A,2026-02-22 09:47:09,1976,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_SharpHunterV2_524 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_SharpHunterV2_524 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SharpHunterV2_524 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SharpHunterV2_524 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_SharpHunterV2_524 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_SharpHunterV2_524 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_SharpHunterV2_524 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SharpHunterV2_524 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_SharpHunterV2_524 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_SharpHunterV2_524 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_SharpHunterV2_524 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_SharpHunterV2_524"",""Duration: 00:00:01.9761860""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_CrystalColossusMK2_29,Group A,2026-02-22 09:47:09,2162,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_CrystalColossusMK2_29 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_CrystalColossusMK2_29 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CrystalColossusMK2_29 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CrystalColossusMK2_29 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_CrystalColossusMK2_29 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_CrystalColossusMK2_29 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_CrystalColossusMK2_29 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CrystalColossusMK2_29 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CrystalColossusMK2_29 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_CrystalColossusMK2_29 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_CrystalColossusMK2_29 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_CrystalColossusMK2_29"",""Duration: 00:00:02.1628835""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_Yossi_winnerbot_8,Group A,2026-02-22 09:47:09,1902,3,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_Yossi_winnerbot_8 ==="",""Max Rounds: 10"","""",""Round 1: Draw - Scissors vs Scissors - Score: 0-0"",""Round 2: Draw - Rock vs Rock - Score: 0-0"",""Round 3: Draw - Rock vs Rock - Score: 0-0"",""Round 4: Draw - Lizard vs Lizard - Score: 0-0"",""Round 5: Draw - Paper vs Paper - Score: 0-0"",""Round 6: Draw - Scissors vs Scissors - Score: 0-0"",""Round 7: Draw - Rock vs Rock - Score: 0-0"",""Round 8: Draw - Rock vs Rock - Score: 0-0"",""Round 9: Draw - Lizard vs Lizard - Score: 0-0"",""Round 10: Draw - Paper vs Paper - Score: 0-0"","""",""=== Final Result ==="",""Winner: Draw"",""Final Score: Orbit_Yossi_winnerbot_24 0 - 0 Orbit_Yossi_winnerbot_8"",""Duration: 00:00:01.9021493""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,GuyBot,Group A,2026-02-22 09:47:09,2289,2,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs GuyBot ==="",""Max Rounds: 10"","""",""Round 1: GuyBot (Rock) beats Orbit_Yossi_winnerbot_24 (Scissors) - Score: 0-1"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats GuyBot (Lizard) - Score: 1-1"",""Round 3: GuyBot (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 1-2"",""Round 4: Draw - Lizard vs Lizard - Score: 1-2"",""Round 5: GuyBot (Scissors) beats Orbit_Yossi_winnerbot_24 (Paper) - Score: 1-3"",""Round 6: Draw - Scissors vs Scissors - Score: 1-3"",""Round 7: GuyBot (Paper) beats Orbit_Yossi_winnerbot_24 (Rock) - Score: 1-4"",""Round 8: Draw - Rock vs Rock - Score: 1-4"",""Round 9: GuyBot (Scissors) beats Orbit_Yossi_winnerbot_24 (Lizard) - Score: 1-5"",""Round 10: Draw - Paper vs Paper - Score: 1-5"","""",""=== Final Result ==="",""Winner: GuyBot"",""Final Score: Orbit_Yossi_winnerbot_24 1 - 5 GuyBot"",""Duration: 00:00:02.2899370""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_TeraFighterOps_504,Group A,2026-02-22 09:47:09,2097,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_TeraFighterOps_504 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_TeraFighterOps_504 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_TeraFighterOps_504 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_TeraFighterOps_504 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_TeraFighterOps_504 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_TeraFighterOps_504 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_TeraFighterOps_504 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_TeraFighterOps_504 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_TeraFighterOps_504 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_TeraFighterOps_504 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_TeraFighterOps_504 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_TeraFighterOps_504"",""Duration: 00:00:02.0976563""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_PurpleGladiator7000_10,Group A,2026-02-22 09:47:09,2530,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_PurpleGladiator7000_10 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_PurpleGladiator7000_10 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_PurpleGladiator7000_10 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_PurpleGladiator7000_10 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_PurpleGladiator7000_10 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_PurpleGladiator7000_10 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_PurpleGladiator7000_10 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_PurpleGladiator7000_10 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_PurpleGladiator7000_10 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_PurpleGladiator7000_10"",""Duration: 00:00:02.5300996""]"
﻿RPSLS,Orbit_Yossi_winnerbot_24,Orbit_CosmicCoreUltra_501,Group A,2026-02-22 09:47:09,1781,1,"[""=== RPSLS Match: Orbit_Yossi_winnerbot_24 vs Orbit_CosmicCoreUltra_501 ==="",""Max Rounds: 10"","""",""Round 1: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_CosmicCoreUltra_501 (Paper) - Score: 1-0"",""Round 2: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CosmicCoreUltra_501 (Scissors) - Score: 2-0"",""Round 3: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CosmicCoreUltra_501 (Lizard) - Score: 3-0"",""Round 4: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_CosmicCoreUltra_501 (Spock) - Score: 4-0"",""Round 5: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_CosmicCoreUltra_501 (Rock) - Score: 5-0"",""Round 6: Orbit_Yossi_winnerbot_24 (Scissors) beats Orbit_CosmicCoreUltra_501 (Paper) - Score: 6-0"",""Round 7: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CosmicCoreUltra_501 (Scissors) - Score: 7-0"",""Round 8: Orbit_Yossi_winnerbot_24 (Rock) beats Orbit_CosmicCoreUltra_501 (Lizard) - Score: 8-0"",""Round 9: Orbit_Yossi_winnerbot_24 (Lizard) beats Orbit_CosmicCoreUltra_501 (Spock) - Score: 9-0"",""Round 10: Orbit_Yossi_winnerbot_24 (Paper) beats Orbit_CosmicCoreUltra_501 (Rock) - Score: 10-0"","""",""=== Final Result ==="",""Winner: Orbit_Yossi_winnerbot_24"",""Final Score: Orbit_Yossi_winnerbot_24 10 - 0 Orbit_CosmicCoreUltra_501"",""Duration: 00:00:01.7813184""]"
